Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.47,0,0.0,12.0,106,86.5,6.4,-22.38,33.844,14.836,4.202,9.899999762399945e+24,92.4,102.0,1575,0,101.3,0.23
2,0,0.0,0.45,0,0.0,15.5,253,86.5,16.0,-22.37,33.828,14.836,4.202,91.0,92.4,102.0,1575,0,101.3,0.24
3,0,0.0,0.47,0,1.7999999999999998,18.5,480,86.5,25.0,-22.38,33.805,14.836,4.202,91.0,92.4,102.0,1575,0,101.3,0.22
4,0,0.0,0.48,0,2.9000000000000004,21.099999999999998,690,86.6,29.8,-22.38,33.766,14.836,4.202,91.0,92.4,102.0,1575,0,101.3,0.23
5,0,0.0,0.48,0,4.0,23.400000000000002,840,86.8,33.5,-22.38,33.695,14.836,4.202,91.0,92.4,102.0,1575,0,101.3,0.23
6,0,0.0,0.49,0,5.2,25.3,924,87.2,37.0,-22.38,33.594,14.832,4.202,91.0,92.4,102.0,1575,0,101.3,0.22
7,0,0.0,0.49,0,6.3,26.6,956,87.4,39.5,-22.36,33.453,14.832,4.202,91.0,92.4,102.0,1575,0,101.3,0.23
8,0,0.0,0.48,0,7.3,27.6,953,87.5,41.3,-22.37,33.289,14.832,4.202,91.0,92.4,102.0,1575,0,101.3,0.23
9,0,0.0,0.49,0,8.1,28.599999999999998,938,87.5,43.3,-22.37,33.094,14.832,4.202,91.0,92.4,102.0,1575,0,101.3,0.22
10,0,0.0,0.5,0,9.0,29.9,930,87.3,46.0,-22.36,32.867,14.832,4.202,91.0,92.4,102.0,1575,0,101.3,0.23
11,0,0.0,0.53,0,10.0,31.7,940,87.1,49.5,-22.36,32.617,14.832,4.202,90.0,92.4,102.0,1575,0,101.3,0.23
12,0,0.0,0.56,0,11.1,33.5,963,86.8,52.9,-22.34,32.336,14.832,4.202,90.0,92.4,102.0,1575,0,101.3,0.22
13,0,0.0,0.55,0,12.4,35.3,991,86.7,56.5,-22.35,32.031,14.828,4.202,90.0,92.4,102.0,1575,0,101.3,0.23
14,0,0.0,0.56,0,13.8,37.8,1031,86.6,47.7,-22.33,31.711,14.828,4.202,91.0,92.4,102.0,1575,0,101.3,0.23
15,0,0.0,0.48,0,15.4,40.9,1078,86.6,48.8,-22.31,31.383,14.828,4.202,90.0,92.3,102.0,1575,0,101.3,0.23
16,0,0.0,0.48,0,17.1,43.9,1118,86.6,49.9,-22.29,31.047,14.828,4.202,90.0,92.3,102.0,1575,0,101.3,0.23
17,0,0.0,0.48,0,19.0,47.099999999999994,1146,86.7,51.2,-22.3,30.711,14.828,4.202,90.0,92.3,102.0,1575,0,101.3,0.22
18,0,0.0,0.49,0,21.3,51.300000000000004,1161,86.8,53.0,-22.36,30.375,14.824,4.202,90.0,92.2,102.0,1575,0,101.3,0.22
19,0,0.0,0.48,0,23.400000000000002,53.6,1146,86.9,53.9,-22.33,30.039,14.824,4.202,90.0,92.2,102.0,1575,0,101.3,0.23
20,0,0.0,0.49,0,24.0,53.400000000000006,1079,87.0,53.8,-22.34,29.703,14.824,4.202,90.0,92.2,102.0,1575,0,101.3,0.22
21,0,0.0,0.48,0,24.3,53.400000000000006,1004,87.1,53.9,-22.33,29.375,14.824,4.202,90.0,92.2,102.0,1571,1,101.3,0.22
22,0,0.0,0.49,0,24.4,53.400000000000006,946,87.3,53.7,-22.32,29.062,14.824,4.202,90.0,92.2,102.0,1568,1,101.3,0.22
23,0,0.0,0.48,0,24.4,53.400000000000006,903,87.4,53.8,-22.31,28.742,14.824,4.202,90.0,92.2,102.0,1566,1,101.3,0.22
24,0,0.0,0.49,0,24.3,53.400000000000006,871,87.6,53.8,-22.33,28.422,14.828,4.202,90.0,92.2,102.0,1566,1,101.3,0.22
25,0,0.0,0.49,0,24.3,53.400000000000006,851,87.7,53.9,-22.31,28.125,14.828,4.202,90.0,92.2,102.0,1566,1,101.3,0.22
26,0,0.0,0.49,0,24.3,53.400000000000006,836,87.9,53.7,-22.35,27.836,14.828,4.202,90.0,92.2,102.0,1565,1,101.3,0.22
27,0,0.0,0.49,0,24.3,53.400000000000006,826,88.0,53.8,-22.31,27.57,14.828,4.202,90.0,92.2,102.0,1565,1,101.3,0.23
28,0,0.0,0.49,0,24.2,53.400000000000006,820,88.1,53.8,-22.31,27.312,14.828,4.202,90.0,92.2,102.0,1565,1,101.3,0.22
29,0,0.0,0.49,0,24.2,53.400000000000006,815,88.3,53.8,-22.31,27.07,14.832,4.202,90.0,92.2,103.0,1565,1,101.3,0.22
30,0,0.0,0.47,0,24.2,53.400000000000006,813,88.4,53.9,-22.33,26.859,14.832,4.202,90.0,92.2,103.0,1565,1,101.3,0.22
31,0,0.0,0.48,0,24.2,53.400000000000006,811,88.6,53.9,-22.34,26.664,14.828,4.202,90.0,92.2,103.0,1565,1,101.3,0.23
32,0,0.0,0.5,0,24.2,53.400000000000006,811,88.7,53.9,-22.32,26.484,14.828,4.202,90.0,92.3,103.0,1566,1,101.3,0.22
33,0,0.0,0.49,0,24.2,53.400000000000006,810,88.9,54.0,-22.34,26.328,14.828,4.202,90.0,92.3,103.0,1566,1,101.3,0.22
34,0,0.0,0.49,0,24.2,53.400000000000006,810,89.0,53.9,-22.32,26.203,14.824,4.202,90.0,92.3,103.0,1566,1,101.3,0.22
35,0,0.0,0.5,0,24.2,53.400000000000006,811,89.2,53.9,-22.33,26.094,14.824,4.202,91.0,92.2,103.0,1566,1,101.3,0.22
36,0,0.0,0.49,0,24.2,53.400000000000006,811,89.4,54.0,-22.34,25.977,14.824,4.202,90.0,92.3,103.0,1566,1,101.3,0.22
37,0,0.0,0.49,0,24.2,53.400000000000006,812,89.5,54.0,-22.32,25.867,14.824,4.202,91.0,92.3,103.0,1566,1,101.3,0.23
