Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.47,0,0.0,9.0,221,111.2,2.6,-22.42,20.984,14.34,4.199,9.899999762399945e+24,65.8,68.0,1598,1,69.2,0.29
2,0,0.0,0.47,0,0.0,12.5,265,111.5,7.8,-22.41,20.984,14.34,4.199,9.899999762399945e+24,65.8,68.0,1598,1,69.2,0.28
3,0,0.0,0.48,0,0.1,14.6,393,112.1,11.5,-22.41,20.992,14.34,4.198,64.0,65.8,68.0,1598,1,69.1,0.3
4,0,0.0,0.48,0,1.5,16.400000000000002,425,112.4,14.5,-22.42,21.016,14.336,4.199,64.0,65.8,68.0,1598,1,69.2,0.3
5,0,0.0,0.49,0,2.1999999999999997,18.3,497,112.8,17.3,-22.42,21.039,14.336,4.198,65.0,65.8,68.0,1598,1,69.2,0.3
6,0,0.0,0.49,0,3.1,20.8,690,112.8,20.5,-22.42,21.055,14.336,4.199,65.0,65.8,68.0,1598,1,69.2,0.29
7,0,0.0,0.49,0,4.2,23.200000000000003,886,112.0,24.9,-22.43,21.031,14.336,4.198,64.0,65.8,68.0,1598,1,69.2,0.3
8,0,0.0,0.51,0,5.2,24.5,1016,110.5,27.8,-22.42,20.984,14.336,4.198,64.0,65.8,68.0,1598,1,69.1,0.3
9,0,0.0,0.51,0,6.2,25.1,1092,108.9,29.2,-22.42,20.898,14.336,4.198,64.0,65.8,68.0,1598,1,69.2,0.3
10,0,0.0,0.51,0,7.1,25.900000000000002,1150,107.3,30.9,-22.42,20.797,14.332,4.199,64.0,65.7,68.0,1598,1,69.1,0.29
11,0,0.0,0.52,0,8.0,26.900000000000002,1207,105.7,33.0,-22.41,20.672,14.332,4.198,64.0,65.8,68.0,1598,1,69.1,0.29
12,0,0.0,0.52,0,9.0,28.299999999999997,1270,104.4,35.5,-22.41,20.539,14.332,4.199,64.0,65.7,68.0,1598,1,69.1,0.29
13,0,0.0,0.54,0,10.100000000000001,29.799999999999997,1338,102.9,38.2,-22.4,20.398,14.328,4.198,64.0,65.7,68.0,1598,1,69.1,0.29
14,0,0.0,0.48,0,11.3,31.8,1412,101.4,41.7,-22.4,20.234,14.328,4.198,64.0,65.7,68.0,1598,1,69.1,0.29
15,0,0.0,0.49,0,12.7,34.300000000000004,1484,100.1,45.8,-22.38,20.062,14.328,4.198,64.0,65.7,68.0,1598,1,69.1,0.29
16,0,0.0,0.49,0,14.099999999999998,37.2,1534,99.3,51.2,-22.38,19.883,14.328,4.199,64.0,65.7,68.0,1598,1,69.1,0.29
17,0,0.0,0.49,0,15.7,40.6,1546,98.9,57.0,-22.31,19.688,14.324,4.199,64.0,65.6,68.0,1598,1,69.1,0.29
18,0,0.0,0.5,0,17.5,44.4,1519,99.2,63.1,-22.38,19.484,14.324,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
19,0,0.0,0.51,0,19.7,48.6,1463,99.7,70.5,-22.37,19.273,14.324,4.198,64.0,65.6,68.0,1598,1,69.1,0.29
20,0,0.0,0.51,0,22.3,52.5,1385,100.5,63.0,-22.38,19.039,14.328,4.199,64.0,65.6,68.0,1598,1,69.1,0.28
21,0,0.0,0.5,0,23.9,53.5,1288,101.1,55.5,-22.39,18.797,14.328,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
22,0,0.0,0.5,0,24.4,53.400000000000006,1188,101.8,55.3,-22.39,18.531,14.328,4.199,64.0,65.6,68.0,1598,1,69.1,0.29
23,0,0.0,0.52,0,24.6,53.400000000000006,1088,102.4,55.4,-22.37,18.266,14.328,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
24,0,0.0,0.5,0,24.6,53.400000000000006,991,103.0,55.4,-22.38,18.008,14.324,4.198,64.0,65.6,68.0,1598,1,69.1,0.29
25,0,0.0,0.51,0,24.6,53.400000000000006,931,103.6,55.5,-22.37,17.758,14.324,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
26,4,0.0,0.51,0,24.6,53.400000000000006,890,104.1,55.6,-22.36,17.531,14.328,4.199,64.0,65.6,68.0,1598,1,69.1,0.29
27,2,0.0,0.51,0,24.5,53.400000000000006,861,104.6,55.7,-22.38,17.32,14.328,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
28,0,0.0,0.5,0,24.4,53.400000000000006,839,105.2,55.7,-22.39,17.125,14.328,4.198,64.0,65.6,68.0,1598,1,69.1,0.29
29,0,0.0,0.51,0,24.4,53.400000000000006,824,105.6,55.8,-22.36,16.945,14.328,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
30,0,0.0,0.51,0,24.4,53.400000000000006,813,106.0,55.8,-22.38,16.773,14.328,4.198,64.0,65.5,68.0,1598,1,69.1,0.3
31,0,0.0,0.51,0,24.4,53.400000000000006,804,106.4,55.8,-22.36,16.625,14.332,4.198,64.0,65.6,68.0,1598,1,69.1,0.3
32,0,0.0,0.52,0,24.3,53.400000000000006,797,106.9,55.9,-22.38,16.477,14.328,4.199,64.0,65.5,68.0,1598,1,69.1,0.3
33,0,0.0,0.52,0,24.3,53.400000000000006,792,107.2,55.8,-22.39,16.344,14.332,4.198,64.0,65.5,68.0,1598,1,69.1,0.3
34,0,0.0,0.52,0,24.3,53.400000000000006,789,107.6,55.8,-22.38,16.219,14.332,4.199,64.0,65.5,68.0,1598,1,69.1,0.31
35,0,0.0,0.51,0,24.2,53.400000000000006,787,107.9,55.9,-22.4,16.117,14.328,4.199,64.0,65.5,68.0,1598,1,69.1,0.3
36,0,0.0,0.51,0,24.2,53.400000000000006,784,108.2,55.9,-22.36,16.023,14.328,4.199,64.0,65.5,68.0,1598,1,69.1,0.3
37,0,0.0,0.51,0,24.2,53.400000000000006,783,108.5,55.9,-22.39,15.938,14.328,4.199,64.0,65.5,68.0,1598,1,69.1,0.3
38,0,0.0,0.52,0,24.2,53.400000000000006,781,108.8,56.0,-22.37,15.859,14.332,4.199,64.0,65.5,68.0,1598,1,69.1,0.31
39,0,0.0,0.5,0,24.3,53.400000000000006,780,109.1,55.9,-22.39,15.789,14.332,4.199,64.0,65.5,68.0,1598,1,69.1,0.29
40,0,0.0,0.53,0,24.3,53.400000000000006,779,109.4,55.9,-22.39,15.711,14.332,4.198,64.0,65.5,68.0,1598,1,69.1,0.3
41,0,0.0,0.52,0,24.2,53.400000000000006,778,109.6,55.9,-22.39,15.641,14.332,4.198,64.0,65.5,68.0,1598,1,69.1,0.29
42,0,0.0,0.52,0,24.2,53.400000000000006,778,109.9,56.0,-22.38,15.586,14.328,4.198,64.0,65.5,69.0,1598,1,69.1,0.3
43,0,0.0,0.51,0,24.2,53.400000000000006,777,110.2,56.0,-22.39,15.539,14.324,4.198,64.0,65.5,69.0,1598,1,69.0,0.29
44,0,0.0,0.5,0,24.099999999999998,53.400000000000006,777,110.5,56.1,-22.36,15.5,14.324,4.199,64.0,65.5,69.0,1598,1,69.1,0.3
45,0,0.0,0.5,0,24.099999999999998,53.400000000000006,777,110.7,56.1,-22.38,15.461,14.324,4.198,64.0,65.5,69.0,1598,1,69.0,0.3
46,0,0.0,0.51,0,24.099999999999998,53.400000000000006,777,111.0,56.1,-22.39,15.43,14.324,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
47,0,0.0,0.51,0,24.099999999999998,53.400000000000006,776,111.3,56.1,-22.37,15.398,14.316,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
48,0,0.0,0.49,0,24.099999999999998,53.400000000000006,777,111.5,56.0,-22.38,15.375,14.32,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
49,0,0.0,0.5,0,24.099999999999998,53.400000000000006,777,111.8,56.0,-22.36,15.352,14.324,4.199,64.0,65.4,69.0,1598,1,69.0,0.31
50,0,0.0,0.51,0,24.2,53.400000000000006,776,112.1,56.1,-22.36,15.328,14.324,4.198,64.0,65.4,69.0,1598,1,69.0,0.3
51,0,0.0,0.5,0,24.099999999999998,53.400000000000006,776,112.3,56.1,-22.36,15.305,14.32,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
52,0,0.0,0.5,0,24.099999999999998,53.400000000000006,776,112.6,56.3,-22.36,15.289,14.324,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
53,0,0.0,0.49,0,24.099999999999998,53.400000000000006,775,112.8,56.3,-22.39,15.273,14.32,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
54,0,0.0,0.5,0,24.2,53.400000000000006,775,113.1,56.2,-22.39,15.266,14.324,4.199,64.0,65.4,69.0,1598,1,69.0,0.29
55,0,0.0,0.49,0,24.2,53.400000000000006,775,113.3,56.3,-22.38,15.258,14.324,4.199,64.0,65.4,69.0,1598,1,69.0,0.29
56,0,0.0,0.5,0,24.099999999999998,53.400000000000006,775,113.6,56.3,-22.38,15.242,14.32,4.198,64.0,65.4,69.0,1598,1,69.0,0.29
57,0,0.0,0.51,0,24.099999999999998,53.400000000000006,775,113.8,56.3,-22.39,15.234,14.32,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
58,0,0.0,0.5,0,24.0,53.400000000000006,776,114.0,56.3,-22.39,15.227,14.32,4.198,64.0,65.4,69.0,1598,1,69.0,0.3
59,0,0.0,0.51,0,24.099999999999998,53.400000000000006,776,114.2,56.3,-22.38,15.211,14.32,4.199,64.0,65.4,69.0,1598,1,69.0,0.3
60,0,0.0,0.51,0,24.099999999999998,53.400000000000006,776,114.5,56.4,-22.39,15.211,14.32,4.199,64.0,65.4,69.0,1598,1,69.0,0.31
61,0,0.0,0.5,0,24.099999999999998,53.400000000000006,776,114.7,56.3,-22.39,15.195,14.32,4.198,64.0,65.4,69.0,1598,1,69.0,0.3
62,0,0.0,0.51,0,24.2,53.400000000000006,776,115.0,56.2,-22.4,15.18,14.324,4.199,64.0,65.4,69.0,1598,1,69.0,0.31
63,0,0.0,0.51,0,24.2,53.400000000000006,775,115.2,56.4,-22.4,15.172,14.324,4.198,64.0,65.4,69.0,1598,1,69.0,0.31
64,0,0.0,0.49,0,24.2,53.400000000000006,775,115.4,56.3,-22.4,15.156,14.324,4.198,64.0,65.4,69.0,1598,1,69.0,0.31
65,0,0.0,0.49,0,24.2,53.400000000000006,774,115.7,56.3,-22.39,15.156,14.328,4.199,64.0,65.3,69.0,1598,1,69.0,0.3
66,0,0.0,0.48,0,24.2,53.400000000000006,774,115.9,56.3,-22.39,15.156,14.332,4.198,64.0,65.4,69.0,1598,1,69.0,0.31
67,0,0.0,0.5,0,24.2,53.400000000000006,774,116.1,56.4,-22.38,15.156,14.332,4.199,64.0,65.3,69.0,1598,1,69.0,0.31
68,0,0.0,0.5,0,24.2,53.400000000000006,774,116.3,56.4,-22.38,15.156,14.336,4.199,64.0,65.3,69.0,1598,1,69.0,0.31
69,0,0.0,0.51,0,24.2,53.400000000000006,774,116.5,56.3,-22.38,15.148,14.332,4.198,64.0,65.3,69.0,1598,1,69.0,0.3
70,0,0.0,0.51,0,24.2,53.400000000000006,774,116.8,56.3,-22.39,15.141,14.332,4.198,64.0,65.3,69.0,1598,1,69.0,0.31
71,0,0.0,0.51,0,24.2,53.400000000000006,774,117.0,56.4,-22.41,15.133,14.336,4.198,64.0,65.3,69.0,1598,1,68.9,0.3
72,0,0.0,0.51,0,24.2,53.400000000000006,773,117.1,56.5,-22.4,15.125,14.336,4.198,64.0,65.3,69.0,1598,1,69.0,0.3
73,0,0.0,0.52,0,24.2,53.400000000000006,773,117.3,56.3,-22.38,15.117,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.31
74,0,0.0,0.5,0,24.3,53.400000000000006,773,117.5,56.4,-22.4,15.117,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
75,0,0.0,0.49,0,24.2,53.400000000000006,773,117.6,56.5,-22.38,15.117,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
76,0,0.0,0.51,0,24.2,53.400000000000006,773,117.7,56.4,-22.39,15.125,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
77,0,0.0,0.5,0,24.2,53.400000000000006,774,117.9,56.5,-22.39,15.141,14.332,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
78,0,0.0,0.5,0,24.2,53.400000000000006,774,118.1,56.4,-22.41,15.156,14.332,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
79,0,0.0,0.5,0,24.2,53.400000000000006,774,118.2,56.4,-22.39,15.172,14.332,4.198,64.0,65.3,69.0,1598,1,68.9,0.3
80,0,0.0,0.51,0,24.2,53.400000000000006,774,118.3,56.6,-22.4,15.195,14.332,4.198,64.0,65.3,69.0,1598,1,68.9,0.3
81,0,0.0,0.5,0,24.2,53.400000000000006,775,118.5,56.5,-22.41,15.211,14.332,4.199,64.0,65.3,69.0,1598,1,68.9,0.31
82,0,0.0,0.5,0,24.2,53.400000000000006,775,118.6,56.5,-22.38,15.227,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.31
83,0,0.0,0.49,0,24.2,53.400000000000006,775,118.7,56.4,-22.42,15.242,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.31
84,0,0.0,0.5,0,24.2,53.400000000000006,774,118.9,56.5,-22.39,15.258,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
85,0,0.0,0.5,0,24.2,53.400000000000006,775,119.0,56.5,-22.4,15.266,14.336,4.199,64.0,65.3,69.0,1598,1,68.9,0.29
86,0,0.0,0.5,0,24.099999999999998,53.400000000000006,776,119.1,56.5,-22.4,15.273,14.332,4.199,64.0,65.3,69.0,1598,1,68.9,0.3
87,0,0.0,0.5,0,24.099999999999998,53.400000000000006,775,119.2,56.5,-22.41,15.297,14.324,4.198,64.0,65.3,69.0,1598,1,68.9,0.31
88,0,0.0,0.49,0,24.099999999999998,53.400000000000006,776,119.4,56.5,-22.41,15.32,14.324,4.199,64.0,65.3,69.0,1598,1,68.9,0.31
