Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.49,0,12.1,36.0,1041,127.6,40.8,-22.4,27.523,14.199,4.198,91.0,89.5,72.0,1574,1,76.2,0.19
2,0,0.025,0.49,0,13.5,38.7,1056,126.4,44.9,-22.31,27.344,14.195,4.198,90.0,89.5,72.0,1574,1,76.3,0.17
3,0,0.025,0.5,0,15.0,41.099999999999994,1072,125.5,48.8,-22.36,27.148,14.195,4.198,91.0,89.4,72.0,1574,1,76.3,0.16
4,0,0.025,0.53,0,16.5,43.1,1081,125.1,52.0,-22.34,26.945,14.195,4.198,91.0,89.4,72.0,1574,1,76.3,0.17
5,0,0.025,0.51,0,18.099999999999998,46.0,1092,124.8,56.1,-22.36,26.719,14.195,4.199,90.0,89.4,72.0,1574,1,76.3,0.17
6,0,0.025,0.51,0,20.200000000000003,49.4,1103,124.8,61.8,-22.33,26.484,14.195,4.198,91.0,89.4,72.0,1574,1,76.3,0.17
7,0,0.0,0.52,0,22.400000000000002,52.6,1098,125.2,66.5,-22.34,26.242,14.191,4.198,90.0,89.4,72.0,1574,1,76.3,0.17
8,0,0.0,0.51,0,23.7,53.5,1066,125.9,67.8,-22.39,26.008,14.188,4.199,91.0,89.4,72.0,1575,1,76.3,0.18
9,0,0.0,0.5,0,24.2,53.400000000000006,1008,126.7,67.4,-22.35,25.766,14.184,4.198,90.0,89.4,72.0,1575,1,76.3,0.18
10,0,0.0,0.5,0,24.5,53.400000000000006,953,127.6,66.9,-22.36,25.523,14.184,4.198,91.0,89.4,72.0,1575,1,76.3,0.17
11,0,0.0,0.5,0,24.8,53.5,912,128.5,66.6,-15.8,25.281,14.184,4.198,91.0,89.4,72.0,1575,1,76.3,0.18
12,0,0.0,0.5,0,28.199999999999996,60.4,920,129.3,76.9,-14.74,25.047,14.184,4.199,90.0,89.4,72.0,1575,1,76.3,0.17
13,0,0.0,0.49,0,34.0,66.9,996,129.9,62.6,-14.75,24.844,14.18,4.198,90.0,89.4,72.0,1575,1,76.3,0.18
14,0,0.0,0.51,0,36.3,67.2,992,130.4,62.4,-13.71,24.633,14.176,4.199,91.0,89.4,72.0,1575,1,76.3,0.17
15,0,0.0,0.51,0,40.9,72.39999999999999,957,131.0,64.3,-10.09,24.422,14.172,4.198,90.0,89.4,72.0,1575,1,76.4,0.17
16,0,0.0,0.5,0,46.400000000000006,75.3,967,131.5,66.0,-10.52,24.227,14.164,4.198,90.0,89.4,72.0,1575,1,76.3,0.16
17,0,0.0,0.52,0,49.1,76.4,954,132.1,66.4,-10.59,24.047,14.164,4.198,90.0,89.4,72.0,1575,1,76.4,0.17
18,0,0.0,0.51,0,49.0,75.3,939,132.5,66.2,-10.18,23.867,14.164,4.199,91.0,89.4,72.0,1575,1,76.4,0.17
19,0,0.0,0.52,0,48.5,75.1,914,132.9,66.2,-10.72,23.703,14.16,4.198,91.0,89.4,72.0,1575,1,76.4,0.17
20,0,0.0,0.52,0,48.199999999999996,75.0,899,133.2,66.1,-10.52,23.547,14.16,4.198,90.0,89.4,72.0,1575,1,76.4,0.17
21,0,0.0,0.51,0,48.0,74.9,891,133.4,65.9,-10.45,23.406,14.16,4.198,91.0,89.4,72.0,1575,1,76.4,0.18
22,0,0.0,0.5,0,47.9,75.0,887,133.5,66.0,-10.36,23.281,14.156,4.198,90.0,89.4,72.0,1575,1,76.4,0.17
23,0,0.0,0.51,0,48.1,75.1,885,133.6,66.0,-10.44,23.172,14.152,4.198,91.0,89.4,72.0,1575,1,76.4,0.18
24,0,0.0,0.5,0,48.1,75.0,884,133.7,65.8,-10.48,23.07,14.152,4.198,91.0,89.4,72.0,1575,1,76.4,0.17
25,0,0.0,0.51,0,48.199999999999996,75.1,884,133.7,65.9,-10.42,22.984,14.152,4.199,91.0,89.5,72.0,1575,1,76.4,0.18
26,0,0.0,0.51,0,48.199999999999996,75.1,884,133.8,65.9,-10.5,22.891,14.16,4.199,90.0,89.5,72.0,1575,1,76.4,0.18
27,0,0.0,0.5,0,46.7,73.2,882,133.9,65.5,-12.62,22.812,14.172,4.199,91.0,89.5,72.0,1575,1,76.4,0.18
28,0,0.0,0.5,0,43.8,71.3,858,134.0,64.5,-12.77,22.727,14.18,4.198,91.0,89.5,72.0,1575,1,76.4,0.18
29,0,0.0,0.49,0,43.0,71.3,845,134.1,64.3,-12.7,22.656,14.184,4.199,91.0,89.5,72.0,1575,1,76.5,0.19
30,0,0.0,0.49,0,42.699999999999996,71.3,840,134.3,64.2,-12.73,22.586,14.188,4.198,91.0,89.5,72.0,1575,1,76.4,0.18
31,0,0.0,0.49,0,42.6,71.3,838,134.5,64.3,-12.71,22.523,14.184,4.198,91.0,89.5,72.0,1575,1,76.4,0.19
32,0,0.0,0.5,0,42.6,71.3,838,134.6,64.3,-12.71,22.469,14.184,4.199,91.0,89.5,72.0,1575,1,76.4,0.19
33,0,0.0,0.5,0,42.6,71.3,837,134.8,64.3,-12.66,22.422,14.18,4.198,91.0,89.5,72.0,1575,1,76.5,0.18
34,0,0.0,0.5,0,42.5,71.3,837,135.1,64.5,-12.64,22.375,14.184,4.199,91.0,89.5,72.0,1575,1,76.4,0.19
35,0,0.0,0.5,0,42.5,71.39999999999999,837,135.3,64.4,-12.57,22.336,14.188,4.198,91.0,89.5,72.0,1575,1,76.5,0.19
36,0,0.0,0.5,0,41.099999999999994,69.69999999999999,835,135.5,63.9,-15.43,22.305,14.188,4.199,90.0,89.6,72.0,1575,1,76.5,0.19
37,0,0.0,0.5,0,37.6,66.2,812,135.8,62.4,-15.52,22.266,14.191,4.199,91.0,89.5,72.0,1575,1,76.5,0.2
38,0,0.0,0.5,0,35.699999999999996,65.3,792,136.0,62.0,-15.02,22.234,14.191,4.198,91.0,89.6,72.0,1575,1,76.5,0.2
39,0,0.0,0.5,0,35.4,65.8,790,136.3,62.2,-15.28,22.195,14.195,4.198,91.0,89.6,72.0,1575,1,76.5,0.2
40,0,0.0,0.49,0,35.3,65.8,795,136.5,62.2,-15.27,22.172,14.195,4.198,91.0,89.6,72.0,1575,1,76.5,0.19
41,0,0.0,0.5,0,35.3,65.8,797,136.8,62.2,-15.27,22.148,14.195,4.199,91.0,89.6,72.0,1575,1,76.5,0.18
42,0,0.0,0.51,0,35.3,65.8,799,137.1,62.1,-15.28,22.117,14.199,4.198,91.0,89.6,72.0,1575,1,76.5,0.18
43,0,0.0,0.5,0,35.4,65.8,800,137.4,62.2,-15.22,22.109,14.203,4.199,90.0,89.6,72.0,1575,1,76.5,0.18
44,0,0.0,0.5,0,35.4,65.9,800,137.6,62.3,-15.14,22.102,14.203,4.198,91.0,89.6,72.0,1575,1,76.5,0.18
45,0,0.0,0.5,0,35.5,66.10000000000001,801,137.8,62.4,-15.17,22.102,14.207,4.198,91.0,89.6,72.0,1575,1,76.5,0.17
46,0,0.0,0.49,0,35.6,66.10000000000001,802,138.1,62.3,-15.13,22.102,14.207,4.198,90.0,89.6,72.0,1575,1,76.5,0.18
47,0,0.0,0.5,0,35.6,66.10000000000001,801,138.4,62.3,-15.04,22.109,14.207,4.198,91.0,89.6,72.0,1575,1,76.5,0.18
48,0,0.0,0.49,0,35.8,66.4,802,138.6,62.5,-15.0,22.109,14.207,4.198,91.0,89.6,72.0,1575,1,76.5,0.18
49,0,0.0,0.49,0,35.9,66.5,803,138.8,62.5,-14.99,22.117,14.207,4.198,91.0,89.5,72.0,1575,1,76.5,0.18
50,0,0.0,0.49,0,35.9,66.4,803,138.8,62.4,-15.02,22.141,14.207,4.198,91.0,89.5,72.0,1575,1,76.5,0.19
51,0,0.0,0.49,0,35.9,66.4,802,138.9,62.4,-14.98,22.18,14.203,4.198,90.0,89.6,72.0,1575,1,76.5,0.19
52,0,0.0,0.48,0,35.9,66.4,802,139.1,62.5,-15.08,22.211,14.207,4.198,91.0,89.5,72.0,1575,1,76.5,0.18
53,0,0.0,0.49,0,35.8,66.2,800,139.3,62.4,-15.05,22.242,14.203,4.199,91.0,89.5,73.0,1575,1,76.5,0.18
54,0,0.0,0.51,0,35.9,66.3,799,139.5,62.4,-15.0,22.273,14.207,4.199,91.0,89.5,73.0,1575,1,76.5,0.18
55,0,0.0,0.5,0,35.9,66.4,799,139.6,62.4,-15.0,22.297,14.207,4.198,90.0,89.5,73.0,1575,1,76.6,0.18
56,0,0.0,0.51,0,36.0,66.4,799,139.8,62.3,-15.05,22.305,14.207,4.198,90.0,89.5,73.0,1575,1,76.6,0.18
57,0,0.0,0.5,0,35.9,66.4,799,140.0,62.4,-15.01,22.312,14.207,4.198,90.0,89.5,73.0,1575,1,76.6,0.18
58,0,0.0,0.49,0,35.9,66.4,799,140.2,62.4,-15.07,22.32,14.207,4.199,90.0,89.5,73.0,1575,1,76.6,0.17
59,0,0.0,0.5,0,35.8,66.3,798,140.4,62.4,-15.04,22.328,14.207,4.198,90.0,89.5,73.0,1575,1,76.6,0.18
60,0,0.0,0.5,0,38.0,69.69999999999999,804,140.6,63.5,-10.73,22.336,14.207,4.198,91.0,89.4,73.0,1575,1,76.6,0.18
61,0,0.0,0.5,0,43.7,74.1,866,140.9,65.5,-10.89,22.344,14.207,4.198,90.0,89.4,73.0,1575,1,76.6,0.18
62,0,0.0,0.49,0,45.7,74.4,891,141.2,65.8,-10.76,22.352,14.207,4.198,91.0,89.4,73.0,1575,1,76.6,0.18
63,0,0.0,0.51,0,46.300000000000004,74.3,889,141.5,65.9,-11.21,22.352,14.211,4.198,90.0,89.4,73.0,1575,1,76.6,0.18
64,0,0.0,0.51,0,46.400000000000006,74.3,882,141.8,65.9,-11.0,22.336,14.211,4.199,91.0,89.4,73.0,1575,1,76.6,0.19
65,6,0.0,0.51,0,46.400000000000006,74.3,875,142.1,65.7,-11.04,22.32,14.207,4.199,90.0,89.4,73.0,1575,1,76.6,0.17
66,7,0.0,0.5,0,46.300000000000004,74.3,871,142.4,65.8,-11.14,22.305,14.207,4.199,91.0,89.4,73.0,1575,1,76.6,0.17
67,3,0.0,0.51,0,46.2,74.2,869,142.7,65.8,-10.97,22.281,14.207,4.199,90.0,89.4,73.0,1575,1,76.6,0.17
68,2,0.0,0.51,0,46.300000000000004,74.3,868,142.9,65.8,-11.01,22.266,14.207,4.198,90.0,89.4,73.0,1575,1,76.6,0.17
69,2,0.0,0.51,0,46.400000000000006,74.3,867,143.0,65.8,-10.94,22.242,14.207,4.198,90.0,89.4,73.0,1575,1,76.6,0.17
70,2,0.0,0.51,0,46.400000000000006,74.3,867,143.1,65.6,-10.92,22.219,14.211,4.198,91.0,89.3,73.0,1575,1,76.6,0.2
71,2,0.0,0.5,0,46.5,74.3,868,143.1,65.8,-11.0,22.195,14.207,4.199,90.0,89.4,73.0,1575,1,76.6,0.17
72,3,0.0,0.52,0,46.400000000000006,74.3,868,143.2,65.8,-11.02,22.164,14.207,4.198,90.0,89.3,73.0,1575,1,76.6,0.18
73,3,0.0,0.52,0,46.300000000000004,74.2,868,143.2,65.8,-11.04,22.148,14.211,4.198,91.0,89.3,73.0,1575,1,76.6,0.19
74,3,0.0,0.51,0,46.300000000000004,74.3,868,143.3,65.8,-10.98,22.164,14.211,4.198,91.0,89.3,73.0,1575,1,76.6,0.18
75,4,0.0,0.51,0,46.300000000000004,74.3,869,143.4,65.7,-11.03,22.172,14.211,4.198,90.0,89.3,73.0,1575,1,76.6,0.18
76,4,0.0,0.52,0,46.2,74.3,869,143.4,65.8,-10.96,22.195,14.211,4.198,90.0,89.3,73.0,1575,1,76.6,0.17
77,4,0.0,0.52,0,46.400000000000006,74.3,870,143.5,65.7,-11.0,22.227,14.211,4.198,90.0,89.3,73.0,1575,1,76.6,0.18
78,4,0.0,0.52,0,46.5,74.3,870,143.6,65.7,-10.95,22.25,14.211,4.198,90.0,89.3,73.0,1575,1,76.6,0.19
79,4,0.0,0.51,0,46.400000000000006,74.3,870,143.6,65.7,-11.07,22.258,14.211,4.199,90.0,89.3,73.0,1575,1,76.6,0.17
80,4,0.0,0.51,0,46.300000000000004,74.3,870,143.7,65.7,-11.04,22.266,14.211,4.199,90.0,89.3,73.0,1576,1,76.7,0.18
81,5,0.0,0.51,0,46.400000000000006,74.3,870,143.8,65.8,-11.02,22.273,14.211,4.198,90.0,89.3,73.0,1576,1,76.6,0.18
82,5,0.0,0.5,0,46.300000000000004,74.3,869,143.9,65.8,-10.95,22.273,14.215,4.199,90.0,89.3,73.0,1576,1,76.6,0.18
83,5,0.0,0.51,0,46.300000000000004,74.3,870,144.0,65.9,-11.03,22.281,14.215,4.199,90.0,89.3,73.0,1576,1,76.7,0.18
84,6,0.0,0.51,0,46.300000000000004,74.3,871,144.2,65.7,-10.96,22.281,14.215,4.199,90.0,89.2,73.0,1576,1,76.7,0.18
85,6,0.0,0.5,0,46.400000000000006,74.3,872,144.3,65.9,-11.05,22.297,14.215,4.198,90.0,89.2,73.0,1576,1,76.7,0.17
86,6,0.0,0.51,0,46.400000000000006,74.3,871,144.4,65.7,-10.99,22.297,14.211,4.199,90.0,89.2,73.0,1576,1,76.7,0.17
87,6,0.0,0.5,0,46.5,74.3,871,144.6,65.7,-10.97,22.289,14.211,4.198,90.0,89.2,73.0,1576,1,76.7,0.17
88,5,0.0,0.5,0,46.400000000000006,74.3,870,144.7,65.8,-11.04,22.281,14.211,4.198,90.0,89.2,73.0,1576,1,76.7,0.18
89,5,0.0,0.5,0,46.300000000000004,74.2,869,144.8,65.9,-11.07,22.258,14.211,4.198,90.0,89.2,73.0,1576,1,76.7,0.17
90,5,0.0,0.5,0,46.300000000000004,74.3,869,145.0,65.7,-11.0,22.242,14.211,4.199,90.0,89.2,73.0,1576,1,76.7,0.18
91,5,0.0,0.49,0,46.300000000000004,74.3,870,145.2,65.6,-10.99,22.234,14.211,4.199,90.0,89.2,73.0,1576,1,76.7,0.19
92,5,0.0,0.51,0,46.400000000000006,74.3,870,145.3,65.8,-11.03,22.234,14.211,4.198,90.0,89.2,73.0,1576,1,76.7,0.18
93,5,0.0,0.5,0,46.5,74.3,870,145.5,65.8,-11.0,22.227,14.211,4.198,90.0,89.1,73.0,1576,1,76.7,0.18
94,6,0.0,0.51,0,46.5,74.3,871,145.6,65.8,-11.05,22.219,14.211,4.198,90.0,89.1,73.0,1576,1,76.7,0.19
95,6,0.0,0.52,0,46.5,74.2,870,145.8,65.8,-11.2,22.219,14.211,4.198,90.0,89.1,73.0,1576,1,76.7,0.19
96,6,0.0,0.5,0,43.6,71.3,863,145.9,64.8,-22.27,22.203,14.211,4.198,90.0,89.1,73.0,1576,1,76.7,0.18
97,5,0.0,0.49,0,39.4,67.80000000000001,833,146.1,63.3,-22.46,22.188,14.211,4.198,90.0,89.1,73.0,1576,1,76.7,0.19
98,5,0.0,0.49,0,36.199999999999996,65.3,804,146.2,62.1,-22.28,22.164,14.211,4.199,90.0,89.1,73.0,1576,1,76.7,0.18
99,4,0.0,0.49,0,33.800000000000004,63.3,785,146.4,61.1,-22.33,22.156,14.211,4.198,90.0,89.1,73.0,1576,1,76.7,0.18
100,3,0.0,0.49,0,31.900000000000002,61.5,773,146.5,60.4,-22.38,22.141,14.207,4.198,90.0,89.1,73.0,1576,1,76.7,0.19
101,2,0.0,0.48,0,30.2,59.699999999999996,766,146.7,59.6,-22.39,22.133,14.207,4.199,90.0,89.1,73.0,1576,1,76.7,0.18
102,0,0.0,0.49,0,28.7,58.099999999999994,760,146.8,58.9,-22.37,22.133,14.207,4.198,90.0,89.1,73.0,1576,1,76.7,0.18
103,0,0.0,0.48,0,27.400000000000002,56.49999999999999,756,147.0,58.2,-22.4,22.133,14.211,4.198,90.0,89.0,73.0,1576,1,76.7,0.18
104,0,0.0,0.5,0,26.200000000000003,54.900000000000006,753,147.1,57.2,-22.38,22.141,14.211,4.199,90.0,89.0,73.0,1576,1,76.7,0.19
105,0,0.0,0.49,0,25.1,53.6,750,147.2,56.4,-22.4,22.141,14.207,4.199,90.0,89.0,73.0,1576,1,76.7,0.19
106,0,0.0,0.48,0,24.6,53.400000000000006,757,147.3,56.2,-22.4,22.133,14.207,4.198,90.0,89.0,73.0,1576,1,76.7,0.19
107,0,0.0,0.49,0,24.5,53.400000000000006,769,147.5,56.2,-22.41,22.133,14.207,4.199,90.0,89.0,73.0,1576,1,76.7,0.18
108,0,0.0,0.49,0,24.4,53.400000000000006,781,147.8,56.4,-22.39,22.133,14.207,4.199,90.0,89.0,73.0,1576,1,76.7,0.18
109,0,0.0,0.49,0,24.3,53.400000000000006,790,148.0,56.2,-22.4,22.133,14.207,4.198,90.0,89.0,73.0,1576,1,76.7,0.19
110,0,0.0,0.49,0,24.3,53.400000000000006,796,148.2,56.2,-22.4,22.133,14.207,4.199,90.0,89.0,73.0,1576,1,76.7,0.18
111,0,0.0,0.48,0,24.5,53.400000000000006,801,148.4,56.3,-22.39,22.141,14.207,4.198,90.0,88.9,73.0,1576,1,76.7,0.18
112,0,0.0,0.49,0,24.5,53.400000000000006,804,148.7,56.3,-22.39,22.148,14.207,4.198,90.0,88.9,73.0,1576,1,76.7,0.18
113,0,0.0,0.49,0,24.5,53.400000000000006,806,149.0,56.3,-22.4,22.156,14.207,4.199,90.0,88.9,73.0,1576,1,76.7,0.18
114,0,0.0,0.5,0,24.4,53.400000000000006,807,149.2,56.3,-22.39,22.164,14.207,4.198,90.0,88.9,73.0,1576,1,76.7,0.18
115,0,0.0,0.5,0,24.2,53.400000000000006,808,149.5,56.2,-22.39,22.172,14.207,4.198,90.0,88.9,73.0,1576,1,76.7,0.18
116,0,0.0,0.5,0,24.2,53.400000000000006,807,149.7,56.2,-22.42,22.18,14.207,4.199,90.0,88.9,73.0,1576,1,76.7,0.18
117,0,0.0,0.5,0,24.3,53.400000000000006,806,150.0,56.2,-22.39,22.188,14.211,4.198,90.0,88.9,73.0,1576,1,76.7,0.18
118,0,0.0,0.5,0,24.3,53.400000000000006,806,150.2,56.1,-22.39,22.195,14.211,4.198,90.0,88.9,74.0,1576,1,76.7,0.19
119,0,0.0,0.49,0,24.3,53.400000000000006,806,150.4,56.3,-22.42,22.203,14.207,4.199,90.0,88.9,74.0,1576,1,76.7,0.19
120,0,0.0,0.49,0,24.3,53.400000000000006,805,150.6,56.1,-22.42,22.219,14.207,4.198,90.0,88.8,74.0,1576,1,76.7,0.18
121,0,0.0,0.49,0,24.2,53.400000000000006,804,150.7,56.0,-22.39,22.227,14.203,4.198,90.0,88.9,74.0,1576,1,76.8,0.18
122,0,0.0,0.5,0,24.3,53.400000000000006,804,150.9,56.1,-22.41,22.234,14.199,4.199,90.0,88.8,74.0,1576,1,76.7,0.18
123,0,0.0,0.49,0,24.4,53.400000000000006,803,151.1,56.1,-22.38,22.234,14.199,4.199,90.0,88.8,74.0,1576,1,76.8,0.19
124,0,0.0,0.48,0,24.3,53.400000000000006,803,151.2,56.1,-22.41,22.242,14.195,4.198,90.0,88.8,74.0,1576,1,76.8,0.18
125,0,0.0,0.49,0,24.2,53.400000000000006,802,151.3,56.1,-22.41,22.25,14.195,4.199,90.0,88.8,74.0,1577,1,76.8,0.19
126,0,0.0,0.49,0,24.099999999999998,53.400000000000006,802,151.5,56.2,-22.4,22.258,14.195,4.198,90.0,88.8,74.0,1577,1,76.8,0.19
127,0,0.0,0.5,0,24.099999999999998,53.400000000000006,802,151.6,56.0,-22.4,22.266,14.195,4.198,90.0,88.8,74.0,1577,1,76.7,0.19
128,0,0.0,0.49,0,24.099999999999998,53.400000000000006,802,151.7,56.0,-22.42,22.281,14.195,4.198,90.0,88.8,74.0,1577,1,76.8,0.2
129,0,0.0,0.49,0,24.2,53.400000000000006,802,151.8,56.2,-22.42,22.297,14.195,4.199,90.0,88.8,74.0,1577,1,76.8,0.19
130,0,0.0,0.49,0,24.3,53.400000000000006,802,151.9,56.0,-22.41,22.32,14.195,4.198,90.0,88.8,74.0,1577,1,76.8,0.19
131,0,0.0,0.49,0,24.3,53.400000000000006,802,152.0,56.1,-22.41,22.344,14.195,4.198,90.0,88.8,74.0,1577,1,76.8,0.19
132,0,0.0,0.5,0,24.2,53.400000000000006,801,152.1,56.1,-22.41,22.367,14.199,4.198,90.0,88.7,74.0,1577,1,76.8,0.18
133,0,0.0,0.49,0,24.3,53.400000000000006,801,152.2,56.0,-22.4,22.383,14.199,4.199,89.0,88.7,74.0,1577,1,76.8,0.18
134,0,0.0,0.49,0,24.3,53.400000000000006,800,152.3,56.1,-22.42,22.398,14.199,4.198,89.0,88.7,74.0,1577,1,76.8,0.18
