Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.48,0,0.0,12.8,144,94.6,10.7,-22.45,29.297,14.688,4.202,91.0,91.7,125.0,1672,1,96.8,0.16
2,0,0.0,0.48,0,0.5,15.6,295,94.7,17.8,-22.43,29.297,14.688,4.203,91.0,91.7,125.0,1672,1,96.8,0.16
3,0,0.0,0.48,0,1.9,18.5,480,94.7,22.7,-22.45,29.289,14.688,4.202,91.0,91.7,125.0,1672,1,96.8,0.16
4,0,0.0,0.48,0,3.0,21.099999999999998,703,94.8,27.4,-22.43,29.281,14.688,4.203,91.0,91.7,125.0,1672,1,96.8,0.15
5,0,0.0,0.5,0,4.0,23.5,871,94.7,31.5,-22.44,29.266,14.688,4.202,91.0,91.7,125.0,1672,1,96.8,0.17
6,0,0.0,0.49,0,5.2,25.5,966,94.5,34.9,-22.45,29.25,14.684,4.203,91.0,91.7,125.0,1672,1,96.8,0.16
7,0,0.0,0.5,0,6.3,26.200000000000003,1006,94.1,37.2,-22.45,29.211,14.684,4.202,91.0,91.7,125.0,1672,1,96.8,0.17
8,0,0.0,0.47,0,7.1,25.900000000000002,1013,93.7,36.8,-22.44,29.148,14.684,4.202,91.0,91.7,125.0,1672,1,96.8,0.17
9,0,0.0,0.48,0,7.3,22.5,936,93.4,33.1,-22.43,29.062,14.684,4.203,91.0,91.7,125.0,1672,1,96.8,0.17
10,0,0.0,0.47,0,7.199999999999999,20.1,837,93.0,28.5,-22.43,28.977,14.684,4.202,91.0,91.7,125.0,1672,1,96.8,0.16
11,0,0.0,0.47,0,6.9,17.8,737,92.7,24.7,-22.43,28.875,14.684,4.202,91.0,91.7,125.0,1672,1,96.8,0.16
12,0,0.0,0.46,0,6.6000000000000005,15.9,637,92.5,21.3,-22.43,28.773,14.684,4.203,91.0,91.7,125.0,1672,1,96.8,0.16
13,0,0.0,0.46,0,6.2,14.399999999999999,540,92.2,18.4,-22.43,28.656,14.684,4.202,91.0,91.7,126.0,1672,1,96.8,0.16
14,0,0.0,0.45,0,5.800000000000001,13.0,479,92.0,16.4,-22.43,28.539,14.684,4.202,91.0,91.7,126.0,1672,1,96.8,0.17
15,0,0.0,0.46,0,5.4,11.899999999999999,434,91.8,14.6,-22.43,28.43,14.684,4.202,91.0,91.7,126.0,1672,1,96.8,0.16
16,0,0.0,0.46,0,5.1,10.9,396,91.7,12.9,-22.43,28.328,14.684,4.202,91.0,91.7,126.0,1672,1,96.8,0.17
17,0,0.0,0.46,0,4.8,10.0,365,91.6,11.5,-22.44,28.242,14.684,4.203,91.0,91.7,126.0,1672,1,96.8,0.17
18,0,0.0,0.46,0,4.5,9.2,340,91.5,10.3,-22.43,28.172,14.688,4.202,91.0,91.7,126.0,1672,1,96.8,0.17
19,0,0.0,0.46,0,4.2,8.4,318,91.5,9.5,-22.42,28.109,14.684,4.202,91.0,91.7,126.0,1672,1,96.9,0.17
20,0,0.0,0.46,0,3.9,7.8,300,91.5,8.6,-22.41,28.055,14.684,4.203,91.0,91.7,126.0,1672,1,96.8,0.17
21,0,0.0,0.45,0,3.6999999999999997,7.199999999999999,284,91.5,7.9,-22.43,28.008,14.684,4.202,91.0,91.7,126.0,1672,1,96.8,0.18
22,0,0.0,0.46,0,3.4000000000000004,6.6000000000000005,271,91.5,7.2,-22.43,27.977,14.684,4.202,91.0,91.7,126.0,1672,1,96.9,0.17
23,0,0.0,0.46,0,3.2,6.1,260,91.5,6.8,-22.43,27.945,14.688,4.202,91.0,91.7,126.0,1672,1,96.8,0.17
24,0,0.0,0.47,0,3.0,5.6000000000000005,250,91.6,6.5,-22.42,27.914,14.688,4.202,91.0,91.7,126.0,1672,1,96.8,0.17
25,0,0.0,0.47,0,2.8000000000000003,5.2,242,91.6,6.1,-22.42,27.883,14.688,4.202,91.0,91.7,126.0,1672,1,96.9,0.16
26,0,0.0,0.46,0,2.6,4.7,234,91.6,5.7,-22.44,27.844,14.688,4.202,91.0,91.7,126.0,1672,1,96.9,0.17
27,0,0.0,0.46,0,0.0,10.4,200,92.8,5.3,-22.43,29.93,14.691,4.203,-8.0,92.0,127.0,1673,1,97.0,0.16
28,0,0.0,0.46,0,0.0,14.000000000000002,280,92.7,15.2,-22.43,29.938,14.691,4.202,92.0,92.0,135.0,1673,1,97.0,0.17
29,0,0.0,0.47,0,1.0999999999999999,17.1,527,92.6,20.0,-22.44,29.938,14.691,4.203,92.0,92.0,127.0,1673,1,97.0,0.16
30,0,0.0,0.46,0,2.3,19.8,787,92.5,25.9,-22.44,29.93,14.688,4.203,92.0,92.0,127.0,1673,1,97.0,0.16
31,0,0.0,0.48,0,3.4000000000000004,22.3,975,92.5,30.4,-22.43,29.922,14.691,4.203,92.0,92.0,127.0,1673,1,97.0,0.18
32,0,0.0,0.49,0,4.5,24.6,1086,92.5,33.9,-22.43,29.914,14.691,4.202,91.0,92.0,127.0,1673,1,97.0,0.18
33,0,0.0,0.5,0,5.7,26.400000000000002,1134,92.5,37.7,-22.42,29.883,14.688,4.203,92.0,92.0,127.0,1673,1,97.0,0.17
34,0,0.0,0.5,0,6.9,27.900000000000002,1138,92.5,40.5,-22.43,29.828,14.688,4.203,92.0,92.0,127.0,1673,1,97.0,0.16
35,0,0.0,0.51,0,8.0,28.599999999999998,1116,92.6,42.4,-22.42,29.742,14.688,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
36,0,0.0,0.5,0,8.9,28.299999999999997,1084,92.6,42.2,-22.43,29.625,14.684,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
37,0,0.0,0.51,0,9.5,28.199999999999996,1062,92.5,42.0,-22.43,29.516,14.684,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
38,0,0.0,0.52,0,10.100000000000001,28.499999999999996,1054,92.5,42.4,-22.44,29.375,14.684,4.203,92.0,92.0,127.0,1673,1,97.0,0.17
39,0,0.0,0.5,0,10.6,29.099999999999998,1064,92.5,43.4,-22.43,29.219,14.68,4.203,91.0,92.0,127.0,1673,1,97.0,0.16
40,0,0.0,0.5,0,11.3,30.099999999999998,1096,92.5,45.2,-22.42,29.047,14.68,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
41,0,0.0,0.48,0,12.1,31.6,1148,92.5,47.4,-22.42,28.875,14.676,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
42,0,0.0,0.5,0,13.100000000000001,33.5,1220,92.5,50.7,-22.42,28.703,14.676,4.202,91.0,92.0,127.0,1673,1,97.0,0.18
43,0,0.0,0.48,0,14.499999999999998,35.8,1303,92.6,55.0,-22.41,28.516,14.676,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
44,0,0.0,0.47,0,15.7,38.6,1364,92.6,60.0,-22.42,28.367,14.676,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
45,0,0.0,0.48,0,17.2,41.9,1411,92.7,65.8,-22.39,28.219,14.676,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
46,0,0.0,0.48,0,19.0,45.9,1428,92.8,73.3,-22.37,28.07,14.672,4.202,91.0,92.0,127.0,1673,1,97.0,0.18
47,0,0.0,0.48,0,21.4,50.7,1414,93.0,53.3,-22.38,27.922,14.664,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
48,0,0.0,0.48,0,23.799999999999997,53.6,1366,93.0,54.3,-22.39,27.766,14.656,4.203,91.0,92.0,127.0,1673,1,97.0,0.18
49,0,0.0,0.49,0,24.7,53.400000000000006,1273,93.1,54.4,-22.4,27.594,14.652,4.202,91.0,92.0,127.0,1673,1,97.0,0.18
50,0,0.0,0.5,0,25.1,53.400000000000006,1173,93.3,54.4,-22.39,27.391,14.648,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
51,0,0.0,0.5,0,25.2,53.400000000000006,1074,93.4,54.5,-22.38,27.219,14.645,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
52,0,0.0,0.5,0,25.1,53.400000000000006,999,93.5,54.5,-22.38,27.031,14.645,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
53,0,0.0,0.5,0,25.1,53.400000000000006,950,93.6,54.5,-22.38,26.844,14.641,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
54,0,0.0,0.5,0,25.0,53.400000000000006,915,93.8,54.4,-22.39,26.68,14.645,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
55,0,0.0,0.49,0,25.0,53.400000000000006,891,93.9,54.5,-22.4,26.531,14.645,4.203,91.0,92.0,127.0,1673,1,97.0,0.18
56,0,0.0,0.49,0,25.0,53.400000000000006,874,94.0,54.6,-22.39,26.414,14.641,4.202,91.0,92.0,127.0,1673,1,97.0,0.18
57,0,0.0,0.5,0,24.9,53.400000000000006,861,94.1,54.6,-22.4,26.289,14.641,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
58,0,0.0,0.5,0,24.9,53.400000000000006,852,94.2,54.6,-22.38,26.195,14.641,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
59,0,0.0,0.49,0,24.9,53.400000000000006,845,94.4,54.7,-22.4,26.086,14.641,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
60,0,0.0,0.49,0,24.8,53.400000000000006,840,94.5,54.6,-22.39,25.984,14.641,4.203,91.0,92.0,127.0,1673,1,97.0,0.18
61,0,0.0,0.49,0,24.8,53.400000000000006,837,94.7,54.7,-22.4,25.891,14.641,4.203,91.0,92.0,127.0,1673,1,97.0,0.17
62,0,0.0,0.5,0,24.8,53.400000000000006,835,94.8,54.8,-22.37,25.812,14.641,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
63,0,0.0,0.5,0,24.8,53.400000000000006,833,95.0,54.8,-22.39,25.734,14.637,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
64,0,0.0,0.49,0,24.7,53.400000000000006,831,95.1,54.8,-22.39,25.633,14.641,4.202,91.0,92.0,127.0,1673,1,97.0,0.17
