Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.51,0,0.0,11.899999999999999,211,106.1,6.1,-22.46,29.938,14.184,4.199,9.899999762399945e+24,67.0,64.0,1768,1,68.0,0.32
2,0,0.0,0.52,0,0.0,15.1,400,106.3,11.4,-22.46,29.852,14.184,4.199,-4.0,67.0,64.0,1768,1,68.0,0.32
3,0,0.0,0.51,0,1.6,18.0,671,106.4,16.8,-22.46,29.672,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
4,0,0.0,0.52,0,2.6,20.599999999999998,912,106.5,20.1,-22.46,29.461,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.31
5,0,0.0,0.52,0,3.8,23.1,1075,106.0,24.8,-22.46,29.227,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
6,0,0.0,0.53,0,5.0,25.5,1166,104.7,28.6,-22.46,28.93,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.31
7,0,0.0,0.54,0,6.3,27.6,1201,103.1,32.3,-22.46,28.547,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.31
8,0,0.0,0.51,0,7.6,29.5,1199,101.3,35.8,-22.46,28.078,14.184,4.199,66.0,66.9,64.0,1768,1,68.0,0.31
9,0,0.0,0.49,0,8.9,31.0,1171,99.7,39.0,-22.45,27.492,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
10,0,0.0,0.5,0,10.0,32.1,1127,98.1,41.5,-22.45,26.805,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
11,0,0.0,0.5,0,11.0,33.5,1080,96.7,44.1,-22.45,26.039,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
12,0,0.0,0.49,0,12.0,35.4,1044,95.3,47.6,-22.44,25.219,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
13,0,0.0,0.49,0,13.3,37.9,1026,94.1,52.1,-22.43,24.391,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
14,0,0.0,0.5,0,14.7,40.6,1020,93.1,57.0,-22.47,23.562,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
15,0,0.0,0.52,0,16.1,42.8,1013,92.6,62.1,-22.45,22.766,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.33
16,0,0.0,0.52,0,17.8,45.6,1007,92.5,66.8,-22.45,22.0,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
17,0,0.0,0.51,0,19.7,48.9,1004,92.9,72.2,-22.45,21.273,14.184,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
18,0,0.0,0.51,0,22.0,52.2,995,93.5,78.1,-22.45,20.57,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.33
19,0,0.0,0.51,0,23.599999999999998,53.400000000000006,969,94.2,55.2,-22.45,19.906,14.188,4.199,66.0,66.9,64.0,1768,1,68.0,0.32
20,0,0.0,0.51,0,24.2,53.400000000000006,920,94.9,55.0,-22.45,19.25,14.188,4.199,66.0,67.0,64.0,1768,1,68.0,0.32
21,0,0.0,0.52,0,24.5,53.300000000000004,872,95.5,55.1,-22.43,18.641,14.188,4.198,66.0,66.9,64.0,1768,1,68.0,0.32
22,0,0.0,0.52,0,24.7,53.400000000000006,837,96.2,55.3,-22.43,18.062,14.188,4.199,66.0,66.9,64.0,1768,1,68.0,0.32
23,0,0.0,0.51,0,24.8,53.400000000000006,814,96.8,55.5,-22.43,17.516,14.188,4.199,66.0,67.0,64.0,1768,1,67.9,0.31
24,0,0.0,0.52,0,24.8,53.400000000000006,798,97.4,55.5,-22.42,17.016,14.188,4.199,66.0,66.9,64.0,1768,1,68.0,0.31
25,0,0.0,0.51,0,24.8,53.400000000000006,787,98.0,55.4,-22.41,16.562,14.188,4.199,66.0,66.9,64.0,1768,1,68.0,0.32
26,0,0.0,0.52,0,24.8,53.400000000000006,779,98.6,55.6,-22.41,16.148,14.188,4.199,66.0,66.9,64.0,1768,1,67.9,0.31
27,0,0.0,0.51,0,24.8,53.400000000000006,773,99.1,55.5,-22.41,15.773,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
28,0,0.0,0.52,0,24.7,53.400000000000006,769,99.6,55.4,-22.42,15.43,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
29,0,0.0,0.52,0,24.7,53.400000000000006,766,100.0,55.5,-22.41,15.125,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
30,0,0.0,0.52,0,24.7,53.400000000000006,764,100.5,55.5,-22.41,14.836,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
31,0,0.0,0.52,0,24.7,53.400000000000006,763,100.9,55.5,-22.43,14.578,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
32,0,0.0,0.54,0,24.7,53.400000000000006,761,101.3,55.4,-22.42,14.344,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
33,0,0.0,0.52,0,24.7,53.400000000000006,761,101.6,55.4,-22.41,14.141,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
34,0,0.0,0.52,0,24.7,53.400000000000006,761,102.0,55.4,-22.42,13.953,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
35,0,0.0,0.52,0,24.7,53.400000000000006,760,102.3,55.4,-22.41,13.789,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
36,0,0.0,0.52,0,24.7,53.400000000000006,760,102.7,55.4,-22.4,13.648,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
37,0,0.0,0.52,0,24.7,53.400000000000006,760,103.0,55.5,-22.42,13.516,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
38,0,0.0,0.52,0,24.7,53.400000000000006,760,103.3,55.5,-22.44,13.398,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
39,0,0.0,0.52,0,24.7,53.400000000000006,760,103.6,55.5,-22.41,13.289,14.188,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
40,0,0.0,0.53,0,24.7,53.400000000000006,760,103.9,55.6,-22.42,13.188,14.184,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
41,0,0.0,0.52,0,24.7,53.400000000000006,760,104.2,55.6,-22.4,13.094,14.184,4.199,66.0,66.9,65.0,1768,1,67.9,0.31
42,0,0.0,0.53,0,24.7,53.400000000000006,761,104.5,55.7,-22.41,13.016,14.184,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
43,0,0.0,7.94,1,24.6,53.2,762,104.8,55.6,-22.41,12.938,14.184,4.199,66.0,66.9,65.0,1768,1,67.9,0.32
44,0,0.0,8.86,1,24.6,53.400000000000006,773,105.1,55.7,-22.43,12.875,14.188,4.199,66.0,67.0,65.0,1768,1,67.9,0.32
45,0,0.0,9.09,1,24.6,53.400000000000006,786,105.4,55.7,-22.41,12.812,14.184,4.199,66.0,67.3,65.0,1768,1,67.9,0.31
46,0,0.0,9.42,1,24.6,53.400000000000006,796,105.7,55.7,-22.42,12.766,14.184,4.199,66.0,67.6,65.0,1768,1,67.9,0.32
47,0,0.0,9.69,1,24.6,53.400000000000006,804,106.0,55.7,-22.46,12.719,14.184,4.199,67.0,68.0,65.0,1768,1,67.9,0.31
48,0,0.0,9.93,1,24.6,53.400000000000006,809,106.2,55.8,-22.44,12.672,14.184,4.199,67.0,68.4,65.0,1768,1,67.8,0.32
49,0,0.0,10.3,1,24.6,53.400000000000006,813,106.5,55.8,-22.42,12.633,14.184,4.199,67.0,68.9,65.0,1768,1,67.9,0.31
50,0,0.0,10.58,1,24.6,53.400000000000006,816,106.8,55.8,-22.43,12.594,14.184,4.199,67.0,69.4,65.0,1768,1,67.9,0.31
51,0,0.0,10.86,1,24.6,53.400000000000006,817,107.0,55.8,-22.43,12.555,14.184,4.199,68.0,69.9,65.0,1768,1,67.9,0.31
52,0,0.0,11.02,1,24.6,53.400000000000006,818,107.3,55.9,-22.43,12.531,14.184,4.199,69.0,70.4,65.0,1768,1,67.8,0.31
53,0,0.0,11.24,1,24.6,53.400000000000006,819,107.5,55.8,-22.43,12.5,14.184,4.199,70.0,71.0,65.0,1768,1,67.8,0.31
54,0,0.0,11.54,1,24.6,53.400000000000006,820,107.8,55.8,-22.42,12.469,14.184,4.199,70.0,71.7,65.0,1768,1,67.8,0.3
