Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.49,0,0.0,10.100000000000001,86,64.5,6.4,-22.43,15.922,13.871,4.2,9.899999762399945e+24,64.3,71.0,1757,1,60.9,0.26
2,0,0.0,0.5,0,0.0,13.3,114,64.5,18.7,-22.43,15.922,13.867,4.2,63.0,64.3,71.0,1757,1,60.9,0.27
3,0,0.0,0.49,0,1.0,16.2,288,64.5,29.7,-22.43,15.914,13.871,4.2,63.0,64.3,71.0,1757,1,60.9,0.27
4,0,0.0,0.5,0,2.0,18.7,512,64.6,36.1,-22.43,15.914,13.871,4.2,63.0,64.4,71.0,1757,1,60.9,0.27
5,0,0.0,0.5,0,3.0,20.9,711,64.9,40.5,-22.43,15.906,13.867,4.2,63.0,64.4,71.0,1757,1,60.9,0.26
6,0,0.0,0.52,0,3.9,22.2,851,64.9,43.9,-22.43,15.898,13.867,4.2,62.0,64.4,71.0,1757,1,60.9,0.26
7,0,0.0,0.51,0,4.8,22.3,938,64.9,44.3,-22.43,15.891,13.867,4.2,63.0,64.4,71.0,1757,1,60.9,0.26
8,0,0.0,0.53,0,5.7,22.5,1009,64.8,44.8,-22.42,15.875,13.867,4.2,63.0,64.4,71.0,1757,1,60.9,0.27
9,0,0.0,0.52,0,6.5,22.900000000000002,1086,64.8,45.7,-22.43,15.852,13.867,4.2,63.0,64.4,71.0,1757,1,61.0,0.27
10,0,0.0,0.54,0,7.3,23.5,1180,64.7,47.0,-22.44,15.836,13.863,4.2,63.0,64.4,71.0,1757,1,60.9,0.26
11,0,0.0,0.54,0,8.200000000000001,24.2,1289,64.6,48.8,-22.43,15.805,13.863,4.2,63.0,64.4,71.0,1757,1,60.9,0.27
12,0,0.0,0.53,0,9.1,25.1,1409,64.4,50.9,-22.43,15.789,13.863,4.2,63.0,64.4,71.0,1757,1,60.9,0.27
13,0,0.0,0.53,0,10.100000000000001,26.200000000000003,1534,64.2,53.6,-22.42,15.758,13.863,4.2,62.0,64.4,71.0,1757,1,60.9,0.26
