Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.52,0,0.0,10.8,69,55.7,9.4,-22.4,12.398,14.539,4.197,9.899999762399945e+24,54.0,57.0,1703,0,52.6,0.34
2,0,0.0,0.51,0,0.0,14.000000000000002,168,55.7,24.4,-22.41,12.391,14.543,4.197,9.899999762399945e+24,54.0,57.0,1703,0,52.6,0.34
3,0,0.0,0.52,0,1.3,16.7,372,55.7,35.7,-22.41,12.398,14.539,4.197,53.0,54.0,57.0,1703,0,52.6,0.34
4,0,0.0,0.51,0,2.1999999999999997,19.0,591,55.8,41.1,-22.41,12.391,14.543,4.198,53.0,54.0,57.0,1703,0,52.6,0.34
5,0,0.0,0.5,0,3.1,21.099999999999998,774,55.8,46.0,-22.41,12.391,14.539,4.198,53.0,54.0,57.0,1703,0,52.6,0.33
6,0,0.0,0.5,0,4.1000000000000005,22.900000000000002,892,55.8,50.9,-22.41,12.391,14.539,4.197,53.0,54.0,57.0,1703,0,52.6,0.33
7,0,0.0,0.53,0,5.1,24.3,949,55.9,54.4,-22.41,12.391,14.539,4.197,53.0,54.0,57.0,1703,0,52.6,0.34
8,0,0.0,0.52,0,6.0,25.4,964,55.9,57.2,-22.41,12.391,14.539,4.197,53.0,54.0,57.0,1703,0,52.6,0.33
9,0,0.0,0.53,0,6.9,26.400000000000002,956,55.9,59.5,-22.4,12.391,14.539,4.198,53.0,54.0,57.0,1703,0,52.6,0.33
10,0,0.0,0.54,0,7.8,27.6,945,56.0,62.6,-22.39,12.383,14.539,4.197,53.0,54.0,57.0,1703,0,52.6,0.33
11,0,0.0,0.55,0,8.6,28.9,945,56.0,65.9,-22.4,12.367,14.535,4.198,53.0,54.0,57.0,1703,0,52.6,0.33
