Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.5,0,0.0,10.2,299,141.9,3.0,-22.46,15.852,14.43,4.198,9.899999762399945e+24,103.7,74.0,1731,1,88.9,0.17
2,0,0.0,0.5,0,0.0,13.600000000000001,364,142.5,6.4,-22.46,15.859,14.434,4.198,9.899999762399945e+24,103.7,74.0,1731,1,88.9,0.18
3,0,0.0,0.5,0,1.0999999999999999,16.6,586,143.0,11.9,-22.47,15.859,14.434,4.198,105.0,103.7,74.0,1731,1,88.9,0.19
4,0,0.0,0.49,0,2.1999999999999997,19.3,828,143.3,15.5,-22.46,15.867,14.43,4.198,106.0,103.6,74.0,1731,1,88.8,0.2
5,0,0.0,0.5,0,3.3000000000000003,21.8,1020,143.5,19.0,-22.46,15.859,14.43,4.198,105.0,103.6,74.0,1731,1,88.8,0.18
6,0,0.0,0.49,0,4.5,24.2,1142,143.1,22.1,-22.46,15.844,14.43,4.198,105.0,103.5,74.0,1731,1,88.8,0.17
7,0,0.0,0.52,0,5.800000000000001,26.5,1199,142.3,25.5,-22.46,15.828,14.43,4.198,106.0,103.5,74.0,1731,1,88.8,0.19
8,0,0.0,0.52,0,7.1,28.4,1211,141.2,28.4,-22.46,15.797,14.43,4.198,105.0,103.4,74.0,1731,1,88.7,0.19
9,0,0.0,0.53,0,8.4,30.0,1191,140.1,31.0,-22.46,15.75,14.434,4.198,105.0,103.4,74.0,1731,1,88.7,0.19
10,0,0.0,0.54,0,9.5,31.3,1154,138.9,33.0,-22.47,15.68,14.434,4.198,106.0,103.4,74.0,1731,1,88.7,0.19
11,0,0.0,0.48,0,10.6,32.7,1108,137.7,35.1,-22.46,15.609,14.434,4.198,105.0,103.4,74.0,1731,1,88.6,0.21
12,0,0.0,0.48,0,11.600000000000001,34.599999999999994,1067,136.2,37.9,-22.46,15.516,14.43,4.198,105.0,103.4,74.0,1731,1,88.7,0.2
13,0,0.0,0.48,0,12.9,37.1,1045,134.7,41.5,-22.45,15.422,14.43,4.198,105.0,103.4,74.0,1732,1,88.6,0.19
14,0,0.0,0.5,0,14.2,39.5,1035,133.0,45.8,-22.45,15.32,14.434,4.198,105.0,103.4,74.0,1732,1,88.6,0.19
15,0,0.0,0.49,0,15.7,41.8,1027,131.5,49.5,-22.46,15.219,14.434,4.198,105.0,103.4,74.0,1732,1,88.5,0.18
16,0,0.0,0.51,0,17.4,44.9,1025,130.2,54.5,-22.46,15.102,14.434,4.198,105.0,103.3,74.0,1732,1,88.5,0.18
17,0,0.0,0.52,0,19.400000000000002,48.199999999999996,1025,129.5,59.8,-22.45,14.992,14.434,4.198,105.0,103.3,74.0,1732,1,88.5,0.17
18,0,0.0,0.51,0,21.6,51.7,1014,129.3,65.1,-22.46,14.867,14.434,4.198,105.0,103.2,74.0,1732,1,88.5,0.2
19,0,0.0,0.5,0,23.599999999999998,53.400000000000006,990,129.5,67.8,-22.46,14.75,14.434,4.198,105.0,103.2,75.0,1732,1,88.4,0.2
20,0,0.0,0.5,0,24.4,53.400000000000006,941,129.9,67.7,-22.45,14.633,14.434,4.198,105.0,103.1,75.0,1732,1,88.4,0.18
21,0,0.0,0.51,0,24.8,53.400000000000006,888,130.4,67.5,-22.45,14.516,14.434,4.198,105.0,103.1,75.0,1732,1,88.4,0.18
22,0,0.0,0.52,0,24.9,53.400000000000006,845,130.9,67.3,-22.45,14.406,14.434,4.198,105.0,103.1,75.0,1732,1,88.4,0.2
23,0,0.0,0.52,0,24.8,53.400000000000006,814,131.4,67.0,-22.46,14.297,14.434,4.198,105.0,103.0,75.0,1732,1,88.3,0.19
24,0,0.0,0.51,0,24.8,53.400000000000006,791,131.9,66.8,-22.44,14.195,14.434,4.198,105.0,103.0,75.0,1732,1,88.3,0.19
25,0,0.0,0.51,0,24.8,53.400000000000006,775,132.4,66.7,-22.42,14.102,14.434,4.198,105.0,103.0,75.0,1732,1,88.3,0.18
