Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.48,0,0.0,12.0,126,84.1,7.6,-22.44,17.867,14.777,4.199,9.899999762399945e+24,63.1,69.0,1720,0,62.9,0.21
2,0,0.0,0.5,0,0.0,15.299999999999999,300,84.3,16.4,-22.44,17.859,14.777,4.198,9.899999762399945e+24,63.1,69.0,1720,0,62.9,0.21
3,0,0.0,0.49,0,1.7999999999999998,18.2,550,84.4,23.7,-22.44,17.859,14.777,4.199,62.0,63.1,69.0,1720,0,62.9,0.2
4,0,0.0,0.49,0,2.8000000000000003,20.8,776,84.4,28.7,-22.44,17.867,14.777,4.199,62.0,63.1,69.0,1720,0,62.9,0.21
5,0,0.0,0.51,0,4.0,23.200000000000003,930,84.3,32.6,-22.45,17.891,14.777,4.198,62.0,63.1,69.0,1720,0,62.9,0.21
6,0,0.0,0.52,0,5.2,25.3,1011,83.9,37.0,-22.44,17.93,14.773,4.199,62.0,63.1,69.0,1720,0,62.9,0.2
7,0,0.0,0.52,0,6.4,26.900000000000002,1039,83.1,40.7,-22.45,17.961,14.773,4.199,61.0,63.1,69.0,1720,0,62.9,0.2
8,0,0.0,0.53,0,7.5,28.1,1028,82.4,43.3,-22.45,17.961,14.773,4.199,62.0,63.1,69.0,1720,0,62.9,0.19
9,0,0.0,0.53,0,8.5,29.099999999999998,1000,81.5,46.0,-22.44,17.945,14.773,4.199,62.0,63.1,69.0,1720,0,62.9,0.2
10,0,0.0,0.49,0,9.4,30.599999999999998,974,80.9,49.1,-22.44,17.898,14.77,4.198,62.0,63.1,69.0,1720,0,62.9,0.21
11,0,0.0,0.49,0,10.5,32.5,962,80.4,53.0,-22.44,17.828,14.77,4.199,61.0,63.1,69.0,1720,0,62.9,0.2
12,0,0.0,0.52,0,11.700000000000001,34.599999999999994,966,80.0,57.4,-22.45,17.742,14.766,4.199,61.0,63.0,69.0,1720,0,62.9,0.21
13,0,0.0,0.53,0,13.100000000000001,36.9,977,79.7,62.3,-22.43,17.641,14.766,4.198,62.0,63.0,69.0,1720,0,62.9,0.21
14,0,0.0,0.49,0,14.6,40.0,997,79.3,69.3,-22.44,17.523,14.766,4.199,62.0,63.0,69.0,1720,0,62.9,0.21
15,0,0.0,0.5,0,16.3,43.0,1018,79.0,54.5,-22.43,17.438,14.766,4.199,61.0,63.0,69.0,1720,0,62.9,0.2
16,0,0.0,0.5,0,18.2,46.1,1029,79.0,50.4,-22.44,17.344,14.762,4.199,62.0,63.0,69.0,1720,0,62.9,0.2
17,0,0.0,0.5,0,20.200000000000003,49.4,1024,79.6,51.7,-22.43,17.242,14.754,4.199,61.0,63.0,69.0,1720,0,62.9,0.21
18,0,0.0,0.5,0,22.5,52.7,1009,79.9,53.1,-22.42,17.133,14.75,4.199,61.0,63.0,69.0,1720,0,62.9,0.21
19,0,0.0,0.51,0,23.799999999999997,53.400000000000006,974,80.0,53.5,-22.44,17.008,14.746,4.199,61.0,63.0,69.0,1720,0,62.9,0.2
20,0,0.0,0.51,0,24.4,53.400000000000006,922,80.1,53.6,-22.4,16.875,14.742,4.199,61.0,63.0,69.0,1720,0,62.9,0.22
21,5,0.0,0.51,0,24.7,53.400000000000006,877,80.3,53.6,-22.4,16.727,14.738,4.199,61.0,63.0,69.0,1720,0,62.9,0.21
22,6,0.0,0.52,0,24.7,53.400000000000006,844,80.5,53.6,-22.39,16.586,14.738,4.199,61.0,63.0,69.0,1720,0,62.9,0.21
23,3,0.0,0.52,0,24.7,53.400000000000006,821,80.9,53.6,-22.36,16.445,14.738,4.199,61.0,63.0,69.0,1720,0,62.9,0.21
24,0,0.0,7.22,1,24.8,53.300000000000004,805,81.4,53.6,-22.42,16.305,14.734,4.199,61.0,63.0,69.0,1720,0,62.9,0.2
25,0,0.0,9.15,1,24.7,53.400000000000006,800,82.0,53.6,-22.42,16.18,14.73,4.199,61.0,63.0,69.0,1715,1,62.9,0.2
26,0,0.0,10.23,1,24.6,53.400000000000006,807,82.6,53.7,-22.39,16.062,14.734,4.198,61.0,62.9,69.0,1711,1,62.9,0.21
27,0,0.0,11.32,1,24.6,53.400000000000006,813,83.0,53.7,-22.4,15.953,14.734,4.199,61.0,62.8,69.0,1709,1,62.9,0.21
28,0,0.0,12.71,1,24.7,53.400000000000006,817,83.2,53.7,-22.4,15.852,14.73,4.199,61.0,62.7,69.0,1708,1,62.9,0.22
29,0,0.0,13.86,1,24.6,53.400000000000006,820,83.5,53.7,-22.41,15.766,14.73,4.199,60.0,62.7,69.0,1707,1,62.9,0.21
30,0,0.0,15.0,1,24.5,53.400000000000006,821,83.6,53.8,-22.4,15.695,14.738,4.199,61.0,62.8,69.0,1707,1,62.9,0.2
31,0,0.0,16.09,1,24.5,53.400000000000006,821,83.4,53.9,-22.39,15.625,14.738,4.199,61.0,63.1,69.0,1707,1,62.9,0.2
32,0,0.0,16.59,1,24.6,53.400000000000006,820,83.0,53.9,-22.4,15.562,14.738,4.199,61.0,63.4,69.0,1707,1,62.8,0.2
33,0,0.0,16.81,1,24.6,53.400000000000006,818,82.7,53.9,-22.38,15.508,14.734,4.199,62.0,63.7,69.0,1707,1,62.9,0.19
34,0,0.0,17.11,1,24.7,53.400000000000006,817,82.5,53.9,-22.39,15.461,14.734,4.199,62.0,64.1,69.0,1707,1,62.9,0.19
35,0,0.0,17.39,1,24.7,53.400000000000006,817,82.3,54.0,-22.39,15.422,14.73,4.199,63.0,64.5,69.0,1707,1,62.9,0.2
36,0,0.0,17.57,1,24.7,53.400000000000006,816,82.3,54.0,-22.4,15.383,14.734,4.199,63.0,64.8,69.0,1707,1,62.9,0.2
37,0,0.0,17.47,1,24.7,53.400000000000006,815,82.3,54.0,-22.38,15.352,14.734,4.199,63.0,65.2,69.0,1707,1,62.9,0.21
38,0,0.0,17.3,1,24.7,53.400000000000006,815,82.3,54.0,-22.41,15.328,14.734,4.199,64.0,65.6,69.0,1707,1,62.8,0.21
39,0,0.0,17.04,1,24.7,53.400000000000006,815,82.4,54.1,-22.39,15.312,14.734,4.199,64.0,65.9,69.0,1707,1,62.9,0.21
40,0,0.0,16.87,1,24.7,53.400000000000006,815,82.5,54.0,-22.39,15.289,14.734,4.199,64.0,66.2,69.0,1708,1,62.8,0.21
41,0,0.0,16.56,1,24.7,53.400000000000006,815,82.6,54.1,-22.41,15.266,14.734,4.198,65.0,66.6,69.0,1708,1,62.9,0.21
42,0,0.0,16.34,1,24.7,53.400000000000006,816,82.7,54.1,-22.41,15.25,14.73,4.199,65.0,66.9,69.0,1708,1,62.8,0.2
43,0,0.0,16.08,1,24.7,53.400000000000006,817,82.9,54.1,-22.42,15.219,14.73,4.199,66.0,67.2,69.0,1708,1,62.8,0.21
44,0,0.0,15.85,1,24.7,53.400000000000006,817,83.0,54.2,-22.39,15.195,14.734,4.199,66.0,67.6,69.0,1708,1,62.9,0.21
45,0,0.0,15.52,1,24.7,53.400000000000006,819,83.2,54.1,-22.39,15.172,14.734,4.199,66.0,68.0,69.0,1708,1,62.9,0.2
46,0,0.0,15.2,1,24.6,53.400000000000006,820,83.3,54.1,-22.41,15.148,14.738,4.198,66.0,68.4,69.0,1708,1,62.8,0.19
47,0,0.0,14.91,1,24.7,53.400000000000006,821,83.5,54.2,-22.4,15.125,14.738,4.199,67.0,68.8,69.0,1708,1,62.9,0.21
48,0,0.0,14.71,1,24.7,53.400000000000006,822,83.7,54.2,-22.42,15.109,14.738,4.198,67.0,69.1,69.0,1708,1,62.8,0.2
49,0,0.0,14.63,1,24.6,53.400000000000006,823,83.8,54.2,-22.43,15.094,14.742,4.199,67.0,69.5,69.0,1708,1,62.8,0.2
50,0,0.0,14.61,1,24.6,53.400000000000006,824,84.0,54.2,-22.4,15.078,14.742,4.199,67.0,70.0,70.0,1708,1,62.8,0.2
51,0,0.0,14.64,1,24.7,53.400000000000006,825,84.2,54.2,-22.39,15.062,14.742,4.199,67.0,70.4,70.0,1708,1,62.9,0.2
52,0,0.0,14.56,1,24.7,53.400000000000006,826,84.4,54.3,-22.38,15.047,14.742,4.198,69.0,70.7,69.0,1708,1,62.8,0.2
53,0,0.0,14.54,1,24.7,53.400000000000006,826,84.5,54.3,-22.4,15.031,14.746,4.199,69.0,71.1,70.0,1708,1,62.8,0.2
54,0,0.0,14.58,1,24.7,53.400000000000006,826,84.7,54.2,-22.42,15.023,14.746,4.199,69.0,71.5,70.0,1708,1,62.8,0.2
55,0,0.0,14.52,1,24.7,53.400000000000006,827,84.9,54.3,-22.41,15.023,14.75,4.199,70.0,71.9,70.0,1708,1,62.8,0.2
56,0,0.0,14.55,1,24.6,53.400000000000006,828,85.1,54.2,-22.4,15.023,14.75,4.199,70.0,72.2,70.0,1708,1,62.8,0.2
