Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.48,0,0.0,12.0,309,146.0,3.6,-22.43,29.945,14.305,4.201,64.0,90.3,86.0,1764,1,88.5,0.23
2,0,0.0,0.49,0,0.0,15.8,472,146.5,9.4,-22.43,29.945,14.305,4.201,90.0,90.3,89.0,1764,1,88.5,0.24
3,0,0.0,0.48,0,1.7999999999999998,19.1,720,146.8,14.1,-22.42,29.938,14.305,4.201,90.0,90.3,86.0,1764,1,88.6,0.23
4,0,0.0,0.49,0,2.9000000000000004,22.1,928,147.0,18.6,-22.43,29.906,14.305,4.201,90.0,90.3,86.0,1764,1,88.6,0.24
5,0,0.0,0.49,0,4.2,24.8,1069,146.7,21.6,-22.42,29.867,14.305,4.201,90.0,90.3,86.0,1764,1,88.5,0.23
6,0,0.0,0.51,0,5.6000000000000005,27.1,1148,145.7,24.9,-22.42,29.812,14.305,4.201,90.0,90.3,86.0,1764,1,88.6,0.24
7,0,0.0,0.49,0,7.000000000000001,29.2,1177,144.1,28.4,-22.42,29.734,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.23
8,0,0.0,0.5,0,8.4,31.1,1175,142.5,31.3,-22.41,29.633,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.24
9,0,0.0,0.49,0,9.700000000000001,32.5,1151,140.8,33.5,-22.42,29.508,14.301,4.201,90.0,90.3,87.0,1764,1,88.6,0.25
10,0,0.0,0.49,0,10.9,33.900000000000006,1114,139.2,35.7,-22.41,29.344,14.301,4.201,90.0,90.3,87.0,1764,1,88.6,0.24
11,0,0.0,0.5,0,12.1,35.6,1082,137.5,38.2,-22.42,29.141,14.301,4.201,90.0,90.3,87.0,1764,1,88.6,0.23
12,0,0.0,0.5,0,13.4,37.8,1063,135.9,41.9,-22.39,28.93,14.301,4.201,90.0,90.3,87.0,1764,1,88.6,0.24
13,0,0.0,0.5,0,14.7,40.5,1059,134.2,45.4,-22.39,28.688,14.301,4.201,90.0,90.3,87.0,1764,1,88.6,0.24
14,0,0.0,0.52,0,16.2,42.4,1056,132.7,49.1,-22.38,28.438,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.24
15,0,0.0,0.51,0,17.7,44.6,1056,131.6,52.8,-22.39,28.172,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.23
16,0,0.0,0.51,0,19.5,47.699999999999996,1065,131.2,57.5,-22.38,27.906,14.305,4.201,90.0,90.2,87.0,1764,1,88.6,0.23
17,0,0.0,0.51,0,21.7,51.1,1072,131.2,62.2,-22.4,27.625,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.25
18,0,0.0,0.52,0,23.7,53.400000000000006,1063,131.7,66.0,-22.39,27.367,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.24
19,0,0.0,0.51,0,24.6,53.400000000000006,1022,132.4,65.5,-22.39,27.125,14.305,4.201,90.0,90.2,87.0,1764,1,88.6,0.24
20,0,0.0,0.51,0,24.9,53.400000000000006,969,133.1,65.4,-22.39,26.906,14.305,4.201,90.0,90.3,87.0,1764,1,88.6,0.23
21,0,0.0,0.51,0,24.9,53.400000000000006,923,133.8,65.0,-22.38,26.672,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
22,0,0.0,0.52,0,25.0,53.400000000000006,889,134.5,64.6,-22.39,26.445,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
23,0,0.0,0.52,0,25.0,53.400000000000006,864,135.2,64.6,-22.38,26.211,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
24,0,0.0,0.51,0,25.0,53.400000000000006,848,135.9,64.3,-22.37,25.992,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
25,0,0.0,0.52,0,25.0,53.400000000000006,835,136.5,64.1,-22.38,25.789,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
26,0,0.0,0.51,0,25.0,53.400000000000006,827,137.0,63.9,-22.39,25.594,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
27,0,0.0,0.51,0,25.0,53.400000000000006,820,137.5,63.9,-22.41,25.422,14.301,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
28,0,0.0,0.52,0,25.0,53.400000000000006,816,138.0,63.6,-22.39,25.281,14.301,4.201,90.0,90.2,87.0,1764,1,88.7,0.23
29,0,0.0,0.52,0,25.0,53.400000000000006,813,138.5,63.4,-22.39,25.141,14.301,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
30,0,0.0,0.51,0,24.9,53.400000000000006,810,139.0,63.5,-22.39,25.008,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
31,0,0.0,0.52,0,24.8,53.400000000000006,808,139.4,63.4,-22.38,24.875,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
32,0,0.0,0.51,0,24.9,53.400000000000006,806,139.8,63.3,-22.4,24.758,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
33,0,0.0,0.51,0,24.9,53.400000000000006,806,140.2,63.2,-22.39,24.641,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
34,0,0.0,0.51,0,24.9,53.400000000000006,805,140.6,63.0,-22.38,24.539,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.25
35,0,0.0,0.51,0,24.9,53.400000000000006,805,141.0,63.0,-22.38,24.445,14.301,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
36,0,0.0,0.51,0,25.0,53.400000000000006,805,141.3,62.9,-22.39,24.367,14.301,4.201,90.0,90.2,87.0,1764,1,88.7,0.23
37,0,0.0,0.51,0,24.9,53.400000000000006,804,141.5,63.0,-22.38,24.297,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
38,0,0.0,0.51,0,24.8,53.400000000000006,804,141.8,63.0,-22.41,24.234,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.24
39,0,0.0,0.51,0,24.9,53.400000000000006,804,142.1,63.0,-22.37,24.188,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.22
40,0,0.0,0.52,0,24.9,53.400000000000006,804,142.3,62.9,-22.4,24.148,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.2
41,0,0.0,0.52,0,24.9,53.400000000000006,804,142.6,63.0,-22.41,24.125,14.305,4.201,90.0,90.2,87.0,1764,1,88.7,0.26
