Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.47,0,0.0,11.700000000000001,209,115.2,6.3,-22.4,28.5,14.582,4.199,9.899999762399945e+24,75.2,81.0,1699,1,82.2,0.11
2,0,0.0,0.48,0,0.0,15.0,375,115.5,11.3,-22.39,28.5,14.578,4.199,67.0,75.2,81.0,1699,1,82.2,0.1
3,0,0.0,0.48,0,1.7000000000000002,18.099999999999998,623,115.8,16.8,-22.4,28.492,14.578,4.199,75.0,75.2,81.0,1699,1,82.2,0.1
4,0,0.0,0.47,0,2.7,20.7,851,116.0,20.0,-22.4,28.492,14.578,4.199,76.0,75.2,81.0,1699,1,82.3,0.09
5,0,0.0,0.49,0,3.9,22.900000000000002,1018,115.8,24.4,-22.4,28.477,14.578,4.199,76.0,75.3,81.0,1699,1,82.2,0.09
6,0,0.0,0.5,0,5.1,25.1,1115,114.7,27.8,-22.39,28.461,14.578,4.199,76.0,75.3,81.0,1699,1,82.3,0.09
7,0,0.0,0.51,0,6.3,27.200000000000003,1156,113.0,31.2,-22.38,28.438,14.582,4.199,76.0,75.3,81.0,1699,1,82.2,0.09
8,0,0.0,0.5,0,7.5,28.799999999999997,1161,111.3,34.1,-22.39,28.406,14.582,4.199,75.0,75.3,81.0,1699,1,82.3,0.09
9,0,0.0,0.48,0,8.6,30.0,1141,109.4,36.7,-22.39,28.359,14.582,4.199,75.0,75.3,81.0,1699,1,82.3,0.09
10,0,0.0,0.48,0,9.6,31.3,1109,107.8,39.1,-22.38,28.305,14.582,4.199,74.0,75.3,81.0,1699,1,82.3,0.1
11,0,0.0,0.49,0,10.7,32.9,1083,106.1,42.1,-22.38,28.25,14.578,4.199,74.0,75.3,81.0,1699,1,82.3,0.1
12,0,0.0,0.5,0,11.899999999999999,35.0,1074,104.5,45.6,-22.36,28.18,14.578,4.199,74.0,75.3,81.0,1699,1,82.3,0.1
13,0,0.0,0.5,0,13.200000000000001,37.8,1079,103.0,50.4,-22.29,28.109,14.578,4.199,74.0,75.3,81.0,1699,1,82.2,0.1
14,0,0.0,0.51,0,14.799999999999999,40.699999999999996,1091,102.0,55.3,-22.34,28.023,14.578,4.199,75.0,75.3,81.0,1699,1,82.2,0.1
15,0,0.0,0.51,0,16.3,42.5,1098,101.7,59.0,-22.38,27.945,14.574,4.199,75.0,75.3,81.0,1699,1,82.2,0.09
16,0,0.0,0.51,0,17.9,45.2,1106,101.7,63.9,-22.33,27.852,14.574,4.199,75.0,75.3,81.0,1699,1,82.3,0.1
17,0,0.0,0.51,0,19.900000000000002,48.6,1117,102.0,70.4,-22.36,27.766,14.578,4.199,74.0,75.3,81.0,1699,1,82.3,0.1
18,0,0.0,0.51,0,22.1,52.1,1116,102.5,77.3,-22.36,27.672,14.578,4.199,75.0,75.3,81.0,1699,1,82.3,0.1
19,0,0.0,0.51,0,23.799999999999997,53.5,1091,103.1,78.8,-22.37,27.578,14.578,4.199,75.0,75.3,81.0,1699,1,82.2,0.1
20,0,0.0,0.5,0,24.4,53.400000000000006,1033,103.7,77.8,-22.34,27.484,14.578,4.199,74.0,75.3,81.0,1699,1,82.2,0.1
21,0,0.0,0.5,0,24.7,53.400000000000006,975,104.5,77.8,-22.35,27.398,14.578,4.199,75.0,75.3,81.0,1699,1,82.3,0.11
22,0,0.0,0.5,0,24.8,53.400000000000006,929,105.2,77.2,-22.36,27.312,14.578,4.199,74.0,75.3,81.0,1699,1,82.2,0.11
23,0,0.0,0.5,0,24.8,53.400000000000006,895,105.9,77.1,-22.37,27.227,14.578,4.199,75.0,75.3,81.0,1699,1,82.2,0.1
24,0,0.0,0.5,0,24.8,53.400000000000006,871,106.6,76.6,-22.36,27.148,14.578,4.199,75.0,75.3,81.0,1699,1,82.3,0.1
25,0,0.0,0.51,0,24.7,53.400000000000006,854,107.2,76.5,-22.37,27.07,14.578,4.199,74.0,75.3,81.0,1699,1,82.2,0.11
26,0,0.0,0.5,0,24.8,53.400000000000006,843,107.8,76.1,-22.36,27.0,14.578,4.199,75.0,75.3,81.0,1699,1,82.3,0.11
27,0,0.0,0.51,0,24.8,53.400000000000006,834,108.4,75.8,-22.37,26.938,14.582,4.199,75.0,75.3,81.0,1699,1,82.3,0.1
28,0,0.0,0.51,0,24.8,53.400000000000006,829,108.9,75.9,-22.36,26.883,14.582,4.199,75.0,75.3,81.0,1699,1,82.3,0.1
29,0,0.0,0.49,0,24.7,53.400000000000006,824,109.4,75.4,-22.38,26.836,14.578,4.199,75.0,75.3,81.0,1699,1,82.2,0.1
30,0,0.0,0.51,0,24.6,53.400000000000006,822,109.8,75.3,-22.38,26.781,14.578,4.199,74.0,75.3,81.0,1699,1,82.3,0.1
31,0,0.0,0.5,0,24.7,53.400000000000006,820,110.2,75.2,-22.35,26.742,14.578,4.199,74.0,75.3,81.0,1699,1,82.3,0.1
32,0,0.0,0.5,0,24.7,53.400000000000006,820,110.5,75.0,-22.34,26.695,14.578,4.199,74.0,75.4,81.0,1699,1,82.2,0.11
33,0,0.0,0.49,0,24.6,53.400000000000006,819,110.8,74.8,-22.35,26.664,14.578,4.199,74.0,75.3,81.0,1699,1,82.2,0.11
34,0,0.0,0.5,0,24.6,53.400000000000006,819,111.1,74.7,-22.39,26.625,14.582,4.199,74.0,75.4,81.0,1699,1,82.2,0.1
