Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.5,0,0.0,8.9,94,74.0,3.6,-22.28,29.414,14.781,4.201,9.899999762399945e+24,82.1,107.0,1654,1,93.1,0.3
2,0,0.0,0.5,0,0.0,12.1,111,74.0,11.3,-22.29,29.406,14.781,4.201,9.899999762399945e+24,82.1,107.0,1654,1,93.1,0.3
3,0,0.0,0.51,0,0.0,15.2,275,74.0,20.4,-22.29,29.398,14.781,4.201,79.0,82.1,107.0,1654,1,93.1,0.29
4,0,0.0,0.51,0,1.7999999999999998,17.5,511,74.0,28.8,-22.29,29.375,14.781,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
5,0,0.0,0.51,0,2.7,20.0,732,74.1,32.7,-22.29,29.344,14.781,4.201,80.0,82.1,107.0,1654,1,93.0,0.3
6,0,0.0,0.53,0,3.6999999999999997,22.0,894,74.3,37.3,-22.28,29.305,14.781,4.201,80.0,82.1,107.0,1654,1,93.0,0.3
7,0,0.0,0.53,0,4.8,23.799999999999997,990,74.6,40.7,-22.29,29.242,14.781,4.201,80.0,82.1,107.0,1654,1,93.0,0.3
8,0,0.0,0.53,0,5.800000000000001,24.7,1035,74.8,42.9,-22.28,29.148,14.781,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
9,0,0.0,0.54,0,6.7,24.7,1053,74.9,43.0,-22.29,29.008,14.781,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
10,0,0.0,0.56,0,7.5,25.0,1073,74.9,43.6,-22.29,28.836,14.777,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
11,0,0.0,0.57,0,8.3,25.5,1108,74.8,44.8,-22.29,28.625,14.777,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
12,0,0.0,0.57,0,9.1,26.200000000000003,1164,74.7,46.9,-22.29,28.406,14.777,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
13,0,0.0,0.57,0,10.0,27.3,1238,74.6,49.0,-22.29,28.156,14.777,4.201,80.0,82.1,107.0,1654,1,93.0,0.29
14,0,0.0,0.58,0,10.9,28.4,1320,74.5,51.3,-22.29,27.914,14.777,4.201,79.0,82.1,107.0,1654,1,93.0,0.29
15,0,0.0,0.6,0,11.799999999999999,29.799999999999997,1403,74.4,54.1,-22.28,27.656,14.777,4.201,80.0,82.0,107.0,1654,1,93.0,0.29
16,0,0.0,0.61,0,13.0,31.8,1501,74.4,58.3,-22.29,27.406,14.777,4.201,79.0,82.0,107.0,1654,1,93.0,0.3
17,0,0.0,0.64,0,14.299999999999999,34.2,1600,74.4,63.1,-22.26,27.148,14.777,4.201,79.0,82.0,107.0,1654,1,93.0,0.3
18,0,0.0,0.7,0,15.4,36.5,1646,74.5,68.1,-22.24,26.883,14.773,4.201,80.0,81.9,107.0,1654,1,93.0,0.3
19,0,0.0,0.74,0,16.400000000000002,38.800000000000004,1627,74.5,72.8,-22.21,26.617,14.773,4.201,79.0,81.9,107.0,1654,1,93.0,0.29
20,0,0.0,0.8,0,17.599999999999998,41.3,1577,74.6,50.6,-22.23,26.336,14.77,4.201,79.0,81.8,107.0,1654,1,93.0,0.29
21,0,0.0,0.83,0,19.0,44.5,1518,74.7,50.7,-22.22,26.047,14.766,4.201,79.0,81.7,107.0,1654,1,93.0,0.29
22,0,0.0,0.82,0,20.9,48.699999999999996,1459,74.8,52.3,-22.23,25.766,14.762,4.201,79.0,81.6,107.0,1654,1,93.0,0.3
23,0,0.0,0.73,0,23.3,52.7,1392,75.0,53.9,-22.23,25.461,14.758,4.201,79.0,81.4,107.0,1654,1,93.0,0.29
24,0,0.0,0.54,0,24.6,53.5,1302,75.1,54.6,-22.24,25.156,14.754,4.201,79.0,81.3,107.0,1654,1,93.0,0.28
25,0,0.0,0.53,0,25.1,53.400000000000006,1202,75.2,54.4,-22.25,24.844,14.754,4.201,78.0,81.1,107.0,1654,1,93.0,0.3
26,0,0.0,0.55,0,25.2,53.400000000000006,1102,75.2,54.4,-22.21,24.531,14.75,4.201,78.0,81.0,107.0,1654,1,93.0,0.29
27,0,0.0,0.53,0,25.2,53.400000000000006,1009,75.3,54.3,-22.23,24.227,14.746,4.201,78.0,80.9,107.0,1654,1,93.0,0.3
28,0,0.0,0.54,0,25.1,53.400000000000006,952,75.4,54.3,-22.25,23.945,14.746,4.201,79.0,80.8,107.0,1654,1,93.0,0.29
29,0,0.0,0.54,0,24.9,53.400000000000006,913,75.5,54.3,-22.21,23.68,14.75,4.201,78.0,80.8,107.0,1654,1,93.0,0.29
30,0,0.0,0.53,0,24.8,53.400000000000006,884,75.7,54.2,-22.21,23.43,14.754,4.201,78.0,80.8,107.0,1654,1,92.9,0.3
31,0,0.0,0.53,0,24.7,53.400000000000006,864,75.8,54.1,-22.21,23.188,14.754,4.201,78.0,80.8,107.0,1654,1,93.0,0.28
32,0,0.0,0.53,0,24.7,53.400000000000006,850,75.9,53.9,-22.26,22.977,14.758,4.201,78.0,80.8,107.0,1654,1,92.9,0.29
33,0,0.0,0.53,0,24.7,53.400000000000006,840,76.1,53.8,-22.25,22.781,14.758,4.201,78.0,80.8,107.0,1654,1,92.9,0.29
34,0,0.0,0.54,0,24.7,53.400000000000006,832,76.2,53.7,-22.23,22.609,14.754,4.201,78.0,80.8,107.0,1654,1,92.9,0.29
35,0,0.0,0.52,0,24.7,53.400000000000006,827,76.4,53.8,-22.26,22.453,14.75,4.201,78.0,80.8,107.0,1654,1,92.9,0.3
36,0,0.0,0.54,0,24.7,53.400000000000006,823,76.6,53.8,-22.23,22.312,14.75,4.201,78.0,80.8,107.0,1654,1,92.9,0.29
37,0,0.0,0.55,0,24.7,53.400000000000006,820,76.7,53.7,-22.24,22.188,14.754,4.201,78.0,80.8,107.0,1654,1,92.9,0.3
38,0,0.0,0.54,0,24.7,53.400000000000006,818,77.0,53.7,-22.23,22.078,14.75,4.201,78.0,80.9,107.0,1654,1,92.9,0.3
39,0,0.0,0.55,0,24.6,53.400000000000006,817,77.2,53.6,-22.21,21.977,14.754,4.201,78.0,80.9,107.0,1654,1,92.9,0.29
40,0,0.0,0.53,0,24.6,53.400000000000006,815,77.5,53.6,-22.22,21.875,14.75,4.201,79.0,80.9,107.0,1654,1,92.9,0.29
41,0,0.0,0.53,0,24.6,53.400000000000006,815,77.7,53.6,-22.24,21.781,14.754,4.201,78.0,80.9,107.0,1654,1,92.9,0.3
42,0,0.0,0.54,0,24.6,53.400000000000006,814,78.0,53.6,-22.21,21.688,14.754,4.201,79.0,80.9,107.0,1654,1,92.9,0.29
43,0,0.0,0.54,0,24.5,53.400000000000006,814,78.3,53.6,-22.24,21.609,14.758,4.201,79.0,80.9,107.0,1654,1,92.9,0.29
44,0,0.0,0.54,0,24.5,53.400000000000006,814,78.7,53.6,-22.21,21.523,14.762,4.201,78.0,80.9,107.0,1654,1,92.9,0.29
45,0,0.0,0.54,0,24.5,53.400000000000006,815,79.0,53.6,-22.24,21.445,14.758,4.201,78.0,80.9,107.0,1654,1,92.9,0.29
46,0,0.0,0.53,0,24.5,53.400000000000006,815,79.3,53.6,-22.22,21.383,14.758,4.201,78.0,80.9,107.0,1654,1,92.8,0.28
47,0,0.0,0.52,0,24.5,53.400000000000006,815,79.7,53.6,-22.22,21.328,14.754,4.201,78.0,81.0,107.0,1654,1,92.9,0.29
48,0,0.0,0.54,0,24.5,53.400000000000006,815,80.1,53.6,-22.24,21.281,14.758,4.201,79.0,81.0,107.0,1654,1,92.8,0.29
49,0,0.0,0.54,0,24.5,53.400000000000006,814,80.5,53.6,-22.23,21.25,14.758,4.201,79.0,81.0,107.0,1654,1,92.8,0.29
50,0,0.0,0.53,0,24.5,53.400000000000006,814,80.9,53.7,-22.23,21.227,14.758,4.201,79.0,81.0,107.0,1654,1,92.8,0.29
51,0,0.0,0.55,0,24.5,53.400000000000006,814,81.3,53.7,-22.27,21.211,14.758,4.201,78.0,81.0,107.0,1654,1,92.9,0.29
52,0,0.0,0.54,0,24.5,53.400000000000006,814,81.7,53.6,-22.22,21.188,14.754,4.201,79.0,81.0,107.0,1654,1,92.8,0.29
53,0,0.0,0.53,0,24.5,53.400000000000006,815,82.0,53.6,-22.23,21.18,14.754,4.201,79.0,81.0,107.0,1654,1,92.8,0.29
54,0,0.0,0.52,0,24.5,53.400000000000006,814,82.2,53.7,-22.24,21.164,14.754,4.201,78.0,81.0,107.0,1654,1,92.8,0.3
55,0,0.0,0.53,0,24.5,53.400000000000006,814,82.4,53.7,-22.25,21.156,14.754,4.201,79.0,81.0,107.0,1654,1,92.8,0.29
56,0,0.0,0.53,0,24.5,53.400000000000006,814,82.6,53.7,-22.23,21.148,14.754,4.201,78.0,81.0,107.0,1654,1,92.8,0.29
57,0,0.0,0.53,0,24.5,53.400000000000006,814,82.8,53.7,-22.25,21.141,14.758,4.201,78.0,81.0,107.0,1655,1,92.8,0.29
