Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.52,0,0.0,11.700000000000001,395,150.7,4.8,-22.45,21.578,14.441,4.198,9.899999762399945e+24,94.6,77.0,1625,1,61.5,0.14
2,0,0.0,0.52,0,0.0,14.899999999999999,547,151.2,9.0,-22.44,21.602,14.438,4.198,9.899999762399945e+24,94.6,77.0,1625,1,61.6,0.15
3,0,0.0,0.52,0,1.6,17.8,782,151.4,12.5,-22.44,21.617,14.441,4.198,96.0,94.6,81.0,1625,1,61.6,0.15
4,0,0.0,0.52,0,2.6,20.5,990,151.6,16.0,-22.44,21.625,14.441,4.198,96.0,94.6,77.0,1625,1,61.6,0.15
5,0,0.0,0.53,0,3.8,23.0,1140,151.4,19.4,-22.45,21.625,14.441,4.198,96.0,94.5,77.0,1625,1,61.6,0.15
6,0,0.0,0.55,0,5.1,25.4,1227,150.8,22.2,-22.42,21.625,14.438,4.198,96.0,94.5,77.0,1625,1,61.6,0.15
7,0,0.0,0.56,0,6.5,27.500000000000004,1264,150.0,25.7,-22.43,21.609,14.438,4.198,95.0,94.4,77.0,1625,1,61.6,0.15
8,0,0.0,0.57,0,7.9,29.5,1266,149.0,28.5,-22.43,21.578,14.438,4.198,95.0,94.4,77.0,1625,1,61.6,0.15
9,0,0.0,0.58,0,9.2,31.3,1245,147.6,31.4,-22.41,21.531,14.438,4.198,95.0,94.3,77.0,1625,1,61.6,0.15
10,0,0.0,0.52,0,10.4,32.6,1206,146.4,33.1,-22.41,21.461,14.438,4.198,95.0,94.2,77.0,1625,1,61.6,0.15
11,0,0.0,0.53,0,11.5,34.1,1160,144.9,35.3,-22.41,21.375,14.438,4.198,95.0,94.1,77.0,1625,1,61.6,0.16
12,0,0.0,0.52,0,12.6,36.0,1123,143.3,37.9,-22.41,21.273,14.438,4.198,95.0,94.0,77.0,1625,1,61.7,0.15
13,0,0.0,0.52,0,14.000000000000002,38.5,1104,141.4,41.6,-22.37,21.156,14.434,4.198,95.0,93.9,77.0,1625,1,61.7,0.16
14,0,0.0,0.54,0,15.5,41.099999999999994,1096,140.0,45.4,-22.42,21.031,14.434,4.198,94.0,93.9,77.0,1625,1,61.7,0.16
15,0,0.0,0.54,0,17.0,43.1,1088,139.1,48.6,-22.39,20.898,14.434,4.198,94.0,93.8,77.0,1625,1,61.7,0.16
16,0,0.0,0.55,0,18.6,45.9,1086,138.7,52.5,-22.34,20.758,14.434,4.198,94.0,93.8,77.0,1625,1,61.7,0.15
17,0,0.0,0.53,0,20.599999999999998,49.3,1086,138.7,57.5,-22.4,20.602,14.438,4.198,94.0,93.8,77.0,1625,1,61.7,0.15
18,0,0.0,0.56,0,22.900000000000002,52.7,1077,138.9,62.7,-22.39,20.445,14.438,4.198,94.0,93.7,77.0,1625,1,61.7,0.14
19,0,0.0,0.55,0,24.3,53.5,1044,139.1,63.8,-22.41,20.273,14.438,4.198,94.0,93.7,77.0,1625,1,61.8,0.14
20,0,0.0,0.55,0,24.8,53.400000000000006,986,139.4,63.4,-22.42,20.109,14.438,4.198,94.0,93.6,77.0,1625,1,61.8,0.14
21,0,0.0,0.55,0,25.0,53.400000000000006,932,140.0,63.4,-22.38,19.938,14.438,4.198,94.0,93.6,77.0,1625,1,61.8,0.14
22,0,0.0,0.55,0,25.1,53.400000000000006,891,140.5,63.3,-22.4,19.773,14.438,4.198,94.0,93.5,77.0,1625,1,61.8,0.14
23,0,0.0,0.54,0,25.1,53.400000000000006,860,141.1,63.1,-22.41,19.625,14.438,4.198,94.0,93.5,77.0,1625,1,61.8,0.14
24,0,0.0,0.55,0,25.1,53.400000000000006,838,141.5,63.0,-22.4,19.469,14.434,4.198,94.0,93.5,77.0,1625,1,61.8,0.15
25,0,0.0,0.55,0,25.0,53.400000000000006,822,142.0,62.9,-22.4,19.328,14.43,4.198,94.0,93.5,77.0,1625,1,61.8,0.15
26,0,0.0,0.55,0,25.0,53.400000000000006,811,142.5,62.7,-22.4,19.203,14.43,4.198,94.0,93.4,77.0,1625,1,61.8,0.14
27,0,0.0,0.56,0,25.0,53.400000000000006,803,142.8,62.6,-22.4,19.086,14.434,4.198,94.0,93.4,77.0,1625,1,61.9,0.14
28,0,0.0,0.55,0,25.0,53.400000000000006,797,143.2,62.6,-22.41,18.984,14.438,4.198,94.0,93.3,77.0,1625,1,61.9,0.15
29,0,0.0,0.55,0,25.0,53.400000000000006,792,143.5,62.5,-22.41,18.891,14.434,4.198,94.0,93.3,78.0,1625,1,61.9,0.15
30,0,0.0,0.55,0,25.0,53.400000000000006,790,143.8,62.6,-22.41,18.812,14.434,4.198,94.0,93.3,78.0,1625,1,61.9,0.15
31,0,0.0,0.54,0,25.0,53.400000000000006,788,144.0,62.5,-22.41,18.742,14.434,4.198,94.0,93.2,78.0,1625,1,61.9,0.14
32,0,0.0,0.55,0,25.0,53.400000000000006,786,144.3,62.4,-22.41,18.672,14.434,4.198,94.0,93.2,78.0,1625,1,61.9,0.14
33,0,0.0,0.56,0,24.9,53.400000000000006,785,144.5,62.4,-22.42,18.625,14.434,4.198,94.0,93.2,78.0,1625,1,61.9,0.14
34,0,0.0,0.56,0,24.9,53.400000000000006,784,144.6,62.3,-22.4,18.578,14.434,4.198,94.0,93.1,78.0,1625,1,61.9,0.14
35,0,0.0,0.56,0,24.9,53.400000000000006,784,144.8,62.2,-22.41,18.539,14.434,4.198,94.0,93.1,78.0,1625,1,61.9,0.14
36,0,0.0,0.55,0,24.9,53.400000000000006,784,144.9,62.2,-22.44,18.508,14.434,4.198,94.0,93.1,78.0,1625,1,61.9,0.15
37,0,0.0,0.55,0,24.9,53.400000000000006,784,145.1,62.1,-22.44,18.477,14.434,4.198,94.0,93.0,78.0,1625,1,61.9,0.14
38,0,0.0,0.56,0,25.0,53.400000000000006,783,145.2,62.3,-22.41,18.445,14.43,4.198,94.0,93.0,78.0,1625,1,61.9,0.15
39,0,0.0,0.57,0,25.0,53.400000000000006,783,145.3,62.2,-22.41,18.43,14.43,4.198,94.0,93.0,78.0,1625,1,62.0,0.15
40,0,0.0,0.57,0,24.9,53.400000000000006,783,145.3,62.2,-22.42,18.422,14.422,4.198,94.0,92.9,78.0,1625,1,62.0,0.15
41,0,0.0,0.56,0,24.9,53.400000000000006,783,145.4,62.2,-22.41,18.406,14.426,4.198,94.0,92.9,78.0,1625,1,62.0,0.15
42,0,0.0,0.56,0,24.9,53.400000000000006,783,145.5,62.2,-22.44,18.391,14.422,4.198,93.0,92.9,78.0,1625,1,62.0,0.15
43,0,0.0,0.55,0,24.9,53.400000000000006,783,145.7,62.2,-22.41,18.375,14.418,4.198,94.0,92.8,78.0,1625,1,62.0,0.15
44,0,0.0,0.55,0,24.9,53.400000000000006,783,145.7,62.1,-22.41,18.359,14.422,4.198,94.0,92.8,78.0,1625,1,62.0,0.15
45,0,0.0,0.55,0,25.0,53.400000000000006,783,145.9,62.3,-22.42,18.344,14.422,4.198,94.0,92.8,78.0,1625,1,62.0,0.16
46,0,0.0,0.55,0,25.0,53.400000000000006,783,146.0,62.1,-22.41,18.328,14.422,4.198,94.0,92.7,78.0,1625,1,62.0,0.15
47,0,0.0,0.55,0,24.9,53.400000000000006,782,146.0,62.3,-22.38,18.32,14.426,4.198,93.0,92.7,78.0,1625,1,62.0,0.15
48,0,0.0,0.55,0,24.9,53.400000000000006,782,146.1,62.2,-22.42,18.305,14.422,4.198,94.0,92.7,78.0,1625,1,62.1,0.15
49,0,0.0,0.56,0,24.9,53.400000000000006,782,146.2,62.2,-22.42,18.297,14.426,4.198,93.0,92.7,78.0,1625,1,62.1,0.15
50,0,0.0,0.55,0,24.9,53.400000000000006,781,146.3,62.1,-22.43,18.289,14.426,4.198,93.0,92.6,78.0,1625,1,62.1,0.15
51,0,0.0,0.55,0,24.9,53.400000000000006,781,146.3,62.2,-22.41,18.281,14.43,4.198,93.0,92.6,78.0,1625,1,62.1,0.14
52,0,0.0,0.53,0,23.1,47.9,771,146.4,54.3,-22.4,18.273,14.43,4.198,93.0,92.6,78.0,1625,1,62.1,0.14
53,0,0.0,0.54,0,19.5,38.9,695,146.3,42.0,-22.41,18.266,14.43,4.198,93.0,92.5,78.0,1625,1,62.1,0.14
