Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.52,0,0.0,11.899999999999999,324,116.1,7.4,-22.38,14.969,14.367,4.198,9.899999762399945e+24,60.1,68.0,1592,0,57.5,0.23
2,0,0.0,0.54,0,0.0,14.899999999999999,491,116.5,10.9,-22.38,14.969,14.367,4.198,58.0,60.1,68.0,1592,0,57.5,0.23
3,0,0.0,0.53,0,1.7000000000000002,17.5,758,116.8,16.0,-22.38,14.969,14.367,4.198,59.0,60.1,68.0,1592,0,57.5,0.24
4,0,0.0,0.53,0,2.7,19.900000000000002,986,116.9,19.6,-22.38,14.969,14.367,4.198,59.0,60.1,68.0,1592,0,57.5,0.23
5,0,0.0,0.53,0,3.9,22.2,1130,116.8,23.1,-22.39,14.961,14.367,4.199,58.0,60.1,68.0,1592,0,57.5,0.23
6,0,0.0,0.53,0,5.1,24.3,1206,116.6,26.4,-22.39,14.961,14.363,4.198,58.0,60.1,68.0,1592,0,57.5,0.24
7,0,0.0,0.55,0,6.3,26.200000000000003,1230,116.4,29.5,-22.39,14.961,14.367,4.199,59.0,60.1,68.0,1592,0,57.5,0.23
8,0,0.0,0.58,0,7.5,27.700000000000003,1218,116.2,32.0,-22.39,14.953,14.367,4.199,59.0,60.1,68.0,1592,0,57.5,0.21
9,0,0.0,0.58,0,8.5,28.9,1180,116.0,34.0,-22.39,14.953,14.363,4.198,59.0,60.1,68.0,1592,0,57.5,0.22
10,0,0.0,0.59,0,9.4,30.0,1130,115.8,35.6,-22.38,14.953,14.367,4.199,58.0,60.1,68.0,1592,0,57.5,0.23
11,0,0.0,0.6,0,10.299999999999999,31.4,1086,115.7,37.6,-22.39,14.953,14.367,4.199,59.0,60.2,68.0,1592,0,57.5,0.24
12,0,0.0,0.61,0,11.3,33.300000000000004,1062,115.5,40.7,-22.38,14.953,14.367,4.198,58.0,60.2,68.0,1592,0,57.5,0.24
13,0,0.0,0.63,0,12.4,35.4,1057,115.3,43.7,-22.34,14.953,14.367,4.199,59.0,60.2,68.0,1592,0,57.5,0.24
14,0,0.0,0.65,0,13.8,38.0,1065,115.1,47.8,-22.33,14.953,14.363,4.199,58.0,60.3,68.0,1592,0,57.5,0.24
15,0,0.0,0.67,0,15.299999999999999,41.199999999999996,1080,115.1,53.2,-22.3,14.953,14.363,4.198,59.0,60.4,68.0,1592,0,57.5,0.24
16,0,0.0,0.72,0,17.0,43.7,1092,115.0,57.2,-22.34,14.945,14.363,4.198,58.0,60.5,68.0,1592,0,57.5,0.24
17,0,0.0,0.77,0,18.7,46.800000000000004,1095,115.0,62.9,-22.31,14.945,14.363,4.199,59.0,60.5,68.0,1592,0,57.5,0.24
18,0,0.0,0.96,0,20.9,50.2,1094,115.1,68.5,-22.3,14.938,14.363,4.199,59.0,60.6,68.0,1592,0,57.5,0.24
19,0,0.0,1.19,0,23.1,53.1,1078,115.3,73.8,-22.3,14.93,14.363,4.198,60.0,60.7,68.0,1592,0,57.5,0.24
20,0,0.0,1.43,0,24.3,53.400000000000006,1036,115.3,74.4,-22.37,14.922,14.363,4.199,60.0,60.8,68.0,1592,0,57.5,0.24
21,0,0.0,1.4,0,24.8,53.400000000000006,976,115.4,74.3,-22.35,14.914,14.363,4.199,60.0,61.0,68.0,1592,0,57.5,0.23
22,0,0.0,1.32,0,24.9,53.400000000000006,925,115.6,74.3,-22.36,14.906,14.363,4.199,60.0,61.1,68.0,1592,0,57.5,0.24
23,0,0.0,0.79,0,24.9,53.400000000000006,886,115.7,74.1,-22.35,14.898,14.363,4.198,60.0,61.3,68.0,1590,0,57.5,0.23
