Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.62,0,0.0,11.600000000000001,247,116.8,5.0,-22.44,29.844,14.402,4.199,9.899999762399945e+24,67.2,69.0,1751,1,76.5,0.3
2,0,0.0,0.61,0,0.0,15.0,417,117.1,9.6,-22.44,29.836,14.402,4.198,9.899999762399945e+24,67.2,69.0,1751,1,76.6,0.29
3,0,0.0,0.63,0,1.6,18.0,672,117.3,15.7,-22.44,29.805,14.402,4.198,66.0,67.2,96.0,1751,1,76.5,0.3
4,0,0.0,0.62,0,2.7,20.8,904,117.4,19.5,-22.43,29.766,14.402,4.199,66.0,67.2,69.0,1751,1,76.5,0.3
5,0,0.0,0.65,0,3.8,23.3,1068,116.8,23.8,-22.43,29.703,14.402,4.199,66.0,67.2,69.0,1751,1,76.5,0.31
6,0,0.0,0.64,0,5.1,25.6,1163,115.4,27.0,-22.42,29.602,14.402,4.199,66.0,67.2,69.0,1751,1,76.5,0.3
7,0,0.0,0.65,0,6.4,27.700000000000003,1204,113.4,30.7,-22.43,29.453,14.402,4.199,66.0,67.2,70.0,1751,1,76.5,0.3
8,0,0.0,0.67,0,7.7,29.5,1209,111.4,33.7,-22.42,29.258,14.398,4.199,66.0,67.2,70.0,1751,1,76.5,0.3
9,0,0.0,0.68,0,9.0,31.0,1188,109.3,36.8,-22.42,29.008,14.398,4.199,66.0,67.2,70.0,1751,1,76.5,0.3
10,0,0.0,0.69,0,10.100000000000001,32.300000000000004,1153,107.6,39.2,-22.41,28.688,14.395,4.199,66.0,67.2,70.0,1751,1,76.5,0.31
11,0,0.0,0.73,0,11.1,33.800000000000004,1116,105.8,41.8,-22.42,28.328,14.395,4.199,66.0,67.2,70.0,1751,1,76.5,0.32
12,0,0.0,0.81,0,12.3,35.9,1092,104.1,45.7,-22.41,27.93,14.398,4.199,66.0,67.2,70.0,1751,1,76.5,0.3
13,0,0.0,0.86,0,13.600000000000001,38.5,1086,102.7,49.6,-22.38,27.484,14.398,4.199,66.0,67.2,70.0,1751,1,76.5,0.3
14,0,0.0,0.94,0,15.1,41.099999999999994,1089,101.9,54.3,-22.41,27.023,14.395,4.198,66.0,67.2,70.0,1751,1,76.5,0.31
15,0,0.0,1.05,0,16.6,42.9,1090,101.5,57.6,-22.39,26.539,14.395,4.199,66.0,67.1,70.0,1751,1,76.5,0.31
16,0,0.0,1.2,0,18.2,45.6,1094,101.6,62.1,-22.41,26.039,14.395,4.199,66.0,67.1,70.0,1751,1,76.5,0.31
17,0,0.0,1.47,0,20.200000000000003,48.9,1101,102.0,68.7,-22.41,25.531,14.395,4.199,66.0,67.1,70.0,1751,1,76.5,0.31
18,0,0.0,1.87,0,22.400000000000002,52.300000000000004,1102,102.7,74.9,-22.41,25.023,14.395,4.199,66.0,67.0,70.0,1751,1,76.5,0.3
19,0,0.0,2.0,0,24.0,53.5,1078,103.6,63.8,-22.38,24.523,14.395,4.199,66.0,66.9,70.0,1751,1,76.5,0.3
20,0,0.0,2.09,0,24.6,53.400000000000006,1023,104.4,55.7,-22.38,24.023,14.391,4.199,66.0,66.8,70.0,1751,1,76.5,0.31
21,0,0.0,2.09,0,24.7,53.400000000000006,969,105.2,55.7,-22.41,23.539,14.387,4.199,65.0,66.8,70.0,1751,1,76.5,0.3
22,0,0.0,2.08,0,24.7,53.400000000000006,927,105.9,55.7,-22.38,23.086,14.387,4.198,65.0,66.7,70.0,1751,1,76.5,0.3
23,0,0.0,2.08,0,24.7,53.400000000000006,896,106.7,55.8,-22.39,22.664,14.387,4.198,65.0,66.6,70.0,1751,1,76.5,0.31
24,0,0.0,2.08,0,24.7,53.400000000000006,874,107.3,55.8,-22.4,22.266,14.383,4.199,64.0,66.5,70.0,1751,1,76.4,0.31
25,0,0.0,2.07,0,24.7,53.400000000000006,858,108.0,55.9,-22.39,21.906,14.383,4.199,64.0,66.4,70.0,1751,1,76.4,0.3
26,0,0.0,2.07,0,24.7,53.400000000000006,847,108.6,55.9,-22.41,21.57,14.383,4.199,64.0,66.3,70.0,1751,1,76.4,0.31
27,0,0.0,2.05,0,24.7,53.400000000000006,839,109.2,55.8,-22.41,21.266,14.383,4.199,64.0,66.3,70.0,1751,1,76.4,0.31
28,0,0.0,2.06,0,24.7,53.400000000000006,833,109.7,55.9,-22.41,20.992,14.387,4.199,64.0,66.2,70.0,1751,1,76.4,0.3
29,0,0.0,2.06,0,24.8,53.400000000000006,829,110.3,55.9,-22.41,20.734,14.387,4.199,64.0,66.2,70.0,1751,1,76.4,0.29
30,0,0.0,2.05,0,24.8,53.400000000000006,826,110.7,55.9,-22.38,20.492,14.391,4.198,64.0,66.2,70.0,1751,1,76.4,0.31
31,0,0.0,2.04,0,24.8,53.400000000000006,824,111.2,56.0,-22.41,20.281,14.391,4.199,64.0,66.2,70.0,1751,1,76.4,0.31
32,0,0.0,2.04,0,24.8,53.400000000000006,822,111.5,55.9,-22.41,20.086,14.391,4.199,64.0,66.2,70.0,1751,1,76.4,0.3
33,0,0.0,2.04,0,24.8,53.400000000000006,821,111.9,56.1,-22.38,19.906,14.391,4.199,64.0,66.3,70.0,1751,1,76.4,0.31
34,0,0.0,2.03,0,24.8,53.400000000000006,820,112.3,56.2,-22.42,19.75,14.387,4.199,64.0,66.4,70.0,1751,1,76.4,0.31
35,0,0.0,2.02,0,24.8,53.400000000000006,820,112.6,56.1,-22.41,19.602,14.387,4.199,64.0,66.4,70.0,1751,1,76.4,0.3
36,0,0.0,2.03,0,24.7,53.400000000000006,821,112.9,56.2,-22.41,19.484,14.383,4.199,64.0,66.6,70.0,1751,1,76.4,0.31
37,0,0.0,2.01,0,24.7,53.400000000000006,821,113.3,56.1,-22.39,19.375,14.383,4.199,65.0,66.7,70.0,1751,1,76.4,0.3
38,0,0.0,2.04,0,24.7,53.400000000000006,821,113.5,56.2,-22.41,19.273,14.383,4.199,65.0,66.9,70.0,1751,1,76.3,0.3
39,0,0.0,2.03,0,24.7,53.400000000000006,821,113.9,56.2,-22.39,19.18,14.383,4.199,65.0,67.1,70.0,1751,1,76.3,0.3
40,0,0.0,2.03,0,24.7,53.400000000000006,821,114.1,56.3,-22.4,19.094,14.379,4.199,66.0,67.3,70.0,1751,1,76.3,0.3
41,0,0.0,2.04,0,24.7,53.400000000000006,821,114.4,56.2,-22.42,19.016,14.379,4.199,66.0,67.6,70.0,1751,1,76.3,0.3
42,0,0.0,2.05,0,24.7,53.400000000000006,822,114.7,56.3,-22.43,18.945,14.379,4.199,66.0,67.9,70.0,1751,1,76.3,0.3
43,0,0.0,2.04,0,24.8,53.400000000000006,822,115.0,56.4,-22.42,18.883,14.383,4.199,66.0,68.2,70.0,1751,1,76.3,0.31
44,0,0.0,2.05,0,24.8,53.400000000000006,822,115.3,56.4,-22.41,18.828,14.383,4.198,66.0,68.5,70.0,1751,1,76.3,0.31
