Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.56,0,0.0,9.3,299,127.8,2.4,-22.45,21.266,14.176,4.198,9.899999762399945e+24,92.1,66.0,1719,1,89.7,0.37
2,0,0.0,0.56,0,0.0,12.8,325,128.3,6.5,-22.44,21.266,14.176,4.198,9.899999762399945e+24,92.1,66.0,1719,1,89.7,0.39
3,0,0.0,0.58,0,0.2,16.0,527,128.9,10.8,-22.46,21.242,14.176,4.198,94.0,92.1,66.0,1719,1,89.7,0.37
4,0,0.0,0.58,0,1.7999999999999998,18.9,790,129.2,15.8,-22.45,21.219,14.176,4.198,94.0,92.0,66.0,1719,1,89.6,0.38
5,0,0.0,0.59,0,2.8000000000000003,21.5,1002,129.5,19.7,-22.45,21.164,14.176,4.198,94.0,92.0,66.0,1719,1,89.6,0.39
6,0,0.0,0.57,0,4.0,24.0,1139,129.0,22.6,-22.45,21.086,14.176,4.198,94.0,92.0,66.0,1719,1,89.6,0.38
7,0,0.0,0.57,0,5.3,26.3,1213,127.7,26.6,-22.44,20.969,14.176,4.198,94.0,91.9,66.0,1719,1,89.6,0.37
8,0,0.0,0.58,0,6.7,28.299999999999997,1238,125.9,30.1,-22.44,20.797,14.172,4.198,94.0,91.9,66.0,1719,1,89.5,0.39
9,0,0.0,0.58,0,8.0,30.099999999999998,1230,124.2,32.9,-22.4,20.578,14.176,4.198,94.0,91.8,66.0,1719,1,89.5,0.38
10,0,0.0,0.58,0,9.2,31.6,1199,122.9,35.1,-22.41,20.297,14.176,4.198,94.0,91.8,66.0,1719,1,89.5,0.38
11,0,0.0,0.58,0,10.299999999999999,32.9,1154,121.6,37.1,-22.43,19.969,14.176,4.198,93.0,91.8,66.0,1719,1,89.5,0.39
12,0,0.0,0.58,0,11.4,34.4,1108,120.3,39.5,-22.43,19.586,14.172,4.198,93.0,91.7,66.0,1718,1,89.4,0.39
13,0,0.0,0.59,0,12.5,36.5,1078,118.8,42.8,-22.39,19.188,14.172,4.198,93.0,91.7,66.0,1718,1,89.4,0.38
14,0,0.0,0.59,0,13.900000000000002,39.2,1065,117.6,48.4,-22.39,18.758,14.168,4.198,93.0,91.7,66.0,1718,1,89.4,0.39
15,0,0.0,0.6,0,15.299999999999999,41.5,1058,116.5,52.3,-22.35,18.32,14.168,4.198,93.0,91.6,66.0,1718,1,89.4,0.38
16,0,0.0,0.61,0,16.8,43.5,1049,115.8,55.9,-22.36,17.883,14.164,4.198,93.0,91.6,66.0,1718,1,89.3,0.39
17,0,0.0,0.6,0,18.5,46.400000000000006,1047,115.5,60.2,-22.38,17.445,14.164,4.198,93.0,91.6,66.0,1718,1,89.3,0.4
18,0,0.0,0.62,0,20.5,49.8,1046,115.6,65.7,-22.39,17.0,14.16,4.198,93.0,91.6,66.0,1718,1,89.3,0.39
19,0,0.0,0.61,0,22.8,53.0,1035,115.8,71.1,-22.4,16.562,14.16,4.198,93.0,91.5,66.0,1718,1,89.2,0.39
20,0,0.0,0.62,0,24.3,53.400000000000006,1001,116.2,72.0,-22.41,16.125,14.156,4.198,93.0,91.5,66.0,1718,1,89.2,0.4
21,0,0.0,0.6,0,24.8,53.400000000000006,945,116.8,71.7,-22.37,15.703,14.156,4.198,93.0,91.5,66.0,1718,1,89.2,0.39
22,0,0.0,0.61,0,24.9,53.400000000000006,894,117.4,71.3,-22.38,15.281,14.156,4.198,93.0,91.5,66.0,1718,1,89.2,0.39
23,0,0.0,0.6,0,24.9,53.400000000000006,855,118.2,70.8,-22.41,14.875,14.156,4.198,93.0,91.4,66.0,1718,1,89.2,0.38
24,0,0.0,0.61,0,24.9,53.400000000000006,826,118.9,70.6,-22.38,14.445,14.152,4.198,93.0,91.4,66.0,1718,1,89.1,0.39
25,0,0.0,0.61,0,25.0,53.400000000000006,806,119.6,70.5,-22.38,14.117,14.152,4.198,93.0,91.4,66.0,1718,1,89.1,0.39
26,0,0.0,0.61,0,25.0,53.400000000000006,792,120.2,70.3,-22.38,13.781,14.152,4.198,93.0,91.4,66.0,1718,1,89.1,0.39
27,0,0.0,0.61,0,25.0,53.400000000000006,781,120.9,69.8,-22.39,13.477,14.152,4.198,93.0,91.4,66.0,1718,1,89.1,0.38
28,0,0.0,0.62,0,24.9,53.400000000000006,774,121.4,69.8,-22.39,13.195,14.152,4.198,93.0,91.4,66.0,1718,1,89.0,0.38
