Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.56,0,0.0,11.1,224,105.0,4.3,-22.46,15.047,14.484,4.198,9.899999762399945e+24,64.0,73.0,1664,1,61.9,0.19
2,0,0.0,0.57,0,0.0,14.399999999999999,354,105.3,9.3,-22.46,15.039,14.488,4.198,9.899999762399945e+24,64.0,73.0,1664,1,62.0,0.19
3,0,0.0,0.58,0,1.4000000000000001,17.4,614,105.7,16.0,-22.46,15.023,14.484,4.198,45.0,64.0,9.899999762399945e+24,1664,1,62.0,0.18
4,0,0.0,0.57,0,2.4,20.0,864,106.0,20.1,-22.48,14.992,14.484,4.198,64.0,64.0,75.0,1664,1,62.0,0.19
5,0,0.0,0.58,0,3.5000000000000004,22.5,1041,106.0,24.2,-22.47,14.938,14.484,4.198,64.0,64.0,73.0,1664,1,62.0,0.19
6,0,0.0,0.59,0,4.7,24.8,1145,105.2,28.0,-22.47,14.867,14.484,4.198,63.0,64.0,73.0,1664,1,62.0,0.19
7,0,0.0,0.57,0,6.0,26.900000000000002,1191,103.8,32.1,-22.47,14.766,14.484,4.198,64.0,63.9,73.0,1664,1,62.0,0.19
8,0,0.0,0.57,0,7.3,28.7,1195,102.2,35.7,-22.46,14.617,14.48,4.198,64.0,63.9,73.0,1664,1,62.0,0.19
9,0,0.0,0.59,0,8.5,30.099999999999998,1172,100.6,38.7,-22.41,14.445,14.48,4.198,63.0,63.9,73.0,1664,1,62.0,0.19
10,0,0.0,0.59,0,9.6,31.4,1131,99.1,40.9,-22.43,14.242,14.477,4.198,63.0,63.9,73.0,1664,1,62.0,0.19
11,0,0.0,0.59,0,10.6,32.800000000000004,1086,97.6,43.6,-22.46,14.0,14.477,4.198,63.0,63.9,73.0,1664,1,62.0,0.2
12,0,0.0,0.59,0,11.700000000000001,34.699999999999996,1052,96.0,47.1,-22.45,13.734,14.477,4.198,63.0,63.9,73.0,1664,1,62.0,0.2
13,0,0.0,0.58,0,12.9,37.2,1037,94.5,52.3,-22.38,13.453,14.477,4.198,63.0,63.9,73.0,1664,1,62.0,0.2
14,0,0.0,0.59,0,14.299999999999999,40.0,1035,93.2,57.6,-22.36,13.156,14.477,4.198,63.0,63.8,73.0,1664,1,62.0,0.19
15,0,0.0,0.61,0,15.9,42.1,1030,92.4,61.4,-22.42,12.836,14.477,4.198,63.0,63.8,73.0,1664,1,62.0,0.2
16,0,0.0,0.62,0,17.4,44.6,1024,92.2,65.9,-22.38,12.508,14.473,4.198,63.0,63.8,73.0,1664,1,62.1,0.19
17,0,0.0,0.63,0,19.3,47.8,1023,92.4,72.2,-22.39,12.172,14.473,4.198,63.0,63.8,73.0,1664,1,62.1,0.19
18,0,0.0,0.62,0,21.5,51.300000000000004,1020,93.2,65.6,-22.38,11.828,14.473,4.198,63.0,63.8,73.0,1664,1,62.0,0.19
19,0,0.0,0.62,0,23.5,53.400000000000006,1003,93.9,54.5,-22.42,11.484,14.473,4.198,63.0,63.8,73.0,1664,1,62.1,0.19
20,0,0.0,0.61,0,24.3,53.400000000000006,957,94.3,54.4,-22.39,11.141,14.477,4.198,63.0,63.7,73.0,1664,1,62.1,0.2
21,0,0.0,0.61,0,24.7,53.400000000000006,902,94.7,54.6,-22.44,10.805,14.473,4.198,63.0,63.7,73.0,1664,1,62.1,0.19
22,0,0.0,0.61,0,24.8,53.400000000000006,857,95.2,54.7,-22.42,10.469,14.473,4.198,63.0,63.7,73.0,1664,1,62.1,0.19
23,0,0.0,0.62,0,24.8,53.400000000000006,820,95.7,54.9,-22.39,10.133,14.473,4.198,63.0,63.7,73.0,1664,1,62.1,0.19
24,0,0.0,0.63,0,24.7,53.400000000000006,799,96.2,55.0,-22.41,9.859,14.477,4.198,62.0,63.6,73.0,1664,1,62.1,0.19
25,0,0.0,0.62,0,24.7,53.400000000000006,782,96.7,55.0,-22.37,9.586,14.477,4.198,63.0,63.6,73.0,1664,1,62.1,0.19
26,0,0.0,0.62,0,24.7,53.400000000000006,770,97.1,55.2,-22.44,9.328,14.48,4.198,62.0,63.6,73.0,1664,1,62.1,0.19
27,0,0.0,0.61,0,24.7,53.400000000000006,762,97.5,55.2,-22.43,9.086,14.48,4.198,62.0,63.6,73.0,1664,1,62.1,0.19
28,0,0.0,0.61,0,24.7,53.400000000000006,756,97.9,55.2,-22.39,8.883,14.484,4.198,62.0,63.6,73.0,1664,1,62.1,0.19
29,0,0.0,0.61,0,24.6,53.400000000000006,751,98.3,55.3,-22.4,8.688,14.484,4.198,62.0,63.5,73.0,1664,1,62.1,0.2
30,0,0.0,0.6,0,24.6,53.400000000000006,748,98.6,55.3,-22.39,8.516,14.484,4.198,62.0,63.5,73.0,1664,1,62.1,0.19
31,0,0.0,0.62,0,24.6,53.400000000000006,746,98.9,55.3,-22.42,8.375,14.477,4.198,62.0,63.5,73.0,1664,1,62.1,0.19
32,0,0.0,0.62,0,24.7,53.400000000000006,745,99.2,55.4,-22.38,8.25,14.469,4.198,62.0,63.4,73.0,1664,1,62.1,0.19
33,0,0.0,0.62,0,24.8,53.400000000000006,744,99.5,55.3,-22.41,8.141,14.461,4.198,62.0,63.4,73.0,1664,1,62.1,0.19
34,0,0.0,0.63,0,24.8,53.400000000000006,743,99.7,55.3,-22.41,8.055,14.457,4.198,62.0,63.4,73.0,1664,1,62.1,0.2
35,0,0.0,0.61,0,24.9,53.400000000000006,743,100.0,55.4,-22.4,7.969,14.457,4.198,62.0,63.4,73.0,1664,1,62.2,0.19
36,0,0.0,0.61,0,24.8,53.400000000000006,743,100.2,55.4,-22.41,7.906,14.457,4.198,62.0,63.4,73.0,1664,1,62.2,0.19
37,0,0.0,0.61,0,24.8,53.400000000000006,742,100.5,55.4,-22.41,7.852,14.453,4.198,62.0,63.3,73.0,1664,1,62.2,0.19
38,0,0.0,0.61,0,24.8,53.400000000000006,742,100.7,55.3,-22.41,7.797,14.453,4.198,62.0,63.3,73.0,1664,1,62.2,0.18
39,0,0.0,0.62,0,24.8,53.400000000000006,742,100.9,55.3,-22.4,7.75,14.461,4.198,62.0,63.3,73.0,1664,1,62.2,0.19
40,0,0.0,0.63,0,24.7,53.400000000000006,742,101.2,55.3,-22.41,7.711,14.461,4.198,62.0,63.2,73.0,1664,1,62.2,0.19
41,0,0.0,0.62,0,24.7,53.400000000000006,742,101.4,55.2,-22.41,7.664,14.461,4.198,62.0,63.2,73.0,1664,1,62.2,0.2
42,0,0.0,0.62,0,24.7,53.400000000000006,742,101.6,55.3,-22.39,7.633,14.465,4.198,62.0,63.2,73.0,1664,1,62.2,0.19
43,0,0.0,0.63,0,24.7,53.400000000000006,742,101.8,55.3,-22.39,7.594,14.461,4.198,62.0,63.2,73.0,1664,1,62.2,0.2
44,0,0.0,0.62,0,24.7,53.400000000000006,742,102.1,55.3,-22.4,7.555,14.465,4.198,62.0,63.2,73.0,1664,1,62.2,0.19
45,0,0.0,0.61,0,24.7,53.400000000000006,742,102.3,55.4,-22.42,7.516,14.465,4.198,62.0,63.1,73.0,1664,1,62.2,0.19
46,0,0.0,0.62,0,24.7,53.400000000000006,742,102.5,55.3,-22.38,7.477,14.469,4.198,62.0,63.1,73.0,1664,1,62.2,0.19
47,0,0.0,0.62,0,24.7,53.400000000000006,742,102.8,55.4,-22.41,7.445,14.469,4.198,62.0,63.1,73.0,1664,1,62.2,0.2
48,0,0.0,0.61,0,24.7,53.400000000000006,742,103.0,55.5,-22.39,7.414,14.469,4.198,62.0,63.1,74.0,1664,1,62.2,0.19
49,0,0.0,0.61,0,24.7,53.400000000000006,743,103.2,55.5,-22.43,7.383,14.469,4.198,62.0,63.1,74.0,1664,1,62.2,0.19
50,0,0.0,0.6,0,24.7,53.400000000000006,743,103.5,55.6,-22.41,7.344,14.473,4.198,62.0,63.0,74.0,1664,1,62.2,0.18
51,0,0.0,0.61,0,24.7,53.400000000000006,743,103.7,55.6,-22.4,7.32,14.477,4.198,62.0,63.0,74.0,1664,1,62.2,0.19
52,0,0.0,0.63,0,24.8,53.400000000000006,742,103.9,55.7,-22.37,7.281,14.48,4.198,62.0,63.0,74.0,1664,1,62.2,0.18
53,0,0.0,0.61,0,24.8,53.400000000000006,742,104.1,55.7,-22.41,7.258,14.48,4.198,62.0,63.0,74.0,1664,1,62.2,0.19
54,0,0.0,0.62,0,24.8,53.400000000000006,741,104.3,55.7,-22.4,7.242,14.484,4.198,62.0,63.0,74.0,1664,1,62.3,0.18
55,0,0.0,0.62,0,24.7,53.400000000000006,741,104.5,55.7,-22.41,7.219,14.484,4.198,62.0,63.0,74.0,1664,1,62.3,0.18
56,0,0.0,0.63,0,24.7,53.400000000000006,741,104.7,55.6,-22.38,7.211,14.484,4.198,62.0,62.9,74.0,1664,1,62.3,0.18
57,0,0.0,0.62,0,24.6,53.400000000000006,741,104.9,55.7,-22.38,7.211,14.484,4.198,62.0,62.9,74.0,1664,1,62.3,0.18
58,0,0.0,0.62,0,24.7,53.400000000000006,742,105.2,55.6,-22.38,7.203,14.484,4.198,62.0,62.9,74.0,1664,1,62.3,0.18
