Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.58,0,0.0,8.9,59,51.4,5.4,-21.77,11.977,14.691,4.197,9.899999762399945e+24,51.9,60.0,1588,0,56.8,0.2
2,0,0.0,0.58,0,0.0,11.899999999999999,94,51.4,16.7,-21.77,11.977,14.691,4.197,9.899999762399945e+24,51.9,60.0,1588,0,56.8,0.2
3,0,0.0,0.58,0,0.0,13.8,218,51.4,29.9,-21.77,11.977,14.691,4.197,9.899999762399945e+24,51.9,9.899999762399945e+24,1588,0,56.8,0.2
4,0,0.0,0.59,0,1.4000000000000001,15.4,259,51.4,37.0,-21.78,11.977,14.691,4.197,50.0,51.9,60.0,1588,0,56.8,0.19
5,0,0.0,0.58,0,2.1999999999999997,17.599999999999998,406,51.4,42.4,-21.77,11.977,14.691,4.197,50.0,51.9,60.0,1588,0,56.8,0.22
6,0,0.0,0.57,0,3.0,19.7,634,51.4,47.2,-21.77,11.977,14.691,4.197,51.0,51.9,60.0,1588,0,56.8,0.23
7,0,0.0,0.59,0,3.9,21.7,822,51.4,52.6,-21.76,11.969,14.691,4.197,51.0,51.9,61.0,1588,0,56.8,0.23
8,0,0.0,0.59,0,4.9,23.400000000000002,932,51.5,57.0,-21.77,11.961,14.691,4.197,51.0,51.9,61.0,1588,0,56.8,0.21
9,0,0.0,0.58,0,5.800000000000001,24.7,978,51.5,60.4,-21.77,11.953,14.691,4.197,51.0,52.0,61.0,1588,0,56.8,0.21
10,0,0.0,0.59,0,6.6000000000000005,24.7,992,51.6,61.5,-21.76,11.938,14.691,4.197,50.0,51.9,61.0,1588,0,56.8,0.2
11,0,0.0,0.6,0,7.3,24.9,1007,51.6,62.0,-21.76,11.914,14.691,4.197,50.0,51.9,61.0,1588,0,56.8,0.2
12,0,0.0,0.59,0,8.0,25.4,1040,51.6,63.5,-21.75,11.883,14.691,4.197,50.0,51.9,61.0,1588,0,56.8,0.2
13,0,0.0,0.61,0,8.7,26.200000000000003,1095,51.6,65.7,-21.77,11.836,14.691,4.197,50.0,51.9,61.0,1588,0,56.8,0.21
14,0,0.0,0.59,0,9.5,27.3,1170,51.6,68.5,-21.78,11.797,14.688,4.197,50.0,52.0,61.0,1588,0,56.8,0.2
15,0,0.0,0.61,0,10.5,28.499999999999996,1250,51.7,71.5,-21.78,11.758,14.691,4.197,50.0,52.0,61.0,1588,0,56.8,0.21
16,0,0.0,0.6,0,11.5,30.099999999999998,1336,51.7,47.8,-21.75,11.711,14.695,4.197,50.0,51.9,61.0,1588,0,56.8,0.21
17,0,0.0,0.59,0,12.7,32.2,1431,51.7,48.0,-21.75,11.664,14.695,4.197,50.0,52.0,61.0,1588,0,56.8,0.21
18,0,0.0,0.62,0,14.099999999999998,34.599999999999994,1521,51.7,49.1,-21.71,11.609,14.695,4.197,50.0,52.0,61.0,1588,0,56.9,0.21
19,0,0.0,0.61,0,15.2,37.1,1551,51.8,50.2,-21.66,11.555,14.691,4.197,50.0,52.0,61.0,1588,0,56.9,0.21
20,0,0.0,0.61,0,16.400000000000002,39.900000000000006,1537,51.8,51.4,-21.7,11.492,14.684,4.197,50.0,52.0,61.0,1588,0,56.9,0.21
21,0,0.0,0.62,0,17.8,42.8,1497,51.9,52.4,-21.63,11.438,14.676,4.197,50.0,52.0,61.0,1588,0,56.9,0.21
22,0,0.0,0.62,0,19.6,47.199999999999996,1445,51.9,54.4,-21.67,11.391,14.672,4.197,50.0,52.0,61.0,1588,0,56.9,0.21
23,0,0.0,0.62,0,22.400000000000002,52.300000000000004,1388,52.0,56.5,-21.68,11.344,14.664,4.197,50.0,52.0,61.0,1588,0,56.9,0.22
24,0,0.0,0.61,0,24.099999999999998,53.6,1303,52.1,57.4,-21.69,11.297,14.66,4.197,50.0,52.0,61.0,1588,0,56.9,0.23
25,0,0.0,0.63,0,24.6,53.400000000000006,1204,52.2,57.3,-21.7,11.258,14.652,4.197,50.0,52.0,61.0,1588,0,56.9,0.21
26,0,0.0,0.62,0,24.9,53.400000000000006,1104,52.3,57.1,-21.7,11.219,14.648,4.197,50.0,52.0,61.0,1588,0,56.9,0.22
27,0,0.0,0.62,0,24.9,53.400000000000006,1004,52.5,57.2,-21.69,11.195,14.652,4.197,50.0,52.0,61.0,1588,0,56.9,0.22
28,0,0.0,0.63,0,24.7,53.400000000000006,916,52.6,57.0,-21.67,11.172,14.648,4.197,50.0,52.0,61.0,1588,0,56.9,0.22
29,0,0.0,0.62,0,24.6,53.400000000000006,870,52.7,56.9,-21.68,11.148,14.656,4.197,50.0,52.0,61.0,1588,0,56.9,0.22
30,0,0.0,0.63,0,24.5,53.400000000000006,840,52.9,56.9,-21.68,11.117,14.652,4.197,50.0,52.0,61.0,1588,0,56.9,0.22
