Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.56,0,0.0,9.4,68,56.2,7.1,-22.39,14.602,14.629,4.198,9.899999762399945e+24,59.7,69.0,1575,0,62.5,0.34
2,0,0.0,0.56,0,0.0,12.4,127,56.2,19.7,-22.39,14.602,14.629,4.198,9.899999762399945e+24,59.7,69.0,1575,0,62.5,0.34
3,0,0.0,0.57,0,0.7000000000000001,15.1,328,56.2,30.7,-22.41,14.594,14.629,4.198,35.0,59.7,9.899999762399945e+24,1575,0,62.5,0.34
4,0,0.0,0.56,0,1.7999999999999998,17.5,561,56.2,38.7,-22.41,14.586,14.629,4.198,58.0,59.7,72.0,1575,0,62.5,0.34
5,0,0.0,0.56,0,2.7,19.7,766,56.2,43.8,-22.39,14.57,14.629,4.198,58.0,59.7,69.0,1575,0,62.5,0.34
6,0,0.0,0.57,0,3.6999999999999997,21.7,908,56.3,48.4,-22.39,14.555,14.629,4.198,58.0,59.7,69.0,1575,0,62.5,0.33
7,0,0.0,0.57,0,4.7,23.400000000000002,986,56.4,52.3,-22.42,14.523,14.633,4.198,58.0,59.7,69.0,1575,0,62.5,0.34
8,0,0.0,0.57,0,5.7,24.7,1014,56.5,55.5,-22.43,14.484,14.629,4.198,58.0,59.7,69.0,1575,0,62.5,0.33
9,0,0.0,0.57,0,6.6000000000000005,25.8,1011,56.6,58.2,-22.42,14.43,14.629,4.197,58.0,59.8,69.0,1575,0,62.5,0.34
10,0,0.0,0.57,0,7.5,26.900000000000002,998,56.6,61.0,-22.41,14.352,14.629,4.198,58.0,59.7,69.0,1575,0,62.5,0.33
11,0,0.0,0.58,0,8.3,28.199999999999996,989,56.6,64.6,-22.41,14.273,14.629,4.198,58.0,59.7,69.0,1575,0,62.5,0.33
12,0,0.0,0.58,0,9.3,29.9,991,56.5,68.7,-22.39,14.18,14.629,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
13,0,0.0,0.56,0,10.4,31.7,1004,56.4,57.3,-22.41,14.078,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
14,0,0.0,0.58,0,11.600000000000001,33.5,1022,56.4,47.7,-22.4,13.984,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
15,0,0.0,0.58,0,12.9,35.4,1044,56.4,48.6,-22.38,13.875,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.34
16,0,0.0,0.58,0,14.399999999999999,38.0,1075,56.4,49.7,-22.38,13.758,14.629,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
17,0,0.0,0.59,0,16.1,41.0,1111,56.5,51.0,-22.38,13.633,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.34
18,0,0.0,0.59,0,17.8,43.9,1139,56.5,52.1,-22.38,13.508,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
19,0,0.0,0.6,0,20.1,48.4,1162,56.6,53.9,-22.38,13.367,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
20,0,0.0,0.6,0,23.1,53.300000000000004,1175,56.6,56.1,-22.36,13.219,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
21,0,0.0,0.61,0,24.6,53.5,1133,56.8,56.0,-22.39,13.078,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
22,0,0.0,0.6,0,25.1,53.400000000000006,1044,56.9,56.0,-22.38,12.938,14.625,4.198,58.0,59.8,69.0,1575,0,62.6,0.33
23,0,0.0,0.6,0,25.2,53.400000000000006,964,57.0,55.9,-22.39,12.797,14.629,4.198,58.0,59.8,69.0,1575,0,62.6,0.32
24,0,0.0,0.6,0,25.2,53.400000000000006,903,57.1,55.9,-22.39,12.672,14.625,4.198,58.0,59.8,69.0,1575,0,62.5,0.33
25,0,0.0,0.6,0,25.2,53.400000000000006,859,57.3,55.8,-22.39,12.547,14.629,4.198,58.0,59.8,69.0,1575,0,62.6,0.33
