Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.55,0,0.0,11.700000000000001,75,60.0,9.3,-22.45,15.602,14.676,4.199,62.0,63.3,71.0,1583,0,60.5,0.3
2,0,0.0,0.57,0,0.0,15.5,167,60.0,26.7,-22.43,15.594,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.31
3,0,0.0,0.57,0,1.6,18.5,364,60.0,37.5,-22.44,15.594,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
4,0,0.0,0.57,0,2.7,21.099999999999998,564,60.0,43.4,-22.43,15.578,14.676,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
5,0,0.0,0.57,0,3.8,23.400000000000002,714,60.0,48.4,-22.43,15.57,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
6,0,0.0,0.58,0,5.0,25.1,799,60.1,52.6,-22.43,15.555,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
7,0,0.0,0.57,0,6.1,26.3,829,60.1,55.4,-22.43,15.523,14.676,4.199,62.0,63.3,71.0,1583,0,60.5,0.3
8,0,0.0,0.59,0,7.1,27.3,830,60.1,58.0,-22.42,15.492,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
9,0,0.0,0.58,0,8.0,28.299999999999997,824,60.2,60.8,-22.43,15.461,14.676,4.199,62.0,63.3,71.0,1583,0,60.5,0.3
10,0,0.0,0.58,0,8.9,29.7,826,60.2,64.3,-22.42,15.414,14.676,4.199,62.0,63.3,71.0,1583,0,60.5,0.3
11,0,0.0,0.58,0,9.9,31.5,843,60.3,48.1,-22.42,15.359,14.68,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
12,0,0.0,0.58,0,11.1,33.5,872,60.4,47.3,-22.41,15.297,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
13,0,0.0,0.59,0,12.4,35.4,904,60.4,48.1,-22.41,15.242,14.676,4.199,61.0,63.3,71.0,1583,0,60.6,0.3
14,0,0.0,0.58,0,14.000000000000002,37.7,943,60.4,49.1,-22.41,15.18,14.676,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
15,0,0.0,0.58,0,15.4,40.8,980,60.5,50.4,-22.39,15.117,14.672,4.199,61.0,63.3,71.0,1583,0,60.6,0.3
16,0,0.0,0.59,0,17.2,43.6,1022,60.6,51.6,-22.39,15.055,14.672,4.199,61.0,63.3,71.0,1583,0,60.6,0.3
17,0,0.0,0.58,0,19.400000000000002,47.9,1060,60.6,53.2,-22.4,14.992,14.672,4.199,62.0,63.3,71.0,1583,0,60.6,0.3
18,0,0.0,0.6,0,22.400000000000002,53.0,1090,60.7,55.3,-22.38,14.93,14.672,4.199,62.0,63.3,71.0,1583,0,60.5,0.3
19,0,0.0,0.59,0,24.2,53.5,1071,60.8,55.5,-22.41,14.859,14.668,4.199,61.0,63.3,71.0,1583,0,60.5,0.3
20,0,0.0,0.59,0,24.7,53.400000000000006,996,60.9,55.5,-22.4,14.789,14.668,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
21,0,0.0,0.6,0,25.0,53.400000000000006,924,61.0,55.4,-22.4,14.727,14.668,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
22,0,0.0,0.61,0,25.1,53.400000000000006,869,61.1,55.4,-22.38,14.664,14.664,4.199,61.0,63.3,71.0,1583,0,60.5,0.3
23,0,0.0,0.61,0,25.0,53.400000000000006,830,61.2,55.2,-22.37,14.602,14.66,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
24,0,0.0,0.6,0,25.0,53.400000000000006,803,61.4,55.2,-22.4,14.539,14.66,4.199,62.0,63.3,71.0,1583,0,60.6,0.31
25,0,0.0,0.61,0,24.9,53.400000000000006,786,61.5,55.2,-22.39,14.5,14.66,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
26,0,0.0,0.6,0,24.9,53.400000000000006,774,61.6,55.2,-22.4,14.461,14.664,4.199,61.0,63.3,71.0,1583,0,60.6,0.3
27,0,0.0,0.59,0,24.9,53.400000000000006,766,61.8,55.0,-22.4,14.438,14.668,4.199,61.0,63.3,71.0,1583,0,60.5,0.3
28,0,0.0,0.6,0,24.9,53.400000000000006,761,61.9,55.0,-22.38,14.414,14.672,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
29,0,0.0,0.59,0,24.9,53.400000000000006,757,62.1,55.0,-22.4,14.383,14.668,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
30,0,0.0,0.61,0,24.9,53.400000000000006,754,62.3,54.9,-22.41,14.344,14.668,4.199,61.0,63.3,71.0,1583,0,60.5,0.3
31,0,0.0,0.61,0,24.9,53.400000000000006,754,62.4,54.9,-22.38,14.297,14.664,4.199,61.0,63.3,71.0,1583,0,60.5,0.31
32,0,0.0,0.6,0,24.8,53.400000000000006,753,62.6,54.9,-22.4,14.242,14.664,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
33,0,0.0,0.6,0,24.8,53.400000000000006,752,62.8,54.9,-22.39,14.195,14.668,4.199,62.0,63.3,71.0,1583,0,60.5,0.31
34,0,0.0,0.6,0,24.9,53.400000000000006,752,62.9,54.9,-22.41,14.148,14.668,4.199,61.0,63.2,71.0,1583,0,60.5,0.3
35,0,0.0,0.62,0,25.0,53.400000000000006,752,63.1,54.8,-22.4,14.102,14.668,4.199,61.0,63.3,71.0,1583,0,60.5,0.31
36,0,0.0,0.6,0,24.9,53.400000000000006,753,63.2,54.7,-22.41,14.07,14.668,4.199,61.0,63.3,71.0,1583,0,60.5,0.31
37,0,0.0,0.6,0,24.8,53.400000000000006,753,63.4,54.8,-22.39,14.062,14.656,4.199,62.0,63.3,71.0,1583,0,60.5,0.3
