Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.42,0,0.0,10.100000000000001,74,66.7,3.0,-22.65,21.859,14.668,4.073,,68.2,72.0,1779,0,70.2,0.09
2,0,0.0,0.42,0,0.0,13.3,140,66.7,9.3,-22.65,21.852,14.664,4.073,27.0,68.2,72.0,1779,0,70.2,0.07
3,0,0.0,0.43,0,1.2,16.1,356,66.7,15.1,-22.65,21.852,14.664,4.072,69.0,68.2,72.0,1779,0,70.2,0.08
4,1,0.0,0.42,0,2.1999999999999997,18.6,598,66.7,18.3,-22.65,21.836,14.664,4.073,69.0,68.2,72.0,1779,0,70.2,0.08
5,0,0.0,0.44,0,3.1,20.9,797,66.8,21.1,-22.66,21.82,14.664,4.073,69.0,68.2,72.0,1779,0,70.2,0.08
6,0,0.0,0.43,0,4.2,23.0,920,66.9,23.9,-22.65,21.789,14.66,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
7,0,0.0,0.42,0,5.2,24.7,972,67.0,26.5,-22.64,21.742,14.664,4.072,69.0,68.2,72.0,1779,0,70.3,0.08
8,0,0.0,0.44,0,6.2,26.0,975,67.1,28.8,-22.64,21.688,14.664,4.072,69.0,68.2,72.0,1779,0,70.2,0.08
9,0,0.0,0.44,0,7.1,27.200000000000003,957,67.2,30.6,-22.64,21.625,14.664,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
10,0,0.0,0.44,0,8.0,28.599999999999998,942,67.3,52.7,-22.65,21.547,14.664,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
11,0,0.0,0.44,0,9.1,30.2,941,67.4,57.2,-22.64,21.453,14.66,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
12,0,0.0,0.43,0,10.2,32.300000000000004,955,67.5,61.5,-22.64,21.344,14.66,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
13,0,0.0,0.44,0,11.5,34.599999999999994,983,67.6,66.4,-22.64,21.242,14.664,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
14,0,0.0,0.43,0,13.0,37.3,1013,67.7,43.3,-22.64,21.125,14.664,4.073,69.0,68.2,72.0,1779,0,70.3,0.07
15,0,0.0,0.43,0,14.6,40.699999999999996,1044,67.7,44.7,-22.65,21.008,14.66,4.073,69.0,68.2,72.0,1779,0,70.3,0.08
16,0,0.0,0.45,0,16.5,43.7,1067,67.9,46.5,-22.65,20.898,14.656,4.073,69.0,68.2,72.0,1779,0,70.3,0.09
17,0,0.0,0.45,0,18.4,46.5,1069,68.0,47.8,-22.65,20.773,14.652,4.073,69.0,68.2,72.0,1779,0,70.3,0.09
18,0,0.0,0.46,0,20.3,49.4,1051,68.1,49.7,-22.65,20.656,14.648,4.073,69.0,68.3,72.0,1779,0,70.3,0.09
19,0,0.0,0.45,0,22.5,52.6,1030,68.2,51.4,-22.64,20.539,14.652,4.073,69.0,68.3,72.0,1779,0,70.3,0.08
20,0,0.0,0.45,0,23.799999999999997,53.5,995,68.3,52.0,-22.65,20.422,14.652,4.073,69.0,68.3,72.0,1779,0,70.3,0.09
21,0,0.0,0.45,0,24.2,53.400000000000006,935,68.5,51.9,-22.64,20.305,14.648,4.073,69.0,68.3,72.0,1779,0,70.3,0.08
22,0,0.0,0.45,0,24.4,53.400000000000006,880,68.6,51.9,-22.65,20.195,14.645,4.073,69.0,68.3,72.0,1779,0,70.3,0.09
23,0,0.0,0.44,0,24.5,53.400000000000006,840,68.7,51.8,-22.65,20.078,14.641,4.073,69.0,68.3,72.0,1779,0,70.3,0.08
24,0,0.0,0.46,0,24.6,53.400000000000006,811,68.8,51.8,-22.66,19.977,14.641,4.073,69.0,68.3,72.0,1779,0,70.3,0.08
25,0,0.0,0.46,0,24.5,53.400000000000006,792,68.9,51.7,-22.65,19.875,14.645,4.073,69.0,68.3,72.0,1779,0,70.3,0.09
26,0,0.0,0.45,0,24.4,53.400000000000006,776,69.1,51.7,-22.64,19.781,14.648,4.073,69.0,68.3,72.0,1779,0,70.3,0.08
