Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.39,0,0.0,9.2,349,154.2,2.0,-22.4,12.586,14.453,4.197,9899999762399946800000000.0,98.6,66.0,1366,0,60.2,0.21
2,0,0.0,0.39,0,0.0,12.6,363,154.8,5.5,-22.41,12.586,14.453,4.197,9899999762399946800000000.0,98.6,66.0,1399,0,60.2,0.21
3,0,0.0,0.39,0,0.0,15.9,570,155.3,9.5,-22.41,12.594,14.453,4.197,73.0,98.6,66.0,1422,0,60.2,0.2
4,0,0.0,0.39,0,1.7000000000000002,18.9,794,155.5,13.0,-22.41,12.602,14.453,4.197,99.0,98.5,66.0,1432,0,60.2,0.21
5,0,0.0,0.39,0,2.8000000000000003,21.6,1006,155.7,16.2,-22.4,12.609,14.453,4.197,99.0,98.5,66.0,1437,0,60.2,0.22
6,0,0.0,0.4,0,4.1000000000000005,24.2,1139,155.6,19.5,-22.41,12.617,14.453,4.197,99.0,98.5,66.0,1439,0,60.2,0.21
7,0,0.0,0.39,0,5.5,26.400000000000002,1199,155.1,22.9,-22.4,12.617,14.457,4.197,99.0,98.4,66.0,1440,0,60.2,0.2
8,0,0.0,0.4,0,6.9,28.499999999999996,1209,154.4,26.3,-22.39,12.609,14.457,4.197,99.0,98.4,66.0,1441,0,60.2,0.2
9,6,0.0,0.4,0,8.3,30.099999999999998,1188,153.5,28.4,-22.39,12.586,14.457,4.197,99.0,98.3,66.0,1441,0,60.2,0.22
10,3,0.0,0.4,0,9.5,31.4,1146,152.5,30.3,-22.41,12.555,14.457,4.197,99.0,98.3,66.0,1441,0,60.2,0.22
11,0,0.0,0.4,0,10.6,32.800000000000004,1096,151.5,32.3,-22.4,12.516,14.453,4.197,99.0,98.3,66.0,1441,0,60.1,0.21
12,0,0.0,0.4,0,11.600000000000001,34.5,1054,150.1,34.4,-22.4,12.477,14.449,4.197,99.0,98.2,66.0,1441,0,60.1,0.21
13,0,0.0,0.4,0,12.8,36.6,1029,148.6,37.3,-22.39,12.422,14.449,4.197,98.0,98.2,66.0,1441,0,60.1,0.22
14,0,0.0,0.39,0,14.099999999999998,39.2,1017,147.3,40.9,-22.38,12.359,14.453,4.197,98.0,98.1,66.0,1439,0,60.1,0.2
15,0,0.0,0.41,0,15.6,41.8,1011,146.6,45.0,-22.38,12.289,14.453,4.197,98.0,98.1,66.0,1434,1,60.1,0.22
16,0,0.0,0.42,0,17.1,44.0,1007,146.1,47.8,-22.38,12.227,14.453,4.197,98.0,98.1,66.0,1432,1,60.1,0.21
17,0,0.0,0.42,0,18.9,47.099999999999994,1012,146.0,52.4,-22.36,12.148,14.453,4.197,98.0,98.0,66.0,1431,1,60.1,0.21
18,0,0.0,0.41,0,21.099999999999998,50.6,1018,146.0,57.5,-22.38,12.07,14.453,4.197,98.0,98.0,66.0,1430,1,60.1,0.2
19,0,0.0,0.41,0,23.200000000000003,53.2,1013,146.2,61.5,-22.39,11.992,14.453,4.197,98.0,98.0,66.0,1430,1,60.1,0.21
20,0,0.0,0.42,0,24.3,53.400000000000006,977,146.4,61.6,-22.38,11.914,14.453,4.197,98.0,97.9,66.0,1430,1,60.1,0.21
21,0,0.0,0.41,0,24.7,53.400000000000006,924,146.6,61.5,-22.38,11.844,14.453,4.197,98.0,97.9,66.0,1430,1,60.1,0.21
22,0,0.0,0.41,0,24.9,53.400000000000006,871,146.9,61.5,-22.38,11.766,14.453,4.197,98.0,97.9,66.0,1430,1,60.1,0.21
23,0,0.0,0.42,0,25.0,53.400000000000006,840,147.1,61.4,-22.37,11.695,14.453,4.197,98.0,97.8,66.0,1430,1,60.1,0.21
24,0,0.0,0.42,0,25.0,53.400000000000006,813,147.3,61.2,-22.37,11.625,14.453,4.197,98.0,97.8,66.0,1430,1,60.1,0.21
25,0,0.0,0.42,0,25.1,53.400000000000006,794,147.4,61.1,-22.38,11.547,14.453,4.197,98.0,97.7,66.0,1430,1,60.1,0.21
26,0,0.0,0.42,0,25.0,53.400000000000006,780,147.6,61.3,-22.37,11.492,14.445,4.197,98.0,97.7,66.0,1430,1,60.0,0.21
27,0,0.0,0.42,0,24.9,53.400000000000006,770,147.6,61.3,-22.37,11.43,14.438,4.197,98.0,97.7,66.0,1430,1,60.1,0.22
28,0,0.0,0.43,0,25.0,53.400000000000006,763,147.7,61.4,-22.38,11.375,14.438,4.197,98.0,97.6,66.0,1430,1,60.0,0.23
29,0,0.0,0.42,0,25.0,53.400000000000006,758,147.7,61.4,-22.38,11.32,14.441,4.197,98.0,97.6,66.0,1430,1,60.0,0.22
30,0,0.0,0.42,0,25.0,53.400000000000006,755,147.8,61.3,-22.38,11.281,14.441,4.197,98.0,97.5,66.0,1430,1,60.0,0.21
31,0,0.0,0.42,0,24.9,53.400000000000006,753,147.9,61.3,-22.39,11.258,14.438,4.197,98.0,97.5,66.0,1430,1,60.0,0.21
32,0,0.0,0.42,0,24.9,53.400000000000006,751,147.9,61.2,-22.39,11.227,14.438,4.197,98.0,97.4,66.0,1430,1,60.0,0.22
33,0,0.0,0.42,0,24.7,53.400000000000006,750,148.0,61.4,-22.39,11.211,14.434,4.197,98.0,97.4,66.0,1430,1,60.0,0.21
34,0,0.0,0.42,0,24.7,53.400000000000006,749,148.1,61.2,-22.38,11.195,14.438,4.197,98.0,97.3,66.0,1430,1,60.0,0.21
35,0,0.0,0.42,0,24.8,53.400000000000006,749,148.1,61.2,-22.39,11.18,14.445,4.197,98.0,97.3,66.0,1430,1,60.0,0.21
36,0,0.0,0.42,0,24.9,53.400000000000006,748,148.2,61.2,-22.39,11.164,14.449,4.197,98.0,97.3,66.0,1430,1,60.0,0.2
37,0,0.0,0.43,0,24.9,53.400000000000006,748,148.2,61.1,-22.4,11.148,14.453,4.197,98.0,97.2,66.0,1430,1,60.0,0.2
38,0,0.0,0.43,0,24.9,53.400000000000006,747,148.3,61.3,-22.39,11.133,14.457,4.197,98.0,97.2,66.0,1430,1,60.0,0.2
39,0,0.0,0.42,0,25.0,53.400000000000006,747,148.3,61.1,-22.4,11.117,14.457,4.197,98.0,97.2,66.0,1431,1,60.0,0.21
40,0,0.0,0.42,0,24.9,53.400000000000006,746,148.4,61.2,-22.39,11.117,14.457,4.197,98.0,97.1,66.0,1431,1,60.0,0.21
41,0,0.0,0.42,0,24.9,53.400000000000006,746,148.4,61.3,-22.39,11.102,14.457,4.197,97.0,97.1,66.0,1431,1,59.9,0.2
42,0,0.0,0.43,0,24.9,53.400000000000006,746,148.4,61.5,-22.38,11.086,14.457,4.197,97.0,97.0,66.0,1431,1,59.9,0.21
43,0,0.0,0.42,0,24.9,53.400000000000006,745,148.5,61.2,-22.39,11.062,14.457,4.197,98.0,97.0,66.0,1431,1,59.9,0.21
44,0,0.0,0.42,0,24.9,53.400000000000006,745,148.5,61.2,-22.39,11.047,14.457,4.197,97.0,97.0,66.0,1431,1,59.9,0.21
45,0,0.0,9.93,1,24.8,53.2,745,148.5,60.9,-22.38,11.031,14.457,4.197,97.0,96.9,66.0,1431,1,59.9,0.22
46,0,0.0,10.96,1,24.7,53.400000000000006,753,148.5,61.3,-22.39,11.016,14.457,4.197,97.0,96.7,66.0,1431,1,59.9,0.21
47,0,0.0,12.34,1,24.6,53.400000000000006,764,148.5,61.4,-22.39,11.0,14.457,4.197,96.0,95.9,66.0,1431,1,59.9,0.21
48,0,0.0,13.61,1,24.6,53.400000000000006,774,148.5,61.2,-22.38,10.992,14.457,4.197,95.0,95.0,66.0,1431,1,59.9,0.21
49,0,0.0,15.01,1,24.7,53.400000000000006,781,148.5,61.3,-22.37,10.984,14.457,4.197,94.0,94.0,66.0,1431,1,59.9,0.19
50,0,0.0,16.22,1,24.7,53.400000000000006,785,148.5,61.0,-22.38,10.977,14.453,4.197,93.0,93.0,66.0,1431,1,59.9,0.21
51,0,0.0,17.28,1,24.7,53.400000000000006,787,148.5,61.2,-22.39,10.969,14.449,4.197,92.0,92.2,66.0,1431,1,59.8,0.21
52,0,0.0,18.03,1,24.7,53.400000000000006,787,148.5,61.3,-22.39,10.961,14.449,4.197,92.0,91.4,66.0,1431,1,59.8,0.2
53,0,0.0,18.05,1,24.7,53.400000000000006,786,148.5,61.4,-22.39,10.961,14.453,4.197,91.0,90.6,66.0,1431,1,59.8,0.2
54,0,0.0,18.04,1,24.8,53.400000000000006,784,148.4,61.3,-22.39,10.961,14.453,4.197,90.0,90.0,66.0,1431,1,59.8,0.2
55,0,0.0,18.03,1,24.9,53.400000000000006,783,148.4,61.2,-22.39,10.961,14.453,4.197,89.0,89.4,66.0,1431,1,59.8,0.21
56,0,0.0,18.06,1,24.9,53.400000000000006,782,148.4,61.3,-22.4,10.945,14.453,4.197,89.0,88.8,67.0,1431,1,59.8,0.2
57,0,0.0,18.03,1,24.8,53.400000000000006,782,148.3,61.1,-22.38,10.945,14.457,4.197,88.0,88.3,67.0,1431,1,59.8,0.21
58,0,0.0,18.05,1,24.8,53.400000000000006,781,148.3,61.5,-22.39,10.938,14.453,4.197,87.0,87.7,67.0,1431,1,59.8,0.2
59,0,0.0,18.04,1,24.8,53.400000000000006,781,148.3,61.5,-22.39,10.922,14.453,4.197,87.0,87.2,67.0,1431,1,59.8,0.21
60,0,0.0,18.01,1,24.8,53.400000000000006,781,148.2,61.2,-22.37,10.93,14.457,4.197,86.0,86.7,67.0,1431,1,59.8,0.2
61,0,0.0,18.05,1,24.8,53.400000000000006,781,148.2,61.6,-22.38,10.914,14.457,4.197,86.0,86.2,67.0,1431,1,59.8,0.21
62,0,0.0,17.95,1,24.9,53.400000000000006,781,148.1,61.3,-22.39,10.914,14.449,4.197,86.0,85.7,67.0,1431,1,59.7,0.21
63,0,0.0,17.96,1,24.7,53.400000000000006,781,148.1,61.2,-22.39,10.922,14.441,4.197,85.0,85.3,67.0,1431,1,59.7,0.2
64,0,0.0,17.86,1,24.6,53.400000000000006,781,148.1,61.3,-22.39,10.945,14.438,4.197,84.0,84.9,67.0,1431,1,59.7,0.22
65,0,0.0,17.81,1,24.5,53.400000000000006,782,148.0,61.6,-22.38,10.969,14.438,4.197,84.0,84.5,67.0,1431,1,59.7,0.21
66,0,0.0,17.9,1,24.8,53.400000000000006,784,148.0,61.5,-22.38,11.0,14.441,4.197,84.0,84.1,67.0,1431,1,59.7,0.21
67,0,0.0,18.02,1,25.0,53.400000000000006,785,147.9,61.3,-22.39,11.047,14.445,4.197,83.0,83.6,67.0,1431,1,59.7,0.21
68,0,0.0,18.11,1,25.1,53.5,785,147.9,61.5,-16.14,11.086,14.449,4.197,83.0,83.3,67.0,1431,1,59.7,0.21
69,0,0.0,28.21,1,27.700000000000003,60.5,810,147.9,70.4,-16.08,11.109,14.453,4.197,83.0,82.9,67.0,1431,1,59.7,0.21
70,0,0.0,31.96,1,32.0,63.800000000000004,897,147.9,60.6,-16.11,11.125,14.453,4.197,82.0,82.6,67.0,1431,1,59.7,0.21
71,0,0.0,33.46,1,33.7,63.9,909,147.8,59.6,-16.04,11.133,14.453,4.197,82.0,82.3,67.0,1431,1,59.7,0.21
72,0,0.0,41.77,1,35.5,66.9,878,147.8,60.3,-12.94,11.133,14.453,4.197,82.0,82.0,67.0,1431,1,59.7,0.21
73,0,0.0,45.02,1,41.3,72.6,894,147.7,62.4,-9.71,11.133,14.453,4.197,81.0,81.7,67.0,1431,1,59.7,0.21
74,1,0.0,43.03,1,48.5,76.0,933,147.7,64.4,-9.55,11.141,14.449,4.197,81.0,81.5,67.0,1431,1,59.7,0.21
75,1,0.0,43.06,1,50.9,76.1,947,147.7,64.8,-9.69,11.148,14.449,4.197,81.0,81.3,67.0,1431,1,59.6,0.21
76,2,0.0,42.5,1,51.6,76.2,937,147.6,64.8,-9.73,11.164,14.449,4.197,81.0,81.1,67.0,1431,1,59.6,0.22
77,3,0.0,42.74,1,51.800000000000004,76.1,927,147.5,64.9,-9.75,11.164,14.449,4.197,80.0,80.9,67.0,1431,1,59.6,0.21
78,4,0.0,39.99,1,50.4,73.9,918,147.4,64.7,-22.3,11.156,14.453,4.197,80.0,80.7,67.0,1431,1,59.6,0.23
79,4,0.0,40.32,1,43.9,68.8,879,147.2,62.0,-22.25,11.141,14.457,4.197,80.0,80.5,67.0,1431,1,59.6,0.22
80,5,0.0,38.21,1,39.1,65.8,826,147.0,60.6,-22.38,11.109,14.457,4.197,80.0,80.4,67.0,1431,1,59.6,0.21
81,5,0.0,33.79,1,35.9,63.6,788,146.7,59.6,-22.41,11.086,14.453,4.197,80.0,80.2,67.0,1431,1,59.6,0.21
82,6,0.0,30.1,1,33.300000000000004,61.7,762,146.3,58.6,-22.38,11.062,14.453,4.197,79.0,80.1,67.0,1431,1,59.6,0.21
83,6,0.0,27.15,1,31.7,59.9,749,146.1,57.9,-22.38,11.062,14.449,4.197,79.0,79.9,67.0,1431,1,59.5,0.21
84,6,0.0,24.27,1,30.099999999999998,58.199999999999996,739,145.6,57.3,-22.38,11.055,14.441,4.197,79.0,79.8,67.0,1431,1,59.5,0.21
85,6,0.0,21.53,1,28.599999999999998,56.39999999999999,732,145.4,56.4,-22.39,11.047,14.438,4.197,79.0,79.6,67.0,1431,1,59.5,0.21
86,6,0.0,19.55,1,27.200000000000003,54.6,727,145.1,55.6,-22.39,11.047,14.438,4.197,79.0,79.4,67.0,1431,1,59.5,0.22
87,6,0.0,18.02,1,25.900000000000002,53.400000000000006,723,145.0,54.9,-22.39,11.047,14.441,4.197,79.0,79.3,67.0,1431,1,59.5,0.21
88,6,0.0,17.93,1,25.4,53.400000000000006,730,145.0,54.8,-22.38,11.047,14.441,4.197,79.0,79.1,67.0,1431,1,59.5,0.22
89,6,0.0,17.83,1,25.2,53.400000000000006,745,145.1,54.8,-22.39,11.047,14.438,4.197,78.0,79.0,67.0,1431,1,59.5,0.21
90,6,0.0,17.8,1,25.1,53.400000000000006,757,145.2,54.9,-22.38,11.055,14.434,4.197,78.0,78.8,67.0,1431,1,59.5,0.2
91,6,0.0,17.87,1,25.1,53.400000000000006,768,145.3,54.8,-22.41,11.055,14.434,4.197,78.0,78.7,67.0,1431,1,59.4,0.21
92,6,0.0,17.83,1,25.2,53.400000000000006,775,145.4,54.9,-22.39,11.062,14.426,4.197,78.0,78.5,67.0,1431,1,59.4,0.2
