Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.39,0,0.0,11.0,149,115.4,5.3,-22.4,22.812,13.918,4.197,9899999762399946800000000.0,72.6,76.0,722,0,71.9,0.2
2,0,0.0,0.39,0,0.0,14.099999999999998,275,115.8,9.6,-22.41,22.805,13.918,4.197,9899999762399946800000000.0,72.6,76.0,740,0,71.9,0.21
3,0,0.0,0.39,0,1.4000000000000001,17.0,522,116.1,15.0,-22.41,22.805,13.918,4.197,9899999762399946800000000.0,72.6,9.899999762399945e+24,761,0,71.9,0.21
4,0,0.0,0.38,0,2.3,19.6,785,116.4,18.8,-22.41,22.805,13.918,4.197,73.0,72.7,76.0,770,0,71.9,0.2
5,0,0.0,0.38,0,3.3000000000000003,21.9,988,116.5,22.5,-22.41,22.805,13.918,4.197,73.0,72.6,76.0,775,0,71.9,0.22
6,0,0.0,0.38,0,4.3999999999999995,24.0,1110,116.0,25.5,-22.41,22.805,13.918,4.197,73.0,72.6,76.0,777,0,71.9,0.21
7,0,0.0,0.38,0,5.6000000000000005,26.0,1167,114.9,29.5,-22.4,22.805,13.918,4.197,73.0,72.7,76.0,778,0,71.9,0.21
8,0,0.0,0.38,0,6.800000000000001,27.6,1175,113.6,32.3,-22.41,22.797,13.918,4.197,73.0,72.6,76.0,778,0,71.9,0.2
9,0,0.0,0.38,0,7.9,28.9,1147,111.9,34.4,-22.41,22.789,13.918,4.197,73.0,72.7,76.0,778,0,71.9,0.21
10,0,0.0,0.38,0,8.9,30.099999999999998,1101,110.3,36.7,-22.41,22.773,13.918,4.197,73.0,72.7,76.0,778,0,71.9,0.21
11,0,0.0,0.38,0,9.8,31.4,1058,108.3,39.2,-22.41,22.766,13.918,4.197,73.0,72.6,76.0,778,0,71.9,0.21
12,0,0.0,0.38,0,10.7,32.9,1029,106.7,42.1,-22.4,22.742,13.918,4.197,72.0,72.6,76.0,778,0,72.0,0.21
13,0,0.0,0.38,0,11.700000000000001,34.699999999999996,1016,105.1,45.7,-22.39,22.719,13.918,4.197,72.0,72.6,76.0,778,0,71.9,0.2
14,0,0.0,0.38,0,12.9,37.0,1022,104.0,49.9,-22.36,22.68,13.918,4.197,72.0,72.6,76.0,778,0,71.9,0.21
15,0,0.0,0.38,0,14.2,39.7,1042,103.0,54.9,-22.36,22.648,13.918,4.197,72.0,72.6,76.0,778,0,72.0,0.2
16,0,0.0,0.4,0,15.7,42.0,1063,102.7,58.9,-22.38,22.602,13.918,4.197,72.0,72.6,76.0,778,0,71.9,0.21
17,0,0.0,0.41,0,17.2,44.3,1076,102.5,62.8,-22.35,22.555,13.918,4.197,72.0,72.6,76.0,778,0,71.9,0.21
