Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.41,0,0.0,10.5,276,127.5,3.9,-22.41,18.898,14.941,4.197,9899999762399946800000000.0,66.2,68.0,651,0,62.1,0.19
2,0,0.0,0.41,0,0.0,13.700000000000001,392,127.9,7.4,-22.41,18.906,14.941,4.197,9899999762399946800000000.0,66.2,9.899999762399945e+24,666,0,62.1,0.19
3,0,0.0,0.42,0,1.2,16.6,643,128.2,12.7,-22.42,18.898,14.941,4.197,63.0,66.2,68.0,674,0,62.1,0.2
4,0,0.0,0.41,0,2.1999999999999997,19.2,888,128.5,16.1,-22.42,18.883,14.941,4.197,66.0,66.2,68.0,678,0,62.1,0.2
5,0,0.0,0.41,0,3.3000000000000003,21.6,1067,128.5,19.5,-22.41,18.875,14.941,4.197,66.0,66.2,68.0,679,0,62.1,0.19
6,0,0.0,0.41,0,4.3999999999999995,23.9,1172,127.9,23.0,-22.41,18.844,14.941,4.197,66.0,66.2,68.0,680,0,62.1,0.19
7,0,0.0,0.4,0,5.7,26.1,1219,126.6,26.4,-22.41,18.805,14.941,4.197,66.0,66.2,68.0,680,0,62.1,0.19
8,0,0.0,0.41,0,7.000000000000001,27.800000000000004,1227,124.8,29.2,-22.39,18.75,14.941,4.197,66.0,66.2,68.0,680,0,62.1,0.2
9,0,0.0,0.42,0,8.200000000000001,29.5,1209,123.0,32.0,-22.41,18.688,14.941,4.197,66.0,66.2,68.0,680,0,62.1,0.2
10,0,0.0,0.42,0,9.4,30.9,1174,121.2,34.2,-22.4,18.609,14.941,4.197,66.0,66.2,68.0,681,0,62.1,0.19
11,0,0.0,0.42,0,10.4,32.4,1133,119.5,37.0,-22.4,18.555,14.941,4.197,66.0,66.2,68.0,681,0,62.1,0.19
12,0,0.0,0.41,0,11.600000000000001,34.5,1103,117.6,40.3,-22.4,18.523,14.941,4.196,66.0,66.2,68.0,681,0,62.1,0.2
13,0,0.0,0.41,0,12.8,36.9,1089,115.9,44.2,-22.39,18.516,14.941,4.197,66.0,66.2,68.0,681,0,62.1,0.19
14,0,0.0,0.42,0,14.2,39.6,1084,114.7,49.3,-22.39,18.609,14.941,4.197,66.0,66.2,68.0,681,0,62.1,0.19
15,0,0.0,0.44,0,15.8,41.9,1076,114.3,52.7,-22.38,18.727,14.941,4.197,66.0,66.2,68.0,681,0,62.1,0.2
16,0,0.0,0.43,0,17.4,44.4,1070,114.4,56.7,-22.39,18.758,14.941,4.197,66.0,66.3,68.0,681,0,62.2,0.2
17,0,0.0,0.44,0,19.3,47.599999999999994,1074,114.6,61.6,-22.39,18.727,14.941,4.197,66.0,66.2,68.0,681,0,62.1,0.2
18,0,0.0,0.43,0,21.5,51.2,1073,114.8,67.6,-22.38,18.641,14.941,4.197,66.0,66.3,68.0,677,1,62.2,0.2
19,0,0.0,0.43,0,23.5,53.400000000000006,1055,115.3,70.8,-22.38,18.516,14.941,4.197,66.0,66.3,68.0,674,1,62.2,0.2
20,0,0.0,0.43,0,24.3,53.400000000000006,1004,116.2,70.4,-22.39,18.352,14.941,4.197,66.0,66.3,68.0,673,1,62.2,0.2
21,0,0.0,0.42,0,24.6,53.400000000000006,945,117.1,70.2,-22.38,18.18,14.941,4.197,66.0,66.2,68.0,672,1,62.2,0.19
22,0,0.0,0.43,0,24.7,53.400000000000006,897,118.0,70.0,-22.38,17.992,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.2
23,0,0.0,0.43,0,24.7,53.400000000000006,861,118.8,69.5,-22.39,17.805,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.18
24,0,0.0,0.42,0,24.7,53.400000000000006,835,119.5,69.5,-22.38,17.617,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.19
25,0,0.0,0.43,0,24.7,53.400000000000006,817,120.2,69.3,-22.38,17.438,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.2
26,0,0.0,0.43,0,24.7,53.400000000000006,804,120.7,69.0,-22.38,17.258,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.19
27,0,0.0,0.43,0,24.6,53.400000000000006,794,121.2,68.9,-22.39,17.086,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.2
28,0,0.0,0.43,0,24.6,53.400000000000006,788,121.7,68.7,-22.38,16.93,14.941,4.197,66.0,66.3,68.0,671,1,62.2,0.2
29,0,0.0,0.44,0,24.6,53.400000000000006,783,122.2,68.7,-22.38,16.789,14.941,4.197,66.0,66.3,68.0,672,1,62.2,0.18
30,0,0.0,0.42,0,24.6,53.400000000000006,780,122.6,68.4,-22.39,16.656,14.941,4.197,66.0,66.3,69.0,672,1,62.2,0.19
31,0,0.0,0.43,0,24.5,53.400000000000006,777,123.1,68.2,-22.39,16.531,14.941,4.197,66.0,66.3,69.0,672,1,62.2,0.19
32,0,0.0,0.42,0,24.5,53.400000000000006,776,123.7,68.1,-22.38,16.422,14.941,4.197,66.0,66.3,69.0,672,1,62.2,0.2
33,0,0.0,0.43,0,24.6,53.400000000000006,775,124.1,68.2,-22.39,16.312,14.941,4.197,66.0,66.3,69.0,672,1,62.2,0.19
34,0,0.0,0.44,0,24.6,53.400000000000006,774,124.4,67.8,-22.38,16.227,14.941,4.197,66.0,66.3,69.0,672,1,62.2,0.2
35,0,0.0,0.43,0,24.7,53.400000000000006,774,124.7,67.8,-22.39,16.141,14.941,4.197,66.0,66.3,69.0,672,1,62.2,0.2
36,0,0.0,0.43,0,24.6,53.400000000000006,773,125.0,67.9,-22.38,16.07,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
37,0,0.0,0.44,0,24.6,53.400000000000006,772,125.3,67.8,-22.36,16.008,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
38,0,0.0,0.44,0,24.6,53.400000000000006,772,125.6,67.7,-22.39,15.953,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
39,0,0.0,0.43,0,24.5,53.400000000000006,772,125.9,67.5,-22.39,15.906,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
40,0,0.0,0.44,0,24.5,53.400000000000006,772,126.1,67.5,-22.39,15.867,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
41,0,0.0,0.44,0,24.6,53.400000000000006,772,126.4,67.5,-22.35,15.836,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
42,0,0.0,0.43,0,24.6,53.400000000000006,772,126.6,67.5,-22.38,15.797,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
43,0,0.0,0.43,0,24.6,53.400000000000006,772,126.9,67.4,-22.39,15.773,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.2
44,0,0.0,0.43,0,24.6,53.400000000000006,772,127.1,67.2,-22.38,15.742,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
45,0,0.0,0.43,0,24.6,53.400000000000006,771,127.3,67.5,-22.38,15.711,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.2
46,0,0.0,0.44,0,24.6,53.400000000000006,771,127.5,67.4,-22.38,15.68,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.21
47,0,0.0,0.43,0,24.6,53.400000000000006,771,127.7,67.2,-22.39,15.656,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
48,0,0.0,0.43,0,24.5,53.400000000000006,770,127.9,67.2,-22.38,15.633,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
49,0,0.0,0.43,0,24.6,53.400000000000006,770,128.0,67.3,-22.38,15.602,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
50,0,0.0,0.44,0,24.6,53.400000000000006,770,128.2,67.3,-22.38,15.586,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.2
51,0,0.0,0.44,0,24.6,53.400000000000006,770,128.4,67.1,-22.38,15.562,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.2
52,0,0.0,0.44,0,24.6,53.400000000000006,770,128.5,67.2,-22.37,15.555,14.941,4.197,66.0,66.4,69.0,672,1,62.2,0.19
53,0,0.0,0.43,0,24.6,53.400000000000006,770,128.6,67.1,-22.38,15.547,14.941,4.197,66.0,66.5,69.0,672,1,62.2,0.19
54,0,0.0,0.43,0,24.6,53.400000000000006,770,128.8,67.2,-22.39,15.539,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.19
55,0,0.0,0.43,0,24.6,53.400000000000006,770,128.9,67.0,-22.4,15.531,14.941,4.197,66.0,66.4,69.0,673,1,62.2,0.21
56,0,0.0,0.43,0,24.6,53.400000000000006,770,129.1,66.9,-22.4,15.523,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.21
57,0,0.0,0.43,0,24.6,53.400000000000006,770,129.2,67.2,-22.39,15.516,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.21
58,0,0.0,0.43,0,24.6,53.400000000000006,770,129.3,66.8,-22.38,15.516,14.941,4.197,66.0,66.4,69.0,673,1,62.2,0.2
59,0,0.0,0.42,0,24.6,53.400000000000006,769,129.5,67.0,-22.38,15.508,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.2
60,0,0.0,0.43,0,24.6,53.400000000000006,769,129.6,66.9,-22.38,15.5,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.2
61,0,0.0,0.43,0,24.6,53.400000000000006,769,129.7,67.0,-22.39,15.484,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.2
62,0,0.0,0.43,0,24.7,53.400000000000006,769,129.8,67.0,-22.39,15.484,14.941,4.197,66.0,66.5,69.0,673,1,62.3,0.19
63,0,0.0,0.43,0,24.7,53.400000000000006,768,129.9,66.9,-22.38,15.477,14.941,4.197,66.0,66.5,69.0,673,1,62.2,0.2
64,0,0.0,0.43,0,24.7,53.400000000000006,768,130.0,66.8,-22.38,15.469,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.19
65,0,0.0,0.44,0,24.6,53.400000000000006,768,130.1,67.0,-22.39,15.469,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.2
66,0,0.0,0.44,0,24.6,53.400000000000006,768,130.2,66.8,-22.38,15.461,14.945,4.197,66.0,66.5,69.0,673,1,62.3,0.2
67,0,0.0,0.43,0,24.6,53.400000000000006,767,130.3,66.8,-22.38,15.461,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.19
68,0,0.0,0.44,0,24.6,53.400000000000006,768,130.4,67.0,-22.38,15.461,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.19
69,0,0.0,0.44,0,24.6,53.400000000000006,768,130.5,66.9,-22.38,15.461,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.2
70,0,0.0,0.44,0,24.7,53.400000000000006,768,130.6,66.7,-22.38,15.469,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.2
71,0,0.0,0.43,0,24.7,53.400000000000006,768,130.7,66.9,-22.39,15.477,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.2
72,0,0.0,0.43,0,24.6,53.400000000000006,767,130.7,66.8,-22.39,15.477,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.19
73,0,0.0,0.43,0,24.6,53.400000000000006,767,130.8,66.8,-22.4,15.484,14.945,4.197,66.0,66.5,69.0,673,1,62.2,0.2
