Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.43,0,0.0,10.299999999999999,89,64.1,8.0,-22.4,17.219,14.68,4.196,9899999762399946800000000.0,59.3,72.0,1493,0,58.7,0.21
2,0,0.0,0.43,0,0.0,13.3,171,64.1,18.7,-22.39,17.219,14.68,4.196,9899999762399946800000000.0,59.4,72.0,1560,0,58.7,0.21
3,0,0.0,0.42,0,1.0999999999999999,15.9,380,64.1,26.8,-22.4,17.211,14.68,4.196,9899999762399946800000000.0,59.3,72.0,1620,0,58.7,0.21
4,0,0.0,0.43,0,2.0,18.3,618,64.2,33.3,-22.39,17.195,14.68,4.196,9899999762399946800000000.0,59.4,9.899999762399945e+24,1666,0,58.7,0.2
5,0,0.0,0.42,0,2.9000000000000004,20.5,830,64.2,38.5,-22.4,17.18,14.68,4.196,60.0,59.3,9.899999762399945e+24,1687,0,58.7,0.2
6,0,0.0,0.43,0,4.0,22.5,977,64.1,43.0,-22.4,17.156,14.676,4.196,60.0,59.3,72.0,1697,0,58.7,0.21
7,0,0.0,0.43,0,5.1,24.2,1056,64.0,47.1,-22.4,17.125,14.676,4.196,60.0,59.3,72.0,1702,0,58.7,0.21
8,0,0.0,0.44,0,6.2,25.7,1082,64.0,50.9,-22.4,17.07,14.676,4.196,60.0,59.3,72.0,1704,0,58.7,0.21
9,0,0.0,0.43,0,7.3999999999999995,27.0,1072,64.0,54.0,-22.41,17.0,14.676,4.196,60.0,59.3,72.0,1705,0,58.7,0.21
10,0,0.0,0.43,0,8.3,28.299999999999997,1049,64.0,57.0,-22.4,16.938,14.676,4.196,60.0,59.3,72.0,1705,0,58.7,0.21
11,0,0.0,0.44,0,9.2,29.799999999999997,1025,64.0,60.4,-22.4,16.852,14.676,4.196,60.0,59.3,72.0,1705,0,58.7,0.21
12,0,0.0,0.48,0,10.2,31.4,1009,64.0,64.0,-22.4,16.75,14.676,4.196,60.0,59.3,72.0,1705,0,58.7,0.21
13,0,0.0,0.52,0,11.3,33.4,1005,63.9,68.4,-22.39,16.633,14.676,4.196,60.0,59.3,72.0,1705,0,58.7,0.21
14,0,0.0,0.53,0,12.5,35.699999999999996,1013,63.8,45.1,-22.4,16.516,14.676,4.196,60.0,59.3,72.0,1706,0,58.7,0.21
15,0,0.0,0.54,0,13.900000000000002,38.4,1030,63.6,45.9,-22.39,16.383,14.676,4.196,60.0,59.3,72.0,1706,0,58.7,0.21
16,0,0.0,0.58,0,15.8,41.699999999999996,1054,63.4,47.1,-22.4,16.234,14.676,4.196,60.0,59.3,72.0,1706,0,58.7,0.21
17,0,0.0,0.65,0,17.299999999999997,44.4,1065,63.3,48.5,-22.38,16.102,14.676,4.196,60.0,59.2,72.0,1706,0,58.7,0.21
18,0,0.0,0.72,0,19.1,47.599999999999994,1063,63.3,50.0,-22.38,15.953,14.676,4.196,60.0,59.2,72.0,1706,0,58.7,0.21
19,0,0.0,0.77,0,21.4,51.2,1054,63.4,51.5,-22.38,15.805,14.676,4.196,60.0,59.2,72.0,1706,0,58.7,0.21
20,0,0.0,0.71,0,23.5,53.300000000000004,1037,63.8,52.4,-22.39,15.648,14.676,4.196,60.0,59.1,72.0,1706,0,58.7,0.21
21,0,0.0,0.53,0,24.5,53.300000000000004,988,64.0,52.4,-22.38,15.5,14.676,4.196,60.0,59.1,72.0,1706,0,58.7,0.21
22,0,0.0,0.51,0,24.9,53.400000000000006,931,64.2,52.4,-22.37,15.352,14.676,4.196,60.0,59.1,72.0,1706,0,58.7,0.2
23,0,0.0,0.52,0,25.1,53.400000000000006,885,64.5,52.4,-22.38,15.188,14.676,4.196,60.0,59.0,72.0,1706,0,58.7,0.2
24,0,0.0,0.51,0,25.1,53.400000000000006,851,64.7,52.3,-22.35,15.062,14.676,4.196,60.0,59.0,72.0,1706,0,58.7,0.2
25,0,0.0,0.51,0,25.2,53.400000000000006,826,65.0,52.3,-22.37,14.93,14.676,4.196,60.0,59.0,72.0,1706,0,58.7,0.2
26,0,0.0,0.51,0,25.1,53.400000000000006,808,65.2,52.3,-22.38,14.812,14.676,4.196,60.0,59.0,72.0,1706,0,58.7,0.21
27,0,0.0,0.51,0,25.1,53.400000000000006,795,65.5,52.2,-22.37,14.68,14.676,4.196,60.0,58.9,72.0,1706,0,58.6,0.21
28,0,0.0,0.51,0,25.1,53.400000000000006,788,65.8,52.2,-22.36,14.586,14.676,4.196,60.0,58.9,72.0,1706,0,58.6,0.2
29,0,0.0,0.49,0,25.1,53.400000000000006,782,66.1,52.2,-22.37,14.492,14.676,4.196,60.0,58.9,72.0,1706,0,58.7,0.21
30,0,0.0,0.51,0,25.1,53.400000000000006,777,66.3,52.2,-22.36,14.398,14.676,4.196,60.0,58.9,72.0,1706,0,58.7,0.21
31,0,0.0,0.49,0,25.1,53.400000000000006,774,66.4,52.1,-22.36,14.32,14.672,4.196,60.0,58.9,72.0,1706,0,58.7,0.21
32,0,0.0,0.46,0,25.0,53.400000000000006,772,66.5,52.1,-22.36,14.25,14.676,4.196,60.0,58.9,72.0,1706,0,58.7,0.2
33,0,0.0,0.46,0,25.0,53.400000000000006,770,66.7,52.0,-22.38,14.172,14.676,4.196,60.0,58.9,72.0,1706,0,58.7,0.21
34,0,0.0,0.46,0,24.9,53.400000000000006,770,66.7,52.0,-22.36,14.117,14.68,4.196,59.0,58.9,72.0,1706,0,58.6,0.2
35,0,0.0,0.45,0,24.9,53.400000000000006,770,66.8,52.0,-22.37,14.07,14.68,4.196,60.0,58.9,72.0,1706,0,58.6,0.21
36,0,0.0,0.45,0,24.9,53.400000000000006,769,66.8,52.0,-22.39,14.023,14.68,4.196,59.0,58.9,72.0,1706,0,58.6,0.22
37,0,0.0,0.46,0,24.9,53.400000000000006,768,66.8,52.0,-22.38,13.992,14.68,4.196,60.0,58.9,72.0,1706,0,58.6,0.2
38,0,0.0,0.46,0,24.9,53.400000000000006,769,66.8,51.9,-22.38,13.953,14.68,4.196,59.0,58.9,72.0,1706,0,58.6,0.2
39,0,0.0,0.46,0,25.0,53.400000000000006,769,66.8,51.9,-22.38,13.922,14.68,4.196,60.0,58.9,72.0,1706,0,58.6,0.2
40,0,0.0,0.46,0,25.0,53.400000000000006,768,66.8,52.0,-22.37,13.891,14.68,4.196,60.0,58.9,72.0,1706,0,58.6,0.2
41,0,0.0,0.46,0,25.0,53.400000000000006,769,66.9,52.0,-22.36,13.867,14.68,4.196,59.0,58.9,73.0,1706,0,58.6,0.21
42,0,0.0,0.45,0,25.0,53.400000000000006,770,67.0,52.1,-22.38,13.844,14.68,4.196,59.0,58.9,73.0,1706,0,58.6,0.2
43,0,0.0,0.46,0,25.0,53.400000000000006,769,67.1,52.1,-22.39,13.828,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.21
44,0,0.0,0.46,0,25.0,53.400000000000006,770,67.3,52.1,-22.37,13.812,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.19
45,0,0.0,0.46,0,25.0,53.400000000000006,771,67.5,52.1,-22.37,13.797,14.676,4.196,60.0,58.9,73.0,1706,0,58.6,0.2
46,0,0.0,0.46,0,25.0,53.400000000000006,771,67.7,52.0,-22.37,13.789,14.676,4.196,60.0,58.9,73.0,1705,0,58.6,0.22
47,0,0.0,0.46,0,25.1,53.400000000000006,771,67.9,52.0,-22.37,13.773,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.21
48,0,0.0,0.45,0,25.0,53.400000000000006,770,68.1,52.0,-22.37,13.758,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.2
49,0,0.0,0.46,0,25.0,53.400000000000006,770,68.4,52.0,-22.39,13.75,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.21
50,0,0.0,0.46,0,25.0,53.400000000000006,770,68.6,51.9,-22.36,13.742,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.21
51,0,0.0,0.46,0,25.0,53.400000000000006,771,68.8,52.0,-22.37,13.727,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.21
52,0,0.0,0.45,0,25.1,53.400000000000006,771,69.0,52.0,-22.38,13.719,14.68,4.196,59.0,58.9,73.0,1706,0,58.6,0.21
53,0,0.0,0.45,0,25.0,53.400000000000006,770,69.2,51.8,-22.4,13.711,14.68,4.196,60.0,58.9,73.0,1705,0,58.6,0.21
54,0,0.0,0.45,0,25.0,53.400000000000006,769,69.5,51.8,-22.38,13.703,14.68,4.196,60.0,58.9,73.0,1705,0,58.6,0.21
55,0,0.0,0.45,0,25.1,53.400000000000006,770,69.7,51.8,-22.36,13.695,14.68,4.196,60.0,58.9,73.0,1706,0,58.6,0.2
56,0,0.0,0.45,0,25.1,53.400000000000006,769,70.0,51.8,-22.37,13.688,14.68,4.196,60.0,59.0,73.0,1705,0,58.6,0.21
57,0,0.0,0.46,0,25.0,53.400000000000006,769,70.2,51.8,-22.38,13.688,14.68,4.196,60.0,59.0,73.0,1705,0,58.6,0.2
