Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.44,0,0.0,9.2,195,119.7,2.7,-22.39,6.68,14.758,4.195,9899999762399946800000000.0,60.4,57.0,1466,0,41.7,0.23
2,0,0.0,0.44,0,0.0,12.7,221,120.4,7.7,-22.4,6.688,14.758,4.195,9899999762399946800000000.0,60.3,57.0,1506,0,41.7,0.23
3,0,0.0,0.44,0,0.5,16.0,410,121.0,12.6,-22.39,6.688,14.758,4.195,30.0,60.4,61.0,1536,0,41.7,0.23
4,0,0.0,0.44,0,2.0,19.0,663,121.5,17.6,-22.38,6.688,14.758,4.195,61.0,60.4,57.0,1546,0,41.8,0.23
5,0,0.0,0.44,0,3.2,21.7,872,121.9,21.7,-22.4,6.688,14.758,4.195,61.0,60.3,57.0,1552,0,41.7,0.23
6,0,0.0,0.44,0,4.5,24.2,1003,121.8,25.4,-22.38,6.688,14.758,4.196,61.0,60.3,57.0,1555,0,41.7,0.23
7,0,0.0,0.45,0,5.800000000000001,26.400000000000002,1064,121.0,29.0,-22.39,6.68,14.758,4.195,61.0,60.4,57.0,1556,0,41.7,0.23
8,0,0.0,0.44,0,7.199999999999999,28.199999999999996,1074,119.7,32.0,-22.39,6.68,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
9,0,0.0,0.44,0,8.4,29.599999999999998,1050,118.2,34.9,-22.39,6.664,14.758,4.195,61.0,60.3,57.0,1557,0,41.8,0.23
10,0,0.0,0.44,0,9.5,30.8,1008,116.7,36.7,-22.38,6.641,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
11,0,0.0,0.44,0,10.5,32.300000000000004,966,115.0,39.6,-22.39,6.625,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.24
12,0,0.0,0.43,0,11.5,34.2,941,113.1,42.6,-22.37,6.609,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.22
13,0,0.0,0.45,0,12.7,36.5,934,111.2,46.9,-22.37,6.586,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
14,0,0.0,0.44,0,14.099999999999998,39.2,940,109.8,52.0,-22.37,6.562,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
15,0,0.0,0.46,0,15.7,41.8,949,108.7,57.0,-22.36,6.531,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.22
16,0,0.0,0.46,0,17.299999999999997,44.2,956,108.0,61.0,-22.36,6.5,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
17,0,0.0,0.47,0,19.2,47.5,968,107.6,67.2,-22.38,6.469,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
18,0,0.0,0.47,0,21.5,51.0,975,107.6,73.0,-22.37,6.445,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.23
19,0,0.0,0.47,0,23.7,53.400000000000006,967,107.6,54.1,-22.36,6.414,14.758,4.196,61.0,60.3,57.0,1557,0,41.7,0.24
20,0,0.0,0.47,0,24.6,53.400000000000006,927,107.8,53.9,-22.38,6.375,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.24
21,0,0.0,0.47,0,24.9,53.400000000000006,875,108.1,54.1,-22.36,6.336,14.758,4.195,61.0,60.3,57.0,1557,0,41.7,0.24
22,0,0.0,0.47,0,25.0,53.400000000000006,832,108.4,54.2,-22.36,6.305,14.758,4.196,61.0,60.2,57.0,1557,0,41.8,0.24
23,0,0.0,0.47,0,25.1,53.400000000000006,799,108.7,54.2,-22.38,6.273,14.758,4.195,61.0,60.2,57.0,1557,0,41.7,0.23
24,0,0.0,0.48,0,25.0,53.400000000000006,776,108.9,54.3,-22.35,6.227,14.754,4.195,61.0,60.3,57.0,1557,0,41.8,0.23
25,0,0.0,0.48,0,25.1,53.400000000000006,759,109.2,54.3,-22.37,6.203,14.754,4.196,60.0,60.2,57.0,1557,0,41.7,0.23
26,0,0.0,0.47,0,25.1,53.400000000000006,749,109.5,54.3,-22.37,6.18,14.754,4.195,60.0,60.2,57.0,1557,0,41.8,0.23
27,0,0.0,0.47,0,25.1,53.400000000000006,741,109.7,54.5,-22.37,6.148,14.758,4.195,61.0,60.2,57.0,1557,0,41.7,0.22
