Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.46,0,0.0,11.5,141,69.9,10.9,-22.4,8.312,14.789,4.195,9899999762399946800000000.0,51.0,55.0,1423,0,41.6,0.24
2,0,0.0,0.44,0,0.0,14.6,297,70.0,19.7,-22.4,8.305,14.785,4.195,9899999762399946800000000.0,51.0,9.899999762399945e+24,1478,0,41.6,0.21
3,0,0.0,0.45,0,1.5,17.299999999999997,537,70.0,27.1,-22.41,8.297,14.785,4.195,50.0,51.0,65.0,1515,0,41.6,0.22
4,0,0.0,0.45,0,2.5,19.7,768,70.0,33.1,-22.4,8.289,14.785,4.195,51.0,51.0,55.0,1532,0,41.6,0.22
5,0,0.0,0.45,0,3.5000000000000004,22.0,936,69.9,37.9,-22.39,8.281,14.785,4.195,51.0,51.0,55.0,1540,0,41.7,0.23
6,0,0.0,0.44,0,4.7,24.099999999999998,1037,69.5,42.7,-22.41,8.266,14.789,4.195,51.0,51.0,55.0,1544,0,41.7,0.23
7,0,0.0,0.44,0,5.8999999999999995,25.900000000000002,1081,69.0,46.6,-22.41,8.242,14.789,4.195,51.0,51.0,55.0,1545,0,41.7,0.23
8,0,0.0,0.45,0,7.1,27.400000000000002,1083,68.4,50.4,-22.4,8.203,14.789,4.195,51.0,51.0,55.0,1546,0,41.6,0.23
9,0,0.0,0.45,0,8.200000000000001,28.7,1059,68.3,54.0,-22.4,8.164,14.789,4.195,51.0,51.0,55.0,1546,0,41.6,0.22
10,0,0.0,0.45,0,9.3,30.099999999999998,1029,67.9,57.8,-22.4,8.109,14.789,4.195,51.0,51.0,55.0,1547,0,41.6,0.22
11,0,0.0,0.45,0,10.299999999999999,31.8,1007,67.4,61.7,-22.39,8.047,14.789,4.195,51.0,51.0,55.0,1547,0,41.6,0.23
12,0,0.0,0.44,0,11.4,33.800000000000004,996,67.0,66.6,-22.39,7.992,14.789,4.195,51.0,51.0,55.0,1547,0,41.6,0.23
13,0,0.0,0.44,0,12.6,36.1,994,66.7,46.7,-22.39,7.914,14.785,4.195,51.0,51.0,55.0,1547,0,41.6,0.22
14,0,0.0,0.45,0,14.000000000000002,38.9,1002,66.0,45.9,-22.38,7.844,14.785,4.195,51.0,51.0,55.0,1547,0,41.7,0.21
15,0,0.0,0.47,0,15.5,41.5,1008,65.4,47.1,-22.39,7.766,14.785,4.195,51.0,51.0,55.0,1547,0,41.7,0.22
16,0,0.0,0.48,0,17.1,43.9,1008,65.0,48.2,-22.38,7.688,14.785,4.195,51.0,51.0,55.0,1547,0,41.6,0.22
17,0,0.0,0.48,0,19.0,47.199999999999996,1014,64.8,49.7,-22.38,7.602,14.785,4.195,51.0,51.0,55.0,1547,0,41.6,0.22
18,0,0.0,0.48,0,21.2,50.8,1018,64.8,51.2,-22.39,7.516,14.785,4.195,51.0,50.9,55.0,1547,0,41.7,0.22
19,0,0.0,0.48,0,23.400000000000002,53.300000000000004,1006,64.9,52.2,-22.39,7.43,14.785,4.195,51.0,51.0,55.0,1547,0,41.7,0.22
20,0,0.0,0.48,0,24.5,53.400000000000006,963,65.2,52.4,-22.39,7.352,14.785,4.195,51.0,51.0,55.0,1547,0,41.7,0.22
21,0,0.0,0.49,0,25.0,53.400000000000006,906,65.5,52.2,-22.39,7.266,14.789,4.195,51.0,50.9,55.0,1547,0,41.6,0.22
22,0,0.0,0.48,0,25.0,53.400000000000006,856,65.8,52.2,-22.38,7.188,14.789,4.195,51.0,51.0,55.0,1547,0,41.7,0.22
23,0,0.0,0.48,0,25.1,53.400000000000006,820,65.9,52.1,-22.4,7.117,14.789,4.195,51.0,51.0,55.0,1547,0,41.7,0.23
24,0,0.0,0.48,0,25.1,53.400000000000006,795,66.1,52.1,-22.39,7.047,14.789,4.195,51.0,51.0,55.0,1545,0,41.7,0.22
25,0,0.0,0.48,0,25.1,53.400000000000006,776,66.3,52.1,-22.39,6.977,14.789,4.195,51.0,50.9,55.0,1540,1,41.7,0.21
26,0,0.0,0.48,0,25.1,53.400000000000006,764,66.4,52.0,-22.39,6.922,14.789,4.195,51.0,50.9,55.0,1537,1,41.6,0.21
27,0,0.0,0.48,0,25.0,53.400000000000006,755,66.5,51.9,-22.38,6.859,14.789,4.195,51.0,51.0,55.0,1536,1,41.7,0.22
28,0,0.0,0.49,0,25.0,53.400000000000006,749,66.7,51.9,-22.39,6.797,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.22
29,0,0.0,0.49,0,25.1,53.400000000000006,745,66.9,51.9,-22.4,6.742,14.789,4.195,51.0,51.0,55.0,1536,1,41.7,0.22
30,0,0.0,0.48,0,25.1,53.400000000000006,741,67.1,51.9,-22.39,6.688,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.23
31,0,0.0,0.48,0,25.0,53.400000000000006,739,67.3,51.8,-22.39,6.633,14.789,4.195,51.0,50.9,55.0,1536,1,41.7,0.23
32,0,0.0,0.48,0,25.1,53.400000000000006,738,67.6,51.9,-22.4,6.586,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.23
33,0,0.0,0.48,0,25.1,53.400000000000006,738,67.8,51.8,-22.39,6.539,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.23
34,0,0.0,0.49,0,25.2,53.400000000000006,737,68.0,51.8,-22.39,6.5,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.22
35,0,0.0,0.48,0,25.2,53.400000000000006,737,68.2,51.7,-22.39,6.477,14.789,4.195,51.0,50.9,55.0,1536,1,41.7,0.22
36,0,0.0,0.48,0,25.3,53.400000000000006,737,68.5,51.8,-22.39,6.453,14.785,4.196,51.0,50.9,55.0,1536,1,41.7,0.22
37,5,0.0,0.48,0,25.3,53.400000000000006,737,68.7,51.8,-22.39,6.453,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.22
38,5,0.0,0.48,0,25.3,53.400000000000006,737,68.9,51.7,-22.38,6.453,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.22
39,0,0.0,0.48,0,25.3,53.400000000000006,737,69.1,51.7,-22.39,6.453,14.785,4.195,51.0,50.9,55.0,1536,1,41.7,0.23
40,0,0.0,0.48,0,25.2,53.400000000000006,737,69.4,51.7,-22.39,6.453,14.785,4.195,51.0,50.9,55.0,1536,1,41.6,0.22
41,0,0.0,0.48,0,25.1,53.400000000000006,737,69.6,51.7,-22.39,6.453,14.789,4.195,51.0,50.9,55.0,1536,1,41.6,0.22
42,0,0.0,0.48,0,25.0,53.400000000000006,737,69.8,51.7,-22.39,6.453,14.785,4.195,51.0,50.9,55.0,1536,1,41.6,0.23
43,0,0.0,0.48,0,25.0,53.400000000000006,736,70.1,51.7,-22.4,6.445,14.785,4.195,51.0,50.9,55.0,1536,1,41.7,0.23
44,0,0.0,0.47,0,24.9,53.400000000000006,735,70.3,51.7,-22.39,6.43,14.785,4.195,51.0,50.9,55.0,1536,1,41.7,0.22
45,0,0.0,0.48,0,24.9,53.400000000000006,735,70.5,51.7,-22.39,6.422,14.785,4.195,51.0,50.9,55.0,1536,1,41.6,0.21
46,0,0.0,0.48,0,24.9,53.400000000000006,735,70.7,51.6,-22.38,6.406,14.785,4.195,51.0,50.9,55.0,1536,1,41.6,0.21
