Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.47,0,0.0,10.2,217,92.4,4.7,-22.42,7.219,14.395,4.196,9899999762399946800000000.0,55.3,64.0,1438,0,43.6,0.23
2,0,0.0,0.47,0,0.0,13.5,291,92.8,10.8,-22.42,7.203,14.395,4.196,9899999762399946800000000.0,55.3,64.0,1488,0,43.6,0.22
3,0,0.0,0.47,0,0.8,16.5,529,93.1,16.9,-22.43,7.188,14.395,4.196,9899999762399946800000000.0,55.3,9.899999762399945e+24,1530,0,43.6,0.22
4,0,0.0,0.47,0,2.0,19.2,795,93.5,21.7,-22.43,7.156,14.395,4.196,56.0,55.3,64.0,1549,0,43.6,0.22
5,0,0.0,0.47,0,3.0,21.6,997,93.7,25.6,-22.42,7.117,14.395,4.196,56.0,55.3,64.0,1557,0,43.6,0.22
6,0,0.0,0.47,0,4.2,24.0,1122,93.4,30.7,-22.41,7.062,14.395,4.196,56.0,55.3,64.0,1562,0,43.6,0.22
7,0,0.0,0.47,0,5.5,26.200000000000003,1179,92.7,34.2,-22.42,7.008,14.391,4.196,56.0,55.3,64.0,1563,0,43.6,0.22
8,0,0.0,0.47,0,6.800000000000001,28.199999999999996,1187,91.8,38.5,-22.43,6.945,14.391,4.196,56.0,55.3,64.0,1564,0,43.6,0.22
9,0,0.0,0.47,0,8.1,29.7,1162,91.0,41.9,-22.43,6.859,14.391,4.196,56.0,55.3,64.0,1564,0,43.6,0.22
10,0,0.0,0.47,0,9.3,30.9,1116,89.9,44.6,-22.41,6.75,14.391,4.196,56.0,55.2,64.0,1564,0,43.6,0.21
11,0,0.0,0.47,0,10.299999999999999,32.2,1063,88.9,47.4,-22.41,6.633,14.391,4.196,56.0,55.2,64.0,1565,0,43.5,0.22
12,0,0.0,0.47,0,11.3,34.0,1022,87.9,51.2,-22.4,6.484,14.391,4.196,55.0,55.2,64.0,1565,0,43.5,0.22
13,0,0.0,0.48,0,12.5,36.1,1000,87.0,55.7,-22.4,6.336,14.387,4.196,55.0,55.2,64.0,1565,0,43.5,0.21
14,0,0.0,0.47,0,13.700000000000001,38.6,993,86.0,60.9,-22.38,6.164,14.387,4.196,55.0,55.2,64.0,1565,0,43.5,0.22
15,0,0.0,0.48,0,15.2,41.3,993,85.6,48.2,-22.39,5.984,14.387,4.196,55.0,55.2,64.0,1565,0,43.5,0.22
16,0,0.0,0.5,0,16.8,43.6,993,85.5,49.0,-22.38,5.781,14.383,4.196,55.0,55.1,64.0,1565,0,43.5,0.22
17,0,0.0,0.5,0,18.6,46.800000000000004,998,85.6,50.4,-22.38,5.602,14.383,4.196,55.0,55.1,64.0,1565,0,43.5,0.22
18,0,0.0,0.5,0,20.8,50.4,1005,85.9,51.7,-22.39,5.43,14.383,4.196,55.0,55.1,64.0,1565,0,43.5,0.22
19,0,0.0,0.5,0,23.0,53.1,997,86.1,52.8,-22.39,5.242,14.379,4.196,55.0,55.1,64.0,1564,0,43.5,0.22
20,0,0.0,0.49,0,24.2,53.400000000000006,959,86.5,53.0,-22.39,5.062,14.379,4.196,55.0,55.1,64.0,1564,0,43.5,0.22
21,0,0.0,0.5,0,24.7,53.400000000000006,903,86.9,53.2,-22.39,4.883,14.375,4.196,55.0,55.0,64.0,1564,0,43.5,0.23
22,0,0.0,0.5,0,24.8,53.400000000000006,854,87.3,53.4,-22.39,4.703,14.375,4.196,55.0,55.0,64.0,1564,0,43.4,0.22
23,0,0.0,0.49,0,24.8,53.400000000000006,817,87.8,53.4,-22.38,4.531,14.375,4.196,55.0,55.0,64.0,1564,0,43.4,0.22
24,0,0.0,0.49,0,24.8,53.400000000000006,790,88.1,53.6,-22.4,4.352,14.371,4.196,55.0,54.9,64.0,1564,0,43.4,0.22
25,0,0.0,0.49,0,24.8,53.400000000000006,771,88.5,53.7,-22.38,4.211,14.371,4.196,55.0,54.9,64.0,1564,0,43.4,0.23
26,0,0.0,0.49,0,24.8,53.400000000000006,757,88.9,53.8,-22.39,4.078,14.375,4.196,55.0,54.9,64.0,1564,0,43.4,0.22
27,0,0.0,0.49,0,24.8,53.400000000000006,748,89.2,53.9,-22.38,3.953,14.375,4.196,55.0,54.9,64.0,1561,1,43.4,0.22
28,0,0.0,0.49,0,24.8,53.400000000000006,741,89.6,53.8,-22.39,3.844,14.375,4.196,55.0,54.9,64.0,1557,1,43.4,0.22
29,0,0.0,0.49,0,24.7,53.400000000000006,736,90.0,53.9,-22.38,3.742,14.375,4.196,55.0,54.8,64.0,1555,1,43.4,0.21
30,0,0.0,0.49,0,24.7,53.400000000000006,733,90.3,53.9,-22.38,3.648,14.379,4.196,55.0,54.8,64.0,1554,1,43.4,0.21
31,0,0.0,0.48,0,24.7,53.400000000000006,731,90.6,54.0,-22.38,3.547,14.379,4.196,55.0,54.8,64.0,1554,1,43.4,0.21
32,0,0.0,0.49,0,24.7,53.400000000000006,730,91.0,53.9,-22.38,3.484,14.383,4.196,55.0,54.7,64.0,1553,1,43.4,0.2
33,0,0.0,0.49,0,24.7,53.400000000000006,728,91.2,54.0,-22.4,3.414,14.387,4.196,55.0,54.7,64.0,1553,1,43.3,0.21
34,0,0.0,0.49,0,24.7,53.400000000000006,728,91.5,54.0,-22.39,3.352,14.387,4.196,55.0,54.7,64.0,1553,1,43.3,0.21
35,0,0.0,0.49,0,24.7,53.400000000000006,728,91.8,54.1,-22.38,3.289,14.391,4.196,55.0,54.7,64.0,1553,1,43.3,0.22
36,0,0.0,0.48,0,24.6,53.400000000000006,727,92.1,54.1,-22.38,3.242,14.387,4.196,55.0,54.6,64.0,1553,1,43.3,0.21
37,0,0.0,0.49,0,24.6,53.400000000000006,727,92.4,54.1,-22.39,3.195,14.387,4.196,55.0,54.6,64.0,1553,1,43.3,0.22
38,0,0.0,0.49,0,24.6,53.400000000000006,727,92.7,54.2,-22.4,3.141,14.383,4.196,55.0,54.6,64.0,1553,1,43.3,0.21
39,0,0.0,0.49,0,24.6,53.400000000000006,726,92.9,54.3,-22.37,3.109,14.383,4.196,55.0,54.6,64.0,1553,1,43.3,0.21
40,0,0.0,0.49,0,24.6,53.400000000000006,726,93.2,54.2,-22.36,3.078,14.383,4.196,54.0,54.5,64.0,1553,1,43.3,0.21
41,0,0.0,0.49,0,24.6,53.400000000000006,727,93.5,54.3,-22.39,3.047,14.387,4.196,55.0,54.5,64.0,1554,1,43.3,0.23
42,0,0.0,0.48,0,24.6,53.400000000000006,727,93.8,54.3,-22.38,3.023,14.387,4.196,55.0,54.5,64.0,1554,1,43.3,0.22
43,0,0.0,0.49,0,24.6,53.400000000000006,727,94.0,54.3,-22.37,2.992,14.391,4.196,55.0,54.5,64.0,1554,1,43.3,0.21
44,0,0.0,0.48,0,24.6,53.400000000000006,727,94.3,54.3,-22.38,2.977,14.387,4.196,54.0,54.4,64.0,1554,1,43.3,0.22
