Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.41,0,0.0,9.1,63,44.0,12.4,-22.38,8.711,14.898,4.195,9899999762399946800000000.0,56.0,61.0,1289,0,44.1,0.21
2,0,0.0,0.42,0,0.0,11.799999999999999,112,44.0,27.5,-22.38,8.711,14.898,4.195,9899999762399946800000000.0,56.0,61.0,1342,0,44.1,0.22
3,0,0.0,0.41,0,0.5,14.299999999999999,300,44.0,40.1,-22.39,8.703,14.898,4.195,9899999762399946800000000.0,56.1,9.899999762399945e+24,1390,0,44.1,0.22
4,0,0.0,0.42,0,1.6,16.6,523,44.1,48.5,-22.38,8.695,14.898,4.195,9899999762399946800000000.0,56.1,9.899999762399945e+24,1452,0,44.1,0.22
5,0,0.0,0.42,0,2.4,18.6,737,44.1,54.4,-22.38,8.68,14.898,4.195,57.0,56.1,61.0,1478,0,44.1,0.21
6,0,0.0,0.41,0,3.3000000000000003,20.599999999999998,903,44.0,60.0,-22.38,8.664,14.898,4.195,57.0,56.1,61.0,1490,0,44.1,0.21
7,0,0.0,0.42,0,4.2,22.3,1006,44.1,57.0,-22.39,8.633,14.898,4.195,57.0,56.1,61.0,1496,0,44.1,0.22
8,0,0.0,0.41,0,5.1,23.9,1055,44.1,42.2,-22.38,8.594,14.898,4.195,57.0,56.1,61.0,1498,0,44.1,0.21
9,0,0.0,0.42,0,6.1,25.3,1065,44.2,43.2,-22.39,8.539,14.898,4.195,58.0,56.1,61.0,1500,0,44.1,0.2
10,0,0.0,0.42,0,7.1,26.700000000000003,1054,44.2,44.1,-22.38,8.461,14.898,4.195,57.0,56.1,61.0,1500,0,44.1,0.22
11,0,0.0,0.41,0,8.1,28.199999999999996,1035,44.2,44.7,-22.38,8.383,14.895,4.195,58.0,56.1,61.0,1500,0,44.1,0.21
12,0,0.0,0.41,0,9.1,29.799999999999997,1019,44.3,45.4,-22.38,8.289,14.895,4.195,57.0,56.1,61.0,1500,0,44.1,0.21
