Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.41,0,0.0,11.0,141,84.8,6.1,-22.41,19.742,14.754,4.197,9899999762399946800000000.0,64.9,72.0,1389,0,65.1,0.2
2,0,0.0,0.42,0,0.0,14.099999999999998,289,84.9,12.2,-22.41,19.719,14.754,4.197,9899999762399946800000000.0,64.9,72.0,1432,0,65.0,0.2
3,0,0.0,0.42,0,1.4000000000000001,16.900000000000002,546,84.9,20.0,-22.41,19.672,14.754,4.197,9899999762399946800000000.0,64.9,9.899999762399945e+24,1477,0,65.1,0.2
4,1,0.0,0.42,0,2.3,19.3,797,84.9,24.8,-22.41,19.602,14.75,4.197,65.0,64.9,72.0,1497,0,65.0,0.2
5,0,0.0,0.42,0,3.3000000000000003,21.6,981,84.7,28.9,-22.41,19.523,14.75,4.197,65.0,64.8,72.0,1507,0,65.1,0.2
6,0,0.0,0.42,0,4.5,23.7,1093,84.2,33.0,-22.4,19.414,14.75,4.197,66.0,64.8,72.0,1511,0,65.0,0.2
7,0,0.0,0.42,0,5.7,25.7,1144,83.5,37.0,-22.41,19.273,14.75,4.197,65.0,64.9,72.0,1513,0,65.0,0.21
8,0,0.0,0.42,0,6.9,27.500000000000004,1151,82.7,41.0,-22.41,19.094,14.75,4.197,66.0,64.8,72.0,1514,0,65.1,0.2
9,0,0.0,0.42,0,8.0,28.9,1128,81.6,44.4,-22.4,18.859,14.75,4.197,66.0,64.9,72.0,1514,0,65.0,0.21
10,0,0.0,0.41,0,9.1,30.099999999999998,1088,80.7,47.2,-22.39,18.555,14.75,4.197,65.0,64.9,72.0,1514,0,65.0,0.21
11,0,0.0,0.42,0,10.100000000000001,31.6,1051,79.6,50.4,-22.41,18.203,14.75,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
12,0,0.0,0.42,0,11.1,33.4,1026,78.8,54.6,-22.38,17.797,14.75,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
13,0,0.0,0.42,0,12.2,35.6,1017,78.1,59.6,-22.39,17.359,14.75,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
14,0,0.0,0.43,0,13.5,38.2,1018,78.0,64.9,-22.37,16.898,14.75,4.197,65.0,64.8,72.0,1514,0,65.0,0.2
15,0,0.0,0.42,0,15.0,41.0,1022,78.8,70.7,-22.36,16.406,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
16,0,0.0,0.44,0,16.6,43.1,1021,79.1,49.0,-22.34,15.898,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
17,0,0.0,0.45,0,18.4,46.1,1022,79.0,49.2,-22.37,15.375,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
18,0,0.0,0.44,0,20.5,49.6,1026,78.9,50.5,-22.37,14.852,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.22
19,0,0.0,0.45,0,22.8,52.900000000000006,1019,78.9,52.0,-22.4,14.336,14.742,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
20,0,0.0,0.45,0,24.099999999999998,53.400000000000006,984,79.1,52.3,-22.37,13.828,14.742,4.197,65.0,64.8,72.0,1514,0,65.0,0.22
21,0,0.0,0.44,0,24.6,53.400000000000006,927,79.4,52.4,-22.36,13.328,14.742,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
22,0,0.0,0.44,0,24.8,53.400000000000006,875,79.7,52.5,-22.37,12.859,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.2
23,0,0.0,0.45,0,24.8,53.400000000000006,836,80.1,52.6,-22.37,12.406,14.742,4.197,65.0,64.8,72.0,1514,0,65.0,0.2
24,0,0.0,0.45,0,24.8,53.400000000000006,807,80.4,52.5,-22.36,11.984,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.2
25,0,0.0,0.45,0,24.8,53.400000000000006,787,80.8,52.6,-22.36,11.594,14.746,4.197,65.0,64.8,72.0,1514,0,65.0,0.21
26,0,0.0,0.45,0,24.7,53.400000000000006,773,81.2,52.6,-22.38,11.242,14.746,4.197,65.0,64.7,72.0,1514,0,65.0,0.2
27,0,0.0,0.44,0,24.7,53.400000000000006,763,81.6,52.7,-22.38,10.922,14.746,4.197,64.0,64.7,72.0,1514,0,65.0,0.21
28,0,0.0,0.45,0,24.7,53.400000000000006,756,81.9,52.8,-22.38,10.641,14.75,4.197,64.0,64.7,72.0,1514,0,65.0,0.2
29,0,0.0,0.44,0,24.6,53.400000000000006,752,82.3,52.8,-22.38,10.383,14.75,4.197,65.0,64.7,72.0,1514,0,64.9,0.21
30,0,0.0,0.44,0,24.6,53.400000000000006,749,82.6,52.8,-22.37,10.156,14.75,4.197,65.0,64.7,72.0,1514,0,64.9,0.22
31,0,0.0,0.45,0,24.6,53.400000000000006,747,82.9,52.8,-22.37,9.953,14.75,4.197,65.0,64.7,72.0,1514,0,64.9,0.21
32,0,0.0,0.45,0,24.6,53.400000000000006,746,83.2,52.8,-22.38,9.773,14.75,4.197,65.0,64.7,72.0,1514,0,64.9,0.21
33,0,0.0,0.45,0,24.6,53.400000000000006,744,83.5,52.8,-22.38,9.609,14.75,4.197,65.0,64.7,72.0,1514,0,64.9,0.21
34,0,0.0,0.45,0,24.5,53.400000000000006,743,83.8,52.8,-22.38,9.469,14.75,4.197,64.0,64.7,72.0,1514,0,64.9,0.21
35,0,0.0,0.44,0,24.5,53.400000000000006,741,84.1,52.9,-22.39,9.336,14.75,4.197,64.0,64.7,72.0,1514,0,64.9,0.21
36,0,0.0,0.44,0,24.5,53.400000000000006,740,84.4,52.9,-22.39,9.211,14.754,4.197,65.0,64.7,72.0,1514,0,64.9,0.21
37,0,0.0,0.45,0,24.5,53.400000000000006,740,84.6,53.0,-22.39,9.094,14.754,4.197,65.0,64.7,72.0,1514,0,64.9,0.21
38,0,0.0,0.45,0,24.5,53.400000000000006,739,84.9,53.0,-22.38,8.992,14.754,4.197,64.0,64.7,72.0,1514,0,64.9,0.21
39,0,0.0,0.45,0,24.5,53.400000000000006,738,85.1,53.0,-22.37,8.891,14.75,4.197,65.0,64.7,72.0,1514,0,64.8,0.2
40,0,0.0,0.45,0,24.5,53.400000000000006,738,85.3,53.0,-22.38,8.789,14.75,4.197,64.0,64.6,72.0,1514,0,64.9,0.2
41,0,0.0,0.45,0,24.5,53.400000000000006,738,85.6,53.1,-22.38,8.695,14.75,4.197,65.0,64.6,72.0,1514,0,64.9,0.21
42,0,0.0,0.45,0,24.5,53.400000000000006,738,85.8,53.1,-22.39,8.609,14.75,4.197,65.0,64.6,72.0,1514,0,64.8,0.21
43,0,0.0,0.45,0,24.6,53.400000000000006,737,86.1,53.2,-22.37,8.523,14.75,4.197,65.0,64.7,72.0,1514,0,64.8,0.21
44,0,0.0,0.45,0,24.6,53.400000000000006,736,86.3,53.2,-22.39,8.438,14.75,4.197,64.0,64.6,72.0,1514,0,64.8,0.21
45,0,0.0,0.45,0,24.6,53.400000000000006,736,86.5,53.3,-22.39,8.359,14.75,4.197,64.0,64.6,72.0,1514,0,64.8,0.21
46,0,0.0,0.45,0,24.7,53.400000000000006,735,86.7,53.3,-22.38,8.281,14.75,4.197,64.0,64.6,72.0,1514,0,64.8,0.21
47,0,0.0,0.45,0,24.7,53.400000000000006,735,87.0,53.3,-22.39,8.211,14.75,4.197,65.0,64.6,72.0,1514,0,64.8,0.2
48,0,0.0,0.45,0,24.7,53.400000000000006,735,87.2,53.3,-22.39,8.141,14.754,4.197,64.0,64.6,72.0,1514,0,64.8,0.2
49,0,0.0,0.45,0,24.7,53.400000000000006,734,87.4,53.3,-22.39,8.07,14.754,4.197,64.0,64.6,72.0,1514,0,64.8,0.21
50,0,0.0,0.46,0,24.6,53.400000000000006,734,87.7,53.4,-22.39,8.0,14.754,4.197,64.0,64.6,72.0,1514,0,64.8,0.21
51,0,0.0,0.45,0,24.7,53.400000000000006,734,87.9,53.4,-22.38,7.938,14.754,4.197,64.0,64.6,72.0,1514,0,64.7,0.21
52,0,0.0,0.45,0,24.7,53.400000000000006,734,88.1,53.4,-22.38,7.875,14.754,4.197,65.0,64.6,72.0,1514,0,64.7,0.21
53,0,0.0,0.45,0,24.7,53.400000000000006,734,88.3,53.5,-22.39,7.828,14.754,4.197,64.0,64.6,72.0,1514,0,64.7,0.2
54,0,0.0,0.45,0,24.7,53.400000000000006,734,88.5,53.5,-22.38,7.781,14.754,4.197,64.0,64.6,72.0,1514,0,64.7,0.21
55,0,0.0,0.45,0,24.7,53.400000000000006,734,88.7,53.5,-22.37,7.742,14.754,4.197,64.0,64.6,72.0,1514,0,64.7,0.21
56,0,0.0,0.45,0,24.7,53.400000000000006,734,88.9,53.5,-22.38,7.711,14.754,4.197,64.0,64.6,72.0,1514,0,64.7,0.21
57,0,0.0,0.45,0,24.7,53.400000000000006,733,89.1,53.5,-22.4,7.688,14.754,4.197,64.0,64.6,72.0,1514,0,64.7,0.21
58,0,0.0,0.45,0,24.7,53.400000000000006,733,89.3,53.6,-22.39,7.656,14.754,4.197,65.0,64.6,72.0,1514,0,64.7,0.2
59,0,0.0,0.45,0,24.7,53.400000000000006,734,89.5,53.7,-22.39,7.625,14.754,4.197,64.0,64.6,72.0,1514,0,64.6,0.21
60,0,0.0,0.46,0,24.7,53.400000000000006,734,89.7,53.7,-22.39,7.602,14.754,4.197,64.0,64.6,72.0,1514,0,64.6,0.2
61,0,0.0,0.45,0,24.7,53.400000000000006,733,89.9,53.7,-22.4,7.57,14.754,4.197,64.0,64.6,72.0,1514,0,64.6,0.21
62,0,0.0,0.45,0,24.6,53.400000000000006,732,90.1,53.7,-22.4,7.539,14.754,4.197,64.0,64.6,72.0,1514,0,64.6,0.21
63,0,0.0,0.45,0,24.7,53.400000000000006,732,90.3,53.7,-22.41,7.492,14.754,4.197,64.0,64.5,72.0,1514,0,64.6,0.21
64,0,0.0,0.45,0,24.7,53.400000000000006,733,90.5,53.7,-22.39,7.461,14.754,4.197,64.0,64.6,72.0,1514,0,64.6,0.21
65,0,0.0,0.45,0,24.7,53.400000000000006,732,90.6,53.7,-22.4,7.406,14.754,4.197,64.0,64.5,72.0,1514,0,64.6,0.21
66,0,0.0,0.45,0,24.7,53.400000000000006,731,90.8,53.8,-22.38,7.359,14.754,4.197,64.0,64.6,72.0,1514,0,64.5,0.21
67,0,0.0,0.46,0,24.7,53.400000000000006,731,91.0,53.7,-22.38,7.297,14.754,4.197,64.0,64.5,72.0,1514,0,64.5,0.21
68,0,0.0,0.45,0,24.6,53.400000000000006,731,91.2,53.8,-22.38,7.234,14.754,4.197,64.0,64.5,72.0,1514,0,64.5,0.21
69,0,0.0,0.46,0,24.6,53.400000000000006,731,91.3,53.8,-22.4,7.18,14.754,4.197,64.0,64.5,72.0,1514,0,64.5,0.21
70,0,0.0,0.46,0,24.6,53.400000000000006,731,91.5,53.8,-22.38,7.117,14.754,4.197,64.0,64.5,72.0,1514,0,64.5,0.21
71,0,0.0,0.45,0,24.7,53.400000000000006,732,91.7,53.8,-22.38,7.07,14.754,4.197,64.0,64.5,72.0,1514,0,64.5,0.21
72,0,0.0,0.45,0,24.7,53.400000000000006,731,91.9,53.8,-22.38,7.023,14.754,4.197,64.0,64.5,72.0,1514,0,64.5,0.2
