Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,6,0.0,0.42,0,0.0,11.799999999999999,307,145.1,3.9,-22.42,12.57,14.406,4.196,9899999762399946800000000.0,84.4,70.0,1376,0,53.2,0.2
2,0,0.0,0.42,0,0.0,15.299999999999999,449,145.9,8.6,-22.41,12.578,14.41,4.196,9899999762399946800000000.0,84.4,70.0,1412,0,53.2,0.2
3,0,0.0,0.42,0,1.6,18.5,703,146.3,13.3,-22.42,12.578,14.41,4.196,74.0,84.4,9.899999762399945e+24,1431,0,53.2,0.21
4,0,0.0,0.41,0,2.7,21.4,929,146.5,16.8,-22.41,12.586,14.41,4.197,85.0,84.3,70.0,1441,0,53.2,0.23
5,0,0.0,0.41,0,4.0,24.0,1077,146.5,20.5,-22.42,12.586,14.41,4.196,85.0,84.3,70.0,1446,0,53.2,0.23
6,0,0.0,0.41,0,5.3,26.3,1152,146.0,23.6,-22.41,12.586,14.406,4.196,85.0,84.3,70.0,1448,0,53.2,0.23
7,0,0.0,0.41,0,6.800000000000001,28.4,1174,144.8,26.5,-22.41,12.578,14.406,4.196,85.0,84.3,70.0,1449,0,53.2,0.21
8,0,0.0,0.42,0,8.200000000000001,30.0,1161,143.5,29.7,-22.41,12.586,14.406,4.196,85.0,84.2,70.0,1450,0,53.2,0.21
9,0,0.0,0.41,0,9.4,31.3,1123,142.1,31.6,-22.41,12.586,14.406,4.196,85.0,84.2,70.0,1450,0,53.2,0.21
10,0,0.0,0.42,0,10.4,32.6,1074,140.7,33.3,-22.42,12.578,14.406,4.196,85.0,84.2,70.0,1450,0,53.2,0.22
11,0,0.0,0.42,0,11.5,34.2,1034,139.4,35.6,-22.41,12.578,14.406,4.196,85.0,84.2,70.0,1450,0,53.2,0.22
12,0,0.0,0.42,0,12.6,36.3,1011,137.5,38.9,-22.4,12.57,14.406,4.196,85.0,84.1,70.0,1450,0,53.2,0.22
13,0,0.0,0.42,0,13.900000000000002,38.9,1004,136.2,42.7,-22.4,12.562,14.406,4.197,85.0,84.1,70.0,1450,0,53.2,0.22
14,0,0.0,0.43,0,15.4,41.5,1004,134.9,47.0,-22.36,12.555,14.406,4.196,85.0,84.1,70.0,1450,0,53.2,0.22
15,0,0.0,0.44,0,16.900000000000002,43.6,1003,133.9,50.5,-22.38,12.539,14.406,4.196,84.0,84.1,70.0,1450,0,53.2,0.22
16,0,0.0,0.44,0,18.7,46.5,1011,133.4,54.4,-22.39,12.523,14.406,4.197,85.0,84.0,70.0,1450,0,53.2,0.22
17,0,0.0,0.44,0,20.7,50.0,1020,133.2,60.2,-22.38,12.508,14.406,4.197,85.0,84.0,70.0,1450,0,53.2,0.21
18,0,0.0,0.44,0,22.900000000000002,53.0,1018,133.4,64.9,-22.39,12.492,14.406,4.196,85.0,84.0,70.0,1450,0,53.2,0.22
19,0,0.0,0.44,0,24.2,53.400000000000006,988,133.7,65.2,-22.4,12.484,14.406,4.196,85.0,83.9,70.0,1450,0,53.2,0.22
20,0,0.0,0.44,0,24.7,53.400000000000006,935,134.1,65.0,-22.4,12.477,14.406,4.196,85.0,83.9,70.0,1450,0,53.2,0.22
21,0,0.0,0.44,0,24.9,53.400000000000006,886,134.5,65.0,-22.38,12.469,14.406,4.197,85.0,83.9,70.0,1450,0,53.2,0.22
22,0,0.0,0.44,0,25.0,53.400000000000006,849,135.0,64.7,-22.39,12.453,14.406,4.196,84.0,83.8,70.0,1450,0,53.2,0.22
23,0,0.0,0.43,0,24.9,53.400000000000006,821,135.3,64.6,-22.41,12.445,14.406,4.196,85.0,83.8,70.0,1450,0,53.2,0.22
24,0,0.0,0.43,0,24.8,53.400000000000006,801,135.7,64.7,-22.39,12.438,14.406,4.196,84.0,83.8,70.0,1450,0,53.2,0.22
25,0,0.0,0.44,0,24.8,53.400000000000006,787,136.0,64.3,-22.39,12.422,14.406,4.196,84.0,83.7,70.0,1450,0,53.2,0.22
26,0,0.0,0.44,0,24.8,53.400000000000006,777,136.2,64.2,-22.39,12.414,14.406,4.196,84.0,83.7,70.0,1450,0,53.2,0.22
27,0,0.0,0.44,0,24.8,53.400000000000006,770,136.4,64.1,-22.39,12.398,14.406,4.196,84.0,83.7,70.0,1450,0,53.2,0.22
28,0,0.0,0.44,0,24.8,53.400000000000006,766,136.7,64.2,-22.39,12.391,14.406,4.196,84.0,83.7,70.0,1450,0,53.2,0.21
29,0,0.0,0.44,0,24.8,53.400000000000006,761,136.8,63.8,-22.41,12.383,14.406,4.196,84.0,83.6,70.0,1450,0,53.2,0.2
30,0,0.0,0.43,0,24.8,53.400000000000006,759,137.0,64.2,-22.4,12.383,14.406,4.196,84.0,83.6,70.0,1450,0,53.2,0.22
31,0,0.0,0.44,0,24.8,53.400000000000006,757,137.2,63.9,-22.41,12.383,14.406,4.197,84.0,83.6,70.0,1450,0,53.2,0.21
32,0,0.0,0.45,0,24.8,53.400000000000006,756,137.4,63.9,-22.39,12.367,14.406,4.196,84.0,83.6,70.0,1450,0,53.2,0.21
33,0,0.0,0.44,0,24.8,53.400000000000006,755,137.5,64.1,-22.39,12.352,14.406,4.196,84.0,83.5,70.0,1450,0,53.2,0.21
34,0,0.0,0.44,0,24.8,53.400000000000006,754,137.7,63.8,-22.4,12.344,14.406,4.196,84.0,83.5,70.0,1450,0,53.2,0.22
35,0,0.0,0.45,0,24.8,53.400000000000006,754,137.8,63.9,-22.4,12.328,14.402,4.196,84.0,83.5,70.0,1448,1,53.2,0.22
36,0,0.0,0.44,0,24.7,53.400000000000006,754,137.9,63.9,-22.39,12.32,14.402,4.197,84.0,83.4,70.0,1444,1,53.2,0.21
37,0,0.0,0.44,0,24.8,53.400000000000006,754,138.1,63.7,-22.38,12.305,14.402,4.196,84.0,83.4,70.0,1441,1,53.2,0.21
38,0,0.0,0.44,0,24.8,53.400000000000006,754,138.3,63.6,-22.39,12.297,14.402,4.197,84.0,83.4,70.0,1440,1,53.2,0.22
39,0,0.0,0.44,0,24.8,53.400000000000006,754,138.4,63.4,-22.4,12.289,14.406,4.196,84.0,83.4,70.0,1440,1,53.1,0.21
40,0,0.0,0.45,0,24.8,53.400000000000006,753,138.6,63.6,-22.39,12.273,14.406,4.196,84.0,83.3,70.0,1440,1,53.2,0.21
41,0,0.0,0.45,0,24.8,53.400000000000006,753,138.7,63.5,-22.4,12.273,14.406,4.196,84.0,83.3,70.0,1440,1,53.2,0.21
42,0,0.0,0.45,0,24.8,53.400000000000006,753,138.9,63.7,-22.4,12.258,14.406,4.196,84.0,83.3,70.0,1440,1,53.2,0.21
43,0,0.0,0.45,0,24.8,53.400000000000006,753,139.0,63.4,-22.39,12.25,14.406,4.196,84.0,83.3,70.0,1440,1,53.2,0.21
44,0,0.0,10.12,1,24.7,53.2,754,139.1,63.2,-22.39,12.25,14.406,4.196,84.0,83.2,70.0,1440,1,53.2,0.22
45,0,0.0,10.85,1,24.7,53.400000000000006,761,139.2,63.4,-22.4,12.25,14.406,4.196,84.0,83.0,70.0,1440,1,53.2,0.22
46,0,0.0,12.11,1,24.7,53.400000000000006,774,139.3,63.5,-22.39,12.258,14.406,4.197,83.0,82.6,70.0,1440,1,53.2,0.21
47,0,0.0,13.69,1,24.7,53.400000000000006,784,139.4,63.5,-22.4,12.258,14.406,4.196,83.0,82.0,70.0,1440,1,53.2,0.21
48,0,0.0,15.07,1,24.7,53.400000000000006,790,139.5,63.4,-22.41,12.266,14.406,4.197,82.0,81.5,70.0,1440,1,53.2,0.22
49,0,0.0,16.26,1,24.7,53.400000000000006,794,139.6,63.6,-22.41,12.273,14.406,4.196,81.0,80.9,70.0,1440,1,53.2,0.21
50,0,0.0,17.33,1,24.7,53.400000000000006,795,139.7,63.4,-22.41,12.273,14.406,4.196,81.0,80.4,70.0,1440,1,53.2,0.21
51,0,0.0,17.82,1,24.7,53.400000000000006,795,139.8,63.2,-22.4,12.273,14.406,4.196,80.0,80.0,70.0,1440,1,53.2,0.21
52,0,0.0,17.78,1,24.7,53.400000000000006,793,139.9,63.4,-22.39,12.281,14.406,4.196,79.0,79.6,70.0,1440,1,53.2,0.21
53,0,0.0,17.84,1,24.8,53.400000000000006,792,139.9,63.4,-22.39,12.273,14.406,4.196,79.0,79.2,70.0,1440,1,53.2,0.22
54,0,0.0,17.8,1,24.8,53.400000000000006,791,140.0,63.4,-22.39,12.273,14.406,4.196,79.0,78.9,70.0,1440,1,53.2,0.21
55,0,0.0,17.83,1,24.8,53.400000000000006,790,140.0,63.5,-22.41,12.281,14.406,4.196,79.0,78.6,70.0,1440,1,53.2,0.22
56,0,0.0,17.83,1,24.8,53.400000000000006,789,140.1,63.5,-22.4,12.281,14.406,4.196,78.0,78.3,70.0,1440,1,53.2,0.21
57,0,0.0,17.83,1,24.8,53.400000000000006,789,140.1,63.4,-22.39,12.281,14.406,4.196,78.0,78.0,70.0,1440,1,53.2,0.21
58,0,0.0,17.82,1,24.8,53.400000000000006,789,140.1,63.2,-22.4,12.273,14.406,4.197,77.0,77.7,70.0,1440,1,53.2,0.22
59,0,0.0,17.82,1,24.7,53.400000000000006,788,140.2,63.2,-22.39,12.281,14.41,4.196,77.0,77.5,70.0,1440,1,53.2,0.22
60,0,0.0,17.82,1,24.7,53.400000000000006,788,140.2,63.5,-22.4,12.281,14.41,4.197,77.0,77.2,70.0,1440,1,53.2,0.22
61,0,0.0,17.77,1,24.7,53.400000000000006,789,140.2,63.2,-22.4,12.281,14.406,4.196,77.0,77.0,70.0,1440,1,53.2,0.21
62,0,0.0,17.85,1,24.8,53.400000000000006,789,140.3,63.5,-22.4,12.289,14.41,4.197,76.0,76.7,70.0,1440,1,53.2,0.22
63,0,0.0,17.81,1,24.8,53.400000000000006,789,140.3,63.3,-22.41,12.281,14.406,4.196,76.0,76.5,70.0,1440,1,53.2,0.22
64,0,0.0,17.8,1,24.8,53.400000000000006,789,140.3,63.4,-22.41,12.281,14.41,4.196,76.0,76.3,70.0,1440,1,53.2,0.21
65,0,0.0,17.81,1,24.8,53.400000000000006,789,140.3,63.2,-22.38,12.281,14.41,4.197,76.0,76.1,70.0,1440,1,53.2,0.22
66,0,0.0,23.91,1,26.6,57.699999999999996,799,140.3,68.3,-10.71,12.273,14.41,4.196,76.0,75.9,70.0,1440,1,53.2,0.2
67,0,0.0,40.33,1,33.2,67.5,883,140.4,60.8,-10.71,12.281,14.406,4.196,76.0,75.7,70.0,1440,1,53.2,0.2
68,0,0.0,41.52,1,43.1,74.3,983,140.3,62.9,-10.67,12.289,14.406,4.196,76.0,75.6,70.0,1440,1,53.2,0.21
69,0,0.0,42.13,1,47.4,74.7,1019,140.3,63.6,-10.74,12.312,14.402,4.196,76.0,75.5,70.0,1441,1,53.2,0.2
70,1,0.0,42.39,1,48.8,74.7,988,140.3,63.8,-10.7,12.328,14.402,4.196,76.0,75.4,70.0,1441,1,53.2,0.21
