Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.39,0,0.0,10.0,282,142.9,2.9,-22.44,10.352,14.355,4.197,9899999762399946800000000.0,96.7,73.0,1390,0,53.0,0.23
2,0,0.0,0.39,0,0.0,13.4,353,143.6,6.1,-22.44,10.336,14.355,4.197,9899999762399946800000000.0,96.7,73.0,1423,0,53.0,0.23
3,0,0.0,0.4,0,1.0999999999999999,16.5,583,144.3,11.5,-22.44,10.328,14.355,4.197,82.0,96.7,9.899999762399945e+24,1459,0,53.0,0.23
4,0,0.0,0.4,0,2.1999999999999997,19.3,835,144.6,14.9,-22.44,10.328,14.359,4.197,97.0,96.7,73.0,1475,0,53.0,0.22
5,0,0.0,0.4,0,3.3000000000000003,22.0,1022,144.8,18.3,-22.44,10.32,14.359,4.197,98.0,96.7,73.0,1483,0,53.0,0.22
6,0,0.0,0.4,0,4.6,24.5,1132,144.7,21.9,-22.43,10.312,14.359,4.197,97.0,96.6,73.0,1486,0,53.0,0.23
7,0,0.0,0.39,0,6.0,26.700000000000003,1176,144.1,25.0,-22.44,10.297,14.355,4.197,97.0,96.6,73.0,1488,0,53.0,0.22
8,0,0.0,0.41,0,7.3999999999999995,28.799999999999997,1178,143.0,28.4,-22.43,10.273,14.355,4.197,97.0,96.6,73.0,1489,0,53.0,0.23
9,0,0.0,0.4,0,8.7,30.4,1150,141.7,30.8,-22.43,10.242,14.355,4.197,97.0,96.5,73.0,1489,0,53.0,0.23
10,0,0.0,0.4,0,9.8,31.6,1101,140.4,32.4,-22.44,10.211,14.355,4.197,97.0,96.5,73.0,1489,0,52.9,0.22
11,0,0.0,0.41,0,10.8,32.9,1047,139.0,34.0,-22.43,10.172,14.355,4.197,97.0,96.4,73.0,1489,0,53.0,0.23
12,0,0.0,0.4,0,11.799999999999999,34.599999999999994,1005,137.5,36.9,-22.43,10.125,14.355,4.197,97.0,96.4,73.0,1489,0,53.0,0.22
13,0,0.0,0.41,0,13.0,37.0,983,135.7,40.5,-22.43,10.07,14.355,4.197,97.0,96.4,73.0,1489,0,52.9,0.22
14,0,0.0,0.4,0,14.399999999999999,39.6,976,134.5,44.7,-22.4,10.016,14.355,4.197,97.0,96.3,73.0,1489,0,53.0,0.23
15,0,0.0,0.42,0,15.9,42.1,975,133.4,49.0,-22.36,9.953,14.355,4.197,97.0,96.3,73.0,1489,0,52.9,0.22
16,0,0.0,0.42,0,17.599999999999998,44.6,982,132.6,53.0,-22.39,9.883,14.355,4.197,97.0,96.2,73.0,1489,0,52.9,0.22
